Date,Infectins
2020-03-01,2003.5135605884163
2020-03-02,2655.791553685458
2020-03-03,3569.097600086328
2020-03-04,4691.638321602756
2020-03-05,5805.388488277432
2020-03-06,6721.65266985116
2020-03-07,7459.188819407922
2020-03-08,8287.803295456111
2020-03-09,9577.120789243634
2020-03-10,11474.19695930018
2020-03-11,13761.756195743897
2020-03-12,16144.576453488384
2020-03-13,18544.17940308469
2020-03-14,21096.9352647964
2020-03-15,24156.137688663715
2020-03-16,27984.595109721195
2020-03-17,32452.795825835623
2020-03-18,36835.96761788889
2020-03-19,40299.72407840749
2020-03-20,43117.89733194319
2020-03-21,45813.282142585114
2020-03-22,48599.484697223765
2020-03-23,52249.707852299565
2020-03-24,57099.685501800814
2020-03-25,61832.18653066911
2020-03-26,64536.43902688295
2020-03-27,65017.022545609296
2020-03-28,64322.15811486594
2020-03-29,63519.30972964459
2020-03-30,63767.218353780576
2020-03-31,65509.31848748803
2020-04-01,67227.28677101707
2020-04-02,66369.61542857286
2020-04-03,63112.92466612397
2020-04-04,59668.2073930901
2020-04-05,57455.15900889153
2020-04-06,57390.46331117925
2020-04-07,59642.424223518436
2020-04-08,63050.195530052915
2020-04-09,65968.36308350586
2020-04-10,67481.2374197264
2020-04-11,67354.31471028774
2020-04-12,66292.93789493851
2020-04-13,65709.55290643866
2020-04-14,66315.6477411803
2020-04-15,68102.78756035988
2020-04-16,69798.63909180903
2020-04-17,69608.59674867809
2020-04-18,67244.94607551146
2020-04-19,64378.9916535805
2020-04-20,63191.97822698106
2020-04-21,64396.13473953606
2020-04-22,66401.95727313502
2020-04-23,66435.48505968555
2020-04-24,63598.285578717645
2020-04-25,58588.90398195112
2020-04-26,53095.6374925225
2020-04-27,49286.591496246336
2020-04-28,48160.69205970219
2020-04-29,48514.00956372146
2020-04-30,48086.911387710716
2020-05-01,46135.35267558204
2020-05-02,43222.545987759106
2020-05-03,40814.27187821578
2020-05-04,40400.86124533609
2020-05-05,41860.42236214523
2020-05-06,42791.25629913076
2020-05-07,14735.932930250508
2020-05-08,13818.843571736903
2020-05-09,12978.368515569515
2020-05-10,12617.93053225826
2020-05-11,12835.676167461866
2020-05-12,13455.179623823018
2020-05-13,14065.347837818794
2020-05-14,14077.328946882855
2020-05-15,13255.039830129335
2020-05-16,12077.498992019386
2020-05-17,11035.284069371286
2020-05-18,10525.422592905585
2020-05-19,10710.14013814666
2020-05-20,11229.29174839091
2020-05-21,9780.926934998883
2020-05-22,8379.089031983713
2020-05-23,7058.4522662374775
2020-05-24,5970.013434072962
2020-05-25,5255.355362125077
2020-05-26,4860.251782723414
2020-05-27,4751.832012501707
2020-05-28,4456.042801640023
2020-05-29,4018.4302681259237
2020-05-30,3595.7189994912305
2020-05-31,3281.837300986603
2020-06-01,3137.3048013889406
2020-06-02,3166.9842143233786
2020-06-03,3238.233437493482
2020-06-04,3342.7106609531174
2020-06-05,3316.204275022978
2020-06-06,3258.3020444696804
2020-06-07,3247.6490847661958
2020-06-08,3312.146287673019
2020-06-09,3446.375112504125
2020-06-10,3692.7337253137366
2020-06-11,3846.8198034157876
2020-06-12,3883.2033955521083
2020-06-13,3874.5452642701157
2020-06-14,3887.0349156468756
2020-06-15,4022.9734515629784
2020-06-16,4366.854955124816
2020-06-17,4814.422903385014
2020-06-18,4062.152343285651
2020-06-19,3385.988869628953
2020-06-20,2860.25425571527
2020-06-21,2474.088797462076
2020-06-22,2217.912685516005
2020-06-23,2072.1890336451056
2020-06-24,2094.4804789262234
2020-06-25,2054.398329255452
2020-06-26,1968.59939969567
2020-06-27,1895.5586874619307
2020-06-28,1859.3302696667292
2020-06-29,1885.9449156700973
2020-06-30,1953.8124173261047
2020-07-01,1986.6283346289588
2020-07-02,2053.261169487796
2020-07-03,2082.3202049435913
2020-07-04,2083.854689911545
2020-07-05,2102.3337363905484
2020-07-06,2246.254293868963
2020-07-07,2537.700385765426
2020-07-08,2864.129631552295
2020-07-09,2977.3256100517187
2020-07-10,2957.4500892077103
2020-07-11,2915.277095082727
2020-07-12,2946.254414172411
2020-07-13,3138.0690447445654
2020-07-14,3473.493990274566
2020-07-15,3823.0168388240595
2020-07-16,4026.7682886396224
2020-07-17,4099.623612738858
2020-07-18,4150.018373263603
2020-07-19,4243.415509910636
2020-07-20,4501.116594146262
2020-07-21,4981.696962970332
2020-07-22,5511.837785707277
2020-07-23,5185.788866895457
2020-07-24,4679.325940243995
2020-07-25,4150.9949114631445
2020-07-26,3794.77113411455
2020-07-27,3754.059784880079
2020-07-28,3916.547743755521
2020-07-29,4036.6419190793267
2020-07-30,4055.884853442337
2020-07-31,3923.570259405332
2020-08-01,3779.7715719611874
2020-08-02,3704.070345710364
2020-08-03,3792.482537607769
2020-08-04,4031.730751801324
2020-08-05,4191.195919239152
2020-08-06,4027.541212296988
2020-08-07,3673.171195567254
2020-08-08,3366.785145998637
