Group,Wild_Rate,Wild_Lower,Wild_Upper,Alpha_Rate,Alpha_Lower,Alpha_Upper,Delta_Rate,Delta_Lower,Delta_Upper,BA.1_Rate,BA.1_Lower,BA.1_Upper,BA.2_Rate,BA.2_Lower,BA.2_Upper
02_10,8,7,9,11,10,13,18,17,19,19,18,20,6,6,7
11_15,11,10,12,14,12,17,28,26,30,40,37,44,12,11,14
16_24,18,16,19,27,24,32,36,33,40,40,37,44,10,9,11
25_34,24,22,25,35,31,39,48,44,52,41,38,43,12,11,13
35_49,28,26,30,30,28,34,40,38,41,37,35,39,13,13,14
50_69,24,22,25,31,29,33,36,35,38,35,34,37,13,12,13
70+,24,21,28,42,36,49,26,24,28,24,23,26,10,10,11
SouthWest,24,20,28,30,24,39,33,31,36,37,34,41,13,12,14
London,17,16,19,28,26,32,26,25,28,29,27,31,9,9,10
SouthEast,18,16,20,33,29,38,34,32,36,35,33,37,13,12,14
WestMidlands,21,19,23,32,28,38,31,28,33,30,28,33,10,10,11
EastMidlands,23,20,25,32,27,38,32,30,35,35,31,39,10,9,11
EastofEngland,19,17,23,30,27,35,32,30,35,38,34,41,12,11,13
NorthWest,19,18,21,24,22,27,31,28,33,33,30,35,10,9,10
YorkshireandTheHumber,18,15,20,94,45,100,30,28,32,32,29,34,11,10,12
NorthEast,22,20,26,21,18,26,31,28,34,32,28,36,11,10,12
Wales,46,39,56,24,20,30,35,33,38,42,37,47,5,5,6
Scotland,19,16,21,32,28,38,37,34,41,42,38,45,18,16,19
NorthernIreland,46,34,74,28,23,35,37,33,41,54,46,63,14,13,15
