Group,Wild_Rate,Wild_Lower,Wild_Upper,Alpha_Rate,Alpha_Lower,Alpha_Upper,Delta_Rate,Delta_Lower,Delta_Upper,BA.1_Rate,BA.1_Lower,BA.1_Upper,BA.2_Rate,BA.2_Lower,BA.2_Upper
02_10,10,9,12,14,13,16,23,22,25,25,24,27,7,7,8
11_15,14,13,16,18,15,20,36,33,39,50,47,55,15,14,18
16_24,23,21,25,36,31,42,47,43,51,50,46,56,12,11,14
25_34,31,28,35,45,39,55,64,59,70,52,49,55,15,15,16
35_49,37,34,40,39,35,45,52,49,55,49,47,53,17,16,17
50_69,31,29,34,39,36,44,47,45,49,43,41,45,16,16,17
70+,32,28,36,50,44,60,34,32,36,30,29,32,13,13,14
SouthWest,31,27,37,39,29,52,44,40,48,48,43,52,16,15,17
London,23,20,25,39,35,42,35,33,37,38,35,40,12,11,12
SouthEast,24,22,27,44,38,49,44,42,48,45,42,48,16,16,17
WestMidlands,27,25,30,39,33,48,41,37,45,40,37,43,13,12,14
EastMidlands,29,26,34,39,34,47,42,39,45,46,42,50,13,12,14
EastofEngland,26,23,30,41,37,48,43,39,48,50,45,53,15,14,17
NorthWest,25,24,27,30,26,33,40,37,43,42,39,45,13,12,13
YorkshireandTheHumber,23,20,27,100,69,100,39,36,42,40,38,43,14,13,15
NorthEast,30,27,34,27,22,32,41,36,46,42,37,47,14,13,16
Wales,62,50,79,29,25,37,46,42,50,53,48,58,7,6,7
Scotland,24,20,28,40,35,49,48,45,52,53,49,58,22,20,24
NorthernIreland,62,41,100,35,29,44,47,43,54,68,58,82,17,16,19
