Group,Wild_Rate,Wild_Lower,Wild_Upper,Alpha_Rate,Alpha_Lower,Alpha_Upper,Delta_Rate,Delta_Lower,Delta_Upper,BA.1_Rate,BA.1_Lower,BA.1_Upper,BA.2_Rate,BA.2_Lower,BA.2_Upper
02_10,8,8,10,11,10,13,18,17,20,20,19,21,6,6,7
11_15,11,10,13,14,12,16,28,26,31,39,36,43,13,11,15
16_24,18,17,20,30,25,35,38,34,42,40,35,44,9,9,10
25_34,25,22,27,37,32,45,51,47,55,39,37,43,12,11,13
35_49,29,27,32,32,27,37,41,39,43,40,38,41,13,12,13
50_69,25,24,27,32,29,37,37,35,39,32,31,34,13,12,13
70+,25,22,30,38,32,44,26,25,28,23,22,25,10,10,11
SouthWest,24,22,30,31,24,42,35,32,38,37,35,41,12,12,13
London,18,16,20,31,28,34,27,26,29,29,28,31,9,9,9
SouthEast,19,17,22,35,32,39,36,33,39,35,33,39,13,12,13
WestMidlands,22,20,24,29,25,34,32,29,35,31,29,34,10,9,11
EastMidlands,23,21,27,30,26,35,33,30,36,36,33,39,10,9,11
EastofEngland,20,18,23,33,29,39,34,31,37,37,34,40,12,11,13
NorthWest,20,18,21,22,20,26,32,29,34,31,30,34,10,9,10
YorkshireandTheHumber,18,16,22,76,52,100,31,29,33,31,29,33,11,10,12
NorthEast,24,21,27,21,18,25,32,29,37,34,30,37,11,10,12
Wales,49,40,62,22,19,27,36,34,40,40,36,46,5,5,6
Scotland,18,15,22,31,27,37,38,35,42,40,37,44,17,16,18
NorthernIreland,51,34,100,26,21,34,38,34,41,54,45,64,13,12,15
