Days_since_March1,cases,SGTF_proportion,mean_CT,OR_only,vaccinated
0,1,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,0.0
2,7,0.0,0.0,0.0,0.0
3,2,0.0,0.0,0.0,0.0
4,3,0.0,0.0,0.0,0.0
5,7,0.0,0.0,0.0,0.0
6,5,0.0,0.0,0.0,0.0
7,1,0.0,0.0,0.0,0.0
8,10,0.0,0.0,0.0,0.0
9,12,0.0,0.0,0.0,0.0
10,25,0.0,0.0,0.0,0.0
11,17,0.0,0.0,0.0,0.0
12,21,0.0,0.0,0.0,0.0
13,19,0.0,0.0,0.0,0.0
14,26,0.0,0.0,0.0,0.0
15,32,0.0,0.0,0.0,0.0
16,33,0.0,0.0,0.0,0.0
17,47,0.0,0.0,0.0,0.0
18,66,0.0,0.0,0.0,0.0
19,53,0.0,0.0,0.0,0.0
20,69,0.0,0.0,0.0,0.0
21,99,0.0,0.0,0.0,0.0
22,117,0.0,0.0,0.0,0.0
23,137,0.0,0.0,0.0,0.0
24,116,0.0,0.0,0.0,0.0
25,154,0.0,0.0,0.0,0.0
26,135,0.0,0.0,0.0,0.0
27,157,0.0,0.0,0.0,0.0
28,128,0.0,0.0,0.0,0.0
29,209,0.0,0.0,0.0,0.0
30,278,0.0,0.0,0.0,0.0
31,301,0.0,0.0,0.0,0.0
32,213,0.0,0.0,0.0,0.0
33,254,0.0,0.0,0.0,0.0
34,190,0.0,0.0,0.0,0.0
35,148,0.0,0.0,0.0,0.0
36,219,0.0,0.0,0.0,0.0
37,229,0.0,0.0,0.0,0.0
38,187,0.0,0.0,0.0,0.0
39,233,0.0,0.0,0.0,0.0
40,173,0.0,0.0,0.0,0.0
41,173,0.0,0.0,0.0,0.0
42,215,0.0,0.0,0.0,0.0
43,171,0.0,0.0,0.0,0.0
44,210,0.0,0.0,0.0,0.0
45,216,0.0,0.0,0.0,0.0
46,266,0.0,0.0,0.0,0.0
47,257,0.0,0.0,0.0,0.0
48,193,0.0,0.0,0.0,0.0
49,247,0.0,0.0,0.0,0.0
50,187,0.0,0.0,0.0,0.0
51,220,0.0,0.0,0.0,0.0
52,334,0.0,0.0,0.0,0.0
53,275,0.0,0.0,0.0,0.0
54,298,0.0,0.0,0.0,0.0
55,246,0.0,0.0,0.0,0.0
56,241,0.0,0.0,0.0,0.0
57,318,0.0,0.0,0.0,0.0
58,272,0.0,0.0,0.0,0.0
59,379,0.0,0.0,0.0,0.0
60,295,0.0,0.0,0.0,0.0
61,295,0.0,0.0,0.0,0.0
62,200,0.0,0.0,0.0,0.0
63,170,0.0,0.0,0.0,0.0
64,237,0.0,0.0,0.0,0.0
65,284,0.0,0.0,0.0,0.0
66,333,0.0,0.0,0.0,0.0
67,310,0.0,0.0,0.0,0.0
68,269,0.0,0.0,0.0,0.0
69,176,0.0,0.0,0.0,0.0
70,196,0.0,0.0,0.0,0.0
71,319,0.0,0.0,0.0,0.0
72,323,0.0,0.0,0.0,0.0
73,299,0.0,0.0,0.0,0.0
74,223,0.0,0.0,0.0,0.0
75,253,0.0,0.0,0.0,0.0
76,256,0.0,0.0,0.0,0.0
77,203,0.0,0.0,0.0,0.0
78,271,0.0,0.0,0.0,0.0
79,292,0.0,0.0,0.0,0.0
80,274,0.0,0.0,0.0,0.0
81,279,0.0,0.0,0.0,0.0
82,239,0.0,0.0,0.0,0.0
83,165,0.0,0.0,0.0,0.0
84,146,0.0,0.0,0.0,0.0
85,192,0.0,0.0,0.0,0.0
86,162,0.0,0.0,0.0,0.0
87,196,0.0,0.0,0.0,0.0
88,192,0.0,0.0,0.0,0.0
89,170,0.0,0.0,0.0,0.0
90,142,0.0,0.0,0.0,0.0
91,148,0.0,0.0,0.0,0.0
92,218,0.0,0.0,0.0,0.0
93,220,0.0,0.0,0.0,0.0
94,172,0.0,0.0,0.0,0.0
95,145,0.0,0.0,0.0,0.0
96,154,0.0,0.0,0.0,0.0
97,104,0.0,0.0,0.0,0.0
98,128,0.0,0.0,0.0,0.0
99,174,0.0,0.0,0.0,0.0
100,179,0.0,0.0,0.0,0.0
101,167,0.0,0.0,0.0,0.0
102,183,0.0,0.0,0.0,0.0
103,175,0.0,0.0,0.0,0.0
104,131,0.0,0.0,0.0,0.0
105,146,0.0,0.0,0.0,0.0
106,167,0.0,0.0,0.0,0.0
107,161,0.0,0.0,0.0,0.0
108,164,0.0,0.0,0.0,0.0
109,167,0.0,0.0,0.0,0.0
110,154,0.0,0.0,0.0,0.0
111,141,0.0,0.0,0.0,0.0
112,130,0.0,0.0,0.0,0.0
113,180,0.0,0.0,0.0,0.0
114,172,0.0,0.0,0.0,0.0
115,174,0.0,0.0,0.0,0.0
116,127,0.0,0.0,0.0,0.0
117,114,0.0,0.0,0.0,0.0
118,88,0.0,0.0,0.0,0.0
119,80,0.0,0.0,0.0,0.0
120,129,0.0,0.0,0.0,0.0
121,130,0.0,0.0,0.0,0.0
122,121,0.0,0.0,0.0,0.0
123,106,0.0,0.0,0.0,0.0
124,108,0.0,0.0,0.0,0.0
125,85,0.0,0.0,0.0,0.0
126,128,0.0,0.0,0.0,0.0
127,140,0.0,0.0,0.0,0.0
128,109,0.0,0.0,0.0,0.0
129,111,0.0,0.0,0.0,0.0
130,96,0.0,0.0,0.0,0.0
131,99,0.0,0.0,0.0,0.0
132,96,0.0,0.0,0.0,0.0
133,46,0.0,0.0,0.0,0.0
134,107,0.0,0.0,0.0,0.0
135,89,0.0,0.0,0.0,0.0
136,114,0.0,0.0,0.0,0.0
137,92,0.0,0.0,0.0,0.0
138,81,0.0,0.0,0.0,0.0
139,64,0.0,0.0,0.0,0.0
140,48,0.0,0.0,0.0,0.0
141,83,0.0,0.0,0.0,0.0
142,68,0.0,0.0,0.0,0.0
143,89,0.0,0.0,0.0,0.0
144,94,0.0,0.0,0.0,0.0
145,84,0.0,0.0,0.0,0.0
146,44,0.0,0.0,0.0,0.0
147,39,0.0,0.0,0.0,0.0
148,94,0.0,0.0,0.0,0.0
149,76,0.0,0.0,0.0,0.0
150,110,0.0,0.0,0.0,0.0
151,113,0.0,0.0,0.0,0.0
152,75,0.0,0.0,0.0,0.0
153,71,0.0,0.0,0.0,0.0
154,54,0.0,0.0,0.0,0.0
155,109,0.0,0.0,0.0,0.0
156,95,0.0,0.0,0.0,0.0
157,119,0.0,0.0,0.0,0.0
158,116,0.0,0.0,0.0,0.0
159,93,0.0,0.0,0.0,0.0
160,73,0.0,0.0,0.0,0.0
161,72,0.0,0.0,0.0,0.0
162,211,0.0,0.0,0.0,0.0
163,179,0.0,0.0,0.0,0.0
164,124,0.0,0.0,0.0,0.0
165,112,0.0,0.0,0.0,0.0
166,88,0.0,0.0,0.0,0.0
167,55,0.0,0.0,0.0,0.0
168,58,0.0,0.0,0.0,0.0
169,139,0.0,0.0,0.0,0.0
170,78,0.0,0.0,0.0,0.0
171,104,0.0,0.0,0.0,0.0
172,102,0.0,0.0,0.0,0.0
173,103,0.0,0.0,0.0,0.0
174,51,0.0,0.0,0.0,0.0
175,52,0.0,0.0,0.0,0.0
176,89,0.0,0.0,0.0,0.0
177,76,0.0,0.0,0.0,0.0
178,95,0.0,0.0,0.0,0.0
179,88,0.0,0.0,0.0,0.0
180,96,0.0,0.0,0.0,0.0
181,48,0.0,0.0,0.0,0.0
182,61,0.0,0.0,0.0,0.0
183,88,0.0,0.0,0.0,0.0
184,161,0.0,0.0,0.0,0.0
185,253,0.0,0.0,0.0,0.0
186,245,0.0,0.0,0.0,0.0
187,185,0.0,0.0,0.0,0.0
188,164,0.0,0.0,0.0,0.0
189,138,0.0,0.0,0.0,0.0
190,351,0.0,0.0,0.0,0.0
191,320,0.0,0.0,0.0,0.0
192,254,0.0,0.0,0.0,0.0
