Date,cases,all_cases,SGTF_proportion,LFD_proportion
2020-03-01,18,18,0.0,0.0
2020-03-02,40,40,0.0,0.0
2020-03-03,52,52,0.0,0.0
2020-03-04,49,49,0.0,0.0
2020-03-05,46,46,0.0,0.0
2020-03-06,74,74,0.0,0.0
2020-03-07,55,55,0.0,0.0
2020-03-08,50,50,0.0,0.0
2020-03-09,127,127,0.0,0.0
2020-03-10,229,229,0.0,0.0
2020-03-11,358,358,0.0,0.0
2020-03-12,421,421,0.0,0.0
2020-03-13,401,401,0.0,0.0
2020-03-14,315,315,0.0,0.0
2020-03-15,398,398,0.0,0.0
2020-03-16,552,552,0.0,0.0
2020-03-17,683,683,0.0,0.0
2020-03-18,911,911,0.0,0.0
2020-03-19,934,934,0.0,0.0
2020-03-20,1095,1095,0.0,0.0
2020-03-21,1038,1038,0.0,0.0
2020-03-22,1214,1214,0.0,0.0
2020-03-23,2011,2011,0.0,0.0
2020-03-24,2042,2042,0.0,0.0
2020-03-25,2284,2284,0.0,0.0
2020-03-26,2633,2633,0.0,0.0
2020-03-27,2672,2672,0.0,0.0
2020-03-28,2379,2379,0.0,0.0
2020-03-29,2449,2449,0.0,0.0
2020-03-30,3514,3514,0.0,0.0
2020-03-31,3816,3816,0.0,0.0
2020-04-01,4150,4150,0.0,0.0
2020-04-02,4097,4097,0.0,0.0
2020-04-03,4101,4101,0.0,0.0
2020-04-04,3405,3405,0.0,0.0
2020-04-05,3094,3094,0.0,0.0
2020-04-06,4407,4407,0.0,0.0
2020-04-07,4605,4605,0.0,0.0
2020-04-08,4315,4315,0.0,0.0
2020-04-09,4076,4076,0.0,0.0
2020-04-10,3590,3590,0.0,0.0
2020-04-11,3085,3085,0.0,0.0
2020-04-12,2958,2958,0.0,0.0
2020-04-13,3463,3463,0.0,0.0
2020-04-14,3568,3568,0.0,0.0
2020-04-15,4240,4240,0.0,0.0
2020-04-16,4360,4360,0.0,0.0
2020-04-17,4088,4088,0.0,0.0
2020-04-18,4141,4141,0.0,0.0
2020-04-19,3494,3494,0.0,0.0
2020-04-20,3698,3698,0.0,0.0
2020-04-21,3995,3995,0.0,0.0
2020-04-22,4812,4812,0.0,0.0
2020-04-23,4575,4575,0.0,0.0
2020-04-24,4352,4352,0.0,0.0
2020-04-25,3381,3381,0.0,0.0
2020-04-26,3137,3137,0.0,0.0
2020-04-27,4056,4056,0.0,0.0
2020-04-28,4113,4113,0.0,0.0
2020-04-29,4737,4737,0.0,0.0
2020-04-30,4314,4314,0.0,0.0
2020-05-01,4109,4109,0.0,0.0
2020-05-02,2762,2762,0.0,0.0
2020-05-03,2648,2648,0.0,0.0
2020-05-04,2851,2851,0.0,0.0
2020-05-05,3148,3148,0.0,0.0
2020-05-06,3264,3264,0.0,0.0
2020-05-07,3205,3205,0.0,0.0
2020-05-08,2622,2622,0.0,0.0
2020-05-09,1797,1797,0.0,0.0
2020-05-10,2013,2013,0.0,0.0
2020-05-11,3088,3088,0.0,0.0
2020-05-12,2940,2940,0.0,0.0
2020-05-13,2899,2899,0.0,0.0
2020-05-14,2222,2222,0.0,0.0
2020-05-15,2145,2145,0.0,0.0
2020-05-16,1781,1781,0.0,0.0
2020-05-17,1593,1593,0.0,0.0
2020-05-18,2226,2226,0.0,0.0
2020-05-19,2602,2602,0.0,0.0
2020-05-20,2359,2359,0.0,0.0
2020-05-21,2277,2277,0.0,0.0
2020-05-22,1798,1798,0.0,0.0
2020-05-23,1309,1309,0.0,0.0
2020-05-24,1206,1206,0.0,0.0
2020-05-25,1389,1389,0.0,0.0
2020-05-26,1461,1461,0.0,0.0
2020-05-27,1616,1616,0.0,0.0
2020-05-28,1575,1575,0.0,0.0
2020-05-29,1374,1374,0.0,0.0
2020-05-30,1010,1010,0.0,0.0
2020-05-31,984,984,0.0,0.0
2020-06-01,1318,1318,0.0,0.0
2020-06-02,1365,1365,0.0,0.0
2020-06-03,1251,1251,0.0,0.0
2020-06-04,1147,1147,0.0,0.0
2020-06-05,1020,1020,0.0,0.0
2020-06-06,723,723,0.0,0.0
2020-06-07,668,668,0.0,0.0
2020-06-08,990,990,0.0,0.0
2020-06-09,1066,1066,0.0,0.0
2020-06-10,1086,1086,0.0,0.0
2020-06-11,915,915,0.0,0.0
2020-06-12,938,938,0.0,0.0
2020-06-13,785,785,0.0,0.0
2020-06-14,752,752,0.0,0.0
2020-06-15,944,944,0.0,0.0
2020-06-16,996,996,0.0,0.0
2020-06-17,914,914,0.0,0.0
2020-06-18,938,938,0.0,0.0
2020-06-19,818,818,0.0,0.0
2020-06-20,626,626,0.0,0.0
2020-06-21,550,550,0.0,0.0
2020-06-22,821,821,0.0,0.0
2020-06-23,727,727,0.0,0.0
2020-06-24,732,732,0.0,0.0
2020-06-25,643,643,0.0,0.0
2020-06-26,640,640,0.0,0.0
2020-06-27,506,506,0.0,0.0
2020-06-28,413,413,0.0,0.0
2020-06-29,666,666,0.0,0.0
2020-06-30,578,578,0.0,0.0
2020-07-01,607,607,0.0,0.0
2020-07-02,561,561,0.0,0.0
2020-07-03,536,536,0.0,0.0
2020-07-04,385,385,0.0,0.0
2020-07-05,544,544,0.0,0.0
2020-07-06,664,664,0.0,0.0
2020-07-07,564,564,0.0,0.0
2020-07-08,682,682,0.0,0.0
2020-07-09,688,688,0.0,0.0
2020-07-10,524,524,0.0,0.0
2020-07-11,433,433,0.0,0.0
2020-07-12,351,351,0.0,0.0
2020-07-13,694,694,0.0,0.0
2020-07-14,661,661,0.0,0.0
2020-07-15,726,726,0.0,0.0
2020-07-16,644,644,0.0,0.0
2020-07-17,548,548,0.0,0.0
2020-07-18,473,473,0.0,0.0
2020-07-19,419,419,0.0,0.0
2020-07-20,769,769,0.0,0.0
2020-07-21,697,697,0.0,0.0
2020-07-22,764,764,0.0,0.0
2020-07-23,741,741,0.0,0.0
2020-07-24,720,720,0.0,0.0
2020-07-25,499,499,0.0,0.0
2020-07-26,518,518,0.0,0.0
2020-07-27,824,824,0.0,0.0
2020-07-28,796,796,0.0,0.0
2020-07-29,994,994,0.0,0.0
2020-07-30,879,879,0.0,0.0
2020-07-31,644,644,0.0,0.0
2020-08-01,508,508,0.0,0.0
2020-08-02,518,518,0.0,0.0
2020-08-03,963,963,0.0,0.0
2020-08-04,964,964,0.0,0.0
2020-08-05,974,974,0.0,0.0
2020-08-06,1005,1005,0.0,0.0
2020-08-07,892,892,0.0,0.0
2020-08-08,648,648,0.0,0.0
2020-08-09,569,569,0.0,0.0
2020-08-10,1375,1375,0.0,0.0
2020-08-11,1247,1247,0.0,0.0
2020-08-12,1126,1126,0.0,0.0
2020-08-13,1036,1036,0.0,0.0
2020-08-14,1059,1059,0.0,0.0
2020-08-15,656,656,0.0,0.0
2020-08-16,534,534,0.0,0.0
2020-08-17,1159,1159,0.0,0.0
2020-08-18,955,955,0.0,0.0
2020-08-19,1109,1109,0.0,0.0
2020-08-20,1254,1254,0.0,0.0
2020-08-21,1031,1031,0.0,0.0
2020-08-22,732,732,0.0,0.0
2020-08-23,704,704,0.0,0.0
2020-08-24,1157,1157,0.0,0.0
2020-08-25,1085,1085,0.0,0.0
2020-08-26,1181,1181,0.0,0.0
2020-08-27,1356,1356,0.0,0.0
2020-08-28,1395,1395,0.0,0.0
2020-08-29,1051,1051,0.0,0.0
2020-08-30,987,987,0.0,0.0
2020-08-31,1279,1279,0.0,0.0
2020-09-01,1962,1962,0.0,0.0
2020-09-02,2696,2696,0.0,0.0
2020-09-03,2716,2716,0.0,0.0
2020-09-04,2637,2637,0.0,0.0
2020-09-05,2200,2200,0.0,0.0
2020-09-06,2079,2079,0.0,0.0
2020-09-07,3530,3530,0.0,0.0
2020-09-08,3071,3071,0.0,0.0
2020-09-09,2893,2893,0.0,0.0
2020-09-10,3143,3143,0.0,0.0
2020-09-11,2893,2893,0.0,0.0
2020-09-12,2224,2224,0.0,0.0
2020-09-13,1722,1722,0.0,0.0
2020-09-14,2941,2941,0.0,0.0
2020-09-15,3057,3057,0.0,0.0
2020-09-16,3778,3778,0.0,0.0
2020-09-17,3979,3979,0.0,0.0
2020-09-18,4290,4290,0.0,0.0
2020-09-19,4215,4215,0.0,0.0
2020-09-20,4652,4652,0.0,0.0
2020-09-21,4727,4727,0.0,0.0
2020-09-22,5400,5400,0.0,0.0
2020-09-23,5933,5933,0.0,0.0
2020-09-24,6361,6361,0.0,0.0
2020-09-25,6105,6105,0.0,0.0
2020-09-26,5703,5703,0.0,0.0
2020-09-27,6084,6084,0.0,0.0
2020-09-28,8641,8641,0.0,0.0
2020-09-29,8833,8833,0.0,0.0
2020-09-30,10663,10663,0.0,0.0
2020-10-01,11445,11445,0.0,0.0
2020-10-02,11719,11719,0.0,0.0
2020-10-03,9820,9820,0.0,0.0
2020-10-04,9967,9967,0.0,0.0
2020-10-05,14220,14220,0.0,0.0
2020-10-06,14458,14458,0.0,0.0
2020-10-07,15420,15420,0.0,0.0
2020-10-08,15454,15454,0.0,0.0
2020-10-09,13169,13169,0.0,0.0
2020-10-10,10305,10305,0.0,0.0
2020-10-11,9792,9792,0.0,0.0
2020-10-12,16459,16459,0.0,0.0
2020-10-13,15679,15679,0.0,0.0
2020-10-14,16659,16659,0.0,0.0
2020-10-15,15461,15461,0.0,0.0
2020-10-16,14784,14784,0.0,0.0
2020-10-17,12493,12493,0.0,0.0
2020-10-18,12001,12001,0.0,0.0
2020-10-19,22423,22423,0.0,0.0
2020-10-20,21705,21705,0.0,0.0
2020-10-21,21833,21833,0.0,0.0
2020-10-22,19888,19888,0.0,0.0
2020-10-23,18378,18379,0.0,5.440992437020512e-05
2020-10-24,13743,13743,0.0,0.0
2020-10-25,13363,13363,0.0,0.0
2020-10-26,23033,23033,0.0,0.0
2020-10-27,20771,20771,0.0,0.0
2020-10-28,20553,20553,0.0,0.0
2020-10-29,20292,20292,0.0,0.0
2020-10-30,19904,19905,0.0,5.023863350916855e-05
2020-10-31,14593,14594,0.0,0.0
2020-11-01,13642,13642,0.10714285714285714,0.0
2020-11-02,28472,28472,0.11505102040816326,0.0
2020-11-03,22736,22736,0.12295918367346938,0.0
2020-11-04,21081,21081,0.1308673469387755,0.0
2020-11-05,21244,21245,0.13877551020408163,4.706989879971758e-05
2020-11-06,21209,21234,0.14668367346938777,0.0010360742205896205
2020-11-07,16878,16906,0.1545918367346939,0.0014196143381048148
2020-11-08,18219,18280,0.16250000000000003,0.0031181619256017506
2020-11-09,28553,28606,0.16019163763066205,0.0017828427602600853
2020-11-10,24824,24875,0.15788327526132406,0.0017688442211055277
2020-11-11,25031,25100,0.15557491289198608,0.0026294820717131474
2020-11-12,22301,22370,0.1532665505226481,0.002637460885113992
2020-11-13,21963,22058,0.1509581881533101,0.004080152325686826
2020-11-14,16265,16325,0.14864982578397212,0.0033690658499234303
2020-11-15,14398,14447,0.14634146341463414,0.0031148335294524814
2020-11-16,24117,24190,0.15883071632200552,0.0024803637866887144
2020-11-17,20652,20720,0.1713199692293769,0.0030405405405405407
2020-11-18,18543,18587,0.18380922213674827,0.0020444396621294453
2020-11-19,15782,15830,0.19629847504411965,0.002653190145293746
2020-11-20,14936,14994,0.20878772795149103,0.0031345871682006135
2020-11-21,10805,10829,0.2212769808588624,0.0014775140825560994
2020-11-22,10211,10234,0.2337662337662338,0.001465702560093805
2020-11-23,16479,16530,0.2506728683791058,0.0017543859649122807
2020-11-24,14236,14292,0.2675795029919778,0.0016092919115589142
2020-11-25,14146,14198,0.2844861376048498,0.0017608113818847724
2020-11-26,12473,12515,0.3013927722177218,0.0019176987614862165
2020-11-27,12433,12502,0.3182994068305938,0.0031195008798592227
2020-11-28,9323,9366,0.33520604144346583,0.0018150758061071962
2020-11-29,9056,9090,0.35211267605633784,0.0016501650165016502
2020-11-30,15219,15295,0.3703040158760782,0.002745995423340961
2020-12-01,13717,13792,0.38849535569581856,0.002537703016241299
2020-12-02,13664,13734,0.4066866955155589,0.002766855977865152
2020-12-03,12743,12828,0.4248780353352993,0.0031181789834736516
2020-12-04,13002,13097,0.44306937515503964,0.003206841261357563
2020-12-05,10242,10326,0.46126071497478,0.003873716831299632
2020-12-06,10993,11070,0.47945205479452035,0.002258355916892502
2020-12-07,17596,17722,0.49667318982387454,0.0028777790317119963
2020-12-08,16848,16969,0.5138943248532287,0.002946549590429607
2020-12-09,17611,17772,0.5311154598825829,0.0033198289444069324
2020-12-10,18720,18861,0.5483365949119371,0.002863050739621441
2020-12-11,20030,20212,0.5655577299412913,0.0035622402533148625
2020-12-12,16158,16272,0.5827788649706455,0.00165929203539823
2020-12-13,18318,18422,0.5999999999999996,0.0013570730648138096
2020-12-14,29812,30043,0.6160919540229881,0.0020969943081583066
2020-12-15,29447,29688,0.6321839080459766,0.002256804095931016
2020-12-16,30353,30661,0.648275862068965,0.003131013339421415
2020-12-17,29835,30162,0.6643678160919535,0.003481201511836085
2020-12-18,32030,32424,0.680459770114942,0.003947693066864051
2020-12-19,21792,22195,0.6965517241379304,0.006442892543365623
2020-12-20,29164,29554,0.7126436781609189,0.0037558367733640115
2020-12-21,42759,43446,0.7166575442437505,0.005293928094646227
2020-12-22,41016,41741,0.7206714103265821,0.0060132723221772355
2020-12-23,37560,38383,0.7246852764094137,0.009274939426308523
2020-12-24,28651,29286,0.7286991424922453,0.010380386532814314
2020-12-25,12819,12926,0.7327130085750769,0.0038681726752282223
2020-12-26,37162,37461,0.7367268746579085,0.002696137316142121
2020-12-27,42580,43249,0.7407407407407401,0.004878725519665195
2020-12-28,40109,40844,0.7502390514438702,0.005484281657036529
2020-12-29,72553,74056,0.7597373621470002,0.005981959598141947
2020-12-30,62840,64243,0.7692356728501302,0.007160313185872391
2020-12-31,46508,47822,0.7787339835532602,0.009681736439295721
2021-01-01,28458,28879,0.7882322942563902,0.005540358045638699
2021-01-02,53937,55428,0.7977306049595202,0.007811936205527892
2021-01-03,49149,50661,0.8072289156626502,0.00842857424843568
2021-01-04,68806,70918,0.8093273288850112,0.008361769931470149
2021-01-05,57686,59597,0.8114257421073723,0.00961457791499572
2021-01-06,51078,52751,0.8135241553297333,0.010577998521355046
2021-01-07,46318,48132,0.8156225685520944,0.012174852488988615
2021-01-08,41715,43493,0.8177209817744554,0.013312487066884326
2021-01-09,35132,36419,0.8198193949968164,0.010873445179713885
2021-01-10,32417,33749,0.8219178082191775,0.011348484399537765
2021-01-11,51107,53518,0.8305513986416478,0.013004970290369596
2021-01-12,44075,45968,0.8391849890641182,0.012312913331012879
2021-01-13,40503,42300,0.8478185794865886,0.012364066193853428
2021-01-14,37981,39659,0.8564521699090589,0.012834413374013465
2021-01-15,36246,37877,0.8650857603315293,0.013570240515352324
2021-01-16,27206,28410,0.8737193507539996,0.01235480464625132
2021-01-17,25774,26976,0.88235294117647,0.0117141162514828
2021-01-18,39858,41934,0.8796791443850261,0.012543520770734964
2021-01-19,35314,37056,0.8770053475935823,0.012899395509499137
2021-01-20,31145,32678,0.8743315508021384,0.013464716322908379
2021-01-21,28251,29632,0.8716577540106946,0.013870140388768899
2021-01-22,26431,27741,0.8689839572192507,0.013517897696550233
2021-01-23,19481,20425,0.8663101604278068,0.014589963280293758
2021-01-24,14962,15883,0.863636363636363,0.014292010325505257
2021-01-25,26314,27971,0.8715961457896936,0.016123842551213758
2021-01-26,23916,25210,0.8795559279430242,0.014280047600158666
2021-01-27,22596,23899,0.8875157100963548,0.028243859575714465
2021-01-28,21170,22522,0.8954754922496854,0.03321197051771601
2021-01-29,19267,20362,0.903435274403016,0.030399764266771438
2021-01-30,14754,15524,0.9113950565563466,0.027763463024993558
2021-01-31,13069,14138,0.9193548387096772,0.03487056160701655
2021-02-01,19241,20764,0.9241791474654375,0.038431901367751875
2021-02-02,17034,18196,0.9290034562211978,0.03566717959991207
2021-02-03,16657,17948,0.9338277649769582,0.03994874080677513
2021-02-04,15605,16716,0.9386520737327185,0.039722421631969373
2021-02-05,13538,14462,0.9434763824884789,0.038099847877195406
2021-02-06,10359,10951,0.9483006912442392,0.031321340516847776
2021-02-07,9581,10457,0.9531249999999996,0.03576551592234867
2021-02-08,13242,14370,0.9555570362473343,0.04453723034098817
2021-02-09,11822,12696,0.9579890724946691,0.03930371770636421
2021-02-10,11305,12272,0.9604211087420039,0.042454367666232076
2021-02-11,10836,11637,0.9628531449893387,0.04159147546618544
2021-02-12,10280,10986,0.9652851812366735,0.038503549972692515
2021-02-13,7595,8024,0.9677172174840083,0.03339980059820538
2021-02-14,7213,7780,0.9701492537313431,0.03470437017994859
2021-02-15,12030,12953,0.9681111250470336,0.041303173010113485
2021-02-16,10505,11270,0.966072996362724,0.04330079858030168
2021-02-17,9654,10419,0.9640348676784145,0.04165466935406469
2021-02-18,9594,10304,0.961996738994105,0.04357531055900621
2021-02-19,8609,9246,0.9599586103097955,0.043586415747350206
2021-02-20,6716,7160,0.9579204816254859,0.04287709497206704
2021-02-21,6413,7032,0.9558823529411764,0.04479522184300341
2021-02-22,9337,10277,0.953903300450615,0.05760435924880802
2021-02-23,7899,8535,0.9519242479600536,0.047100175746924426
2021-02-24,6942,7619,0.9499451954694922,0.05656910355689723
2021-02-25,6314,6935,0.9479661429789308,0.05998558038932949
2021-02-26,5395,5884,0.9459870904883694,0.056254248810333106
2021-02-27,3974,4254,0.944008037997808,0.043253408556652564
2021-02-28,3684,4112,0.9420289855072466,0.05933852140077821
