Days_since_March1,cases,SGTF_proportion,mean_CT,OR_only,vaccinated
0,3,0.0,0.0,0.0,0.0
1,12,0.0,0.0,0.0,0.0
2,6,0.0,0.0,0.0,0.0
3,15,0.0,0.0,0.0,0.0
4,13,0.0,0.0,0.0,0.0
5,23,0.0,0.0,0.0,0.0
6,14,0.0,0.0,0.0,0.0
7,22,0.0,0.0,0.0,0.0
8,54,0.0,0.0,0.0,0.0
9,95,0.0,0.0,0.0,0.0
10,183,0.0,0.0,0.0,0.0
11,167,0.0,0.0,0.0,0.0
12,138,0.0,0.0,0.0,0.0
13,149,0.0,0.0,0.0,0.0
14,165,0.0,0.0,0.0,0.0
15,237,0.0,0.0,0.0,0.0
16,310,0.0,0.0,0.0,0.0
17,357,0.0,0.0,0.0,0.0
18,332,0.0,0.0,0.0,0.0
19,424,0.0,0.0,0.0,0.0
20,348,0.0,0.0,0.0,0.0
21,439,0.0,0.0,0.0,0.0
22,685,0.0,0.0,0.0,0.0
23,636,0.0,0.0,0.0,0.0
24,752,0.0,0.0,0.0,0.0
25,740,0.0,0.0,0.0,0.0
26,818,0.0,0.0,0.0,0.0
27,577,0.0,0.0,0.0,0.0
28,596,0.0,0.0,0.0,0.0
29,848,0.0,0.0,0.0,0.0
30,935,0.0,0.0,0.0,0.0
31,977,0.0,0.0,0.0,0.0
32,1063,0.0,0.0,0.0,0.0
33,984,0.0,0.0,0.0,0.0
34,765,0.0,0.0,0.0,0.0
35,636,0.0,0.0,0.0,0.0
36,858,0.0,0.0,0.0,0.0
37,946,0.0,0.0,0.0,0.0
38,867,0.0,0.0,0.0,0.0
39,791,0.0,0.0,0.0,0.0
40,622,0.0,0.0,0.0,0.0
41,518,0.0,0.0,0.0,0.0
42,502,0.0,0.0,0.0,0.0
43,601,0.0,0.0,0.0,0.0
44,600,0.0,0.0,0.0,0.0
45,657,0.0,0.0,0.0,0.0
46,574,0.0,0.0,0.0,0.0
47,577,0.0,0.0,0.0,0.0
48,401,0.0,0.0,0.0,0.0
49,398,0.0,0.0,0.0,0.0
50,425,0.0,0.0,0.0,0.0
51,463,0.0,0.0,0.0,0.0
52,399,0.0,0.0,0.0,0.0
53,520,0.0,0.0,0.0,0.0
54,375,0.0,0.0,0.0,0.0
55,332,0.0,0.0,0.0,0.0
56,310,0.0,0.0,0.0,0.0
57,418,0.0,0.0,0.0,0.0
58,311,0.0,0.0,0.0,0.0
59,432,0.0,0.0,0.0,0.0
60,426,0.0,0.0,0.0,0.0
61,355,0.0,0.0,0.0,0.0
62,248,0.0,0.0,0.0,0.0
63,170,0.0,0.0,0.0,0.0
64,245,0.0,0.0,0.0,0.0
65,216,0.0,0.0,0.0,0.0
66,267,0.0,0.0,0.0,0.0
67,273,0.0,0.0,0.0,0.0
68,208,0.0,0.0,0.0,0.0
69,128,0.0,0.0,0.0,0.0
70,123,0.0,0.0,0.0,0.0
71,160,0.0,0.0,0.0,0.0
72,191,0.0,0.0,0.0,0.0
73,203,0.0,0.0,0.0,0.0
74,159,0.0,0.0,0.0,0.0
75,132,0.0,0.0,0.0,0.0
76,74,0.0,0.0,0.0,0.0
77,79,0.0,0.0,0.0,0.0
78,113,0.0,0.0,0.0,0.0
79,128,0.0,0.0,0.0,0.0
80,141,0.0,0.0,0.0,0.0
81,157,0.0,0.0,0.0,0.0
82,86,0.0,0.0,0.0,0.0
83,64,0.0,0.0,0.0,0.0
84,51,0.0,0.0,0.0,0.0
85,58,0.0,0.0,0.0,0.0
86,64,0.0,0.0,0.0,0.0
87,83,0.0,0.0,0.0,0.0
88,74,0.0,0.0,0.0,0.0
89,57,0.0,0.0,0.0,0.0
90,38,0.0,0.0,0.0,0.0
91,37,0.0,0.0,0.0,0.0
92,49,0.0,0.0,0.0,0.0
93,50,0.0,0.0,0.0,0.0
94,78,0.0,0.0,0.0,0.0
95,57,0.0,0.0,0.0,0.0
96,46,0.0,0.0,0.0,0.0
97,46,0.0,0.0,0.0,0.0
98,45,0.0,0.0,0.0,0.0
99,55,0.0,0.0,0.0,0.0
100,71,0.0,0.0,0.0,0.0
101,52,0.0,0.0,0.0,0.0
102,46,0.0,0.0,0.0,0.0
103,53,0.0,0.0,0.0,0.0
104,39,0.0,0.0,0.0,0.0
105,30,0.0,0.0,0.0,0.0
106,40,0.0,0.0,0.0,0.0
107,47,0.0,0.0,0.0,0.0
108,42,0.0,0.0,0.0,0.0
109,47,0.0,0.0,0.0,0.0
110,38,0.0,0.0,0.0,0.0
111,29,0.0,0.0,0.0,0.0
112,26,0.0,0.0,0.0,0.0
113,53,0.0,0.0,0.0,0.0
114,50,0.0,0.0,0.0,0.0
115,46,0.0,0.0,0.0,0.0
116,58,0.0,0.0,0.0,0.0
117,48,0.0,0.0,0.0,0.0
118,32,0.0,0.0,0.0,0.0
119,22,0.0,0.0,0.0,0.0
120,59,0.0,0.0,0.0,0.0
121,52,0.0,0.0,0.0,0.0
122,43,0.0,0.0,0.0,0.0
123,43,0.0,0.0,0.0,0.0
124,38,0.0,0.0,0.0,0.0
125,32,0.0,0.0,0.0,0.0
126,52,0.0,0.0,0.0,0.0
127,55,0.0,0.0,0.0,0.0
128,60,0.0,0.0,0.0,0.0
129,59,0.0,0.0,0.0,0.0
130,54,0.0,0.0,0.0,0.0
131,39,0.0,0.0,0.0,0.0
132,20,0.0,0.0,0.0,0.0
133,38,0.0,0.0,0.0,0.0
134,85,0.0,0.0,0.0,0.0
135,63,0.0,0.0,0.0,0.0
136,76,0.0,0.0,0.0,0.0
137,70,0.0,0.0,0.0,0.0
138,48,0.0,0.0,0.0,0.0
139,48,0.0,0.0,0.0,0.0
140,42,0.0,0.0,0.0,0.0
141,102,0.0,0.0,0.0,0.0
142,81,0.0,0.0,0.0,0.0
143,85,0.0,0.0,0.0,0.0
144,70,0.0,0.0,0.0,0.0
145,84,0.0,0.0,0.0,0.0
146,57,0.0,0.0,0.0,0.0
147,64,0.0,0.0,0.0,0.0
148,101,0.0,0.0,0.0,0.0
149,100,0.0,0.0,0.0,0.0
150,103,0.0,0.0,0.0,0.0
151,104,0.0,0.0,0.0,0.0
152,77,0.0,0.0,0.0,0.0
153,59,0.0,0.0,0.0,0.0
154,76,0.0,0.0,0.0,0.0
155,89,0.0,0.0,0.0,0.0
156,106,0.0,0.0,0.0,0.0
157,119,0.0,0.0,0.0,0.0
158,108,0.0,0.0,0.0,0.0
159,126,0.0,0.0,0.0,0.0
160,56,0.0,0.0,0.0,0.0
161,69,0.0,0.0,0.0,0.0
162,147,0.0,0.0,0.0,0.0
163,150,0.0,0.0,0.0,0.0
164,165,0.0,0.0,0.0,0.0
165,126,0.0,0.0,0.0,0.0
166,131,0.0,0.0,0.0,0.0
167,106,0.0,0.0,0.0,0.0
168,88,0.0,0.0,0.0,0.0
169,190,0.0,0.0,0.0,0.0
170,184,0.0,0.0,0.0,0.0
171,154,0.0,0.0,0.0,0.0
172,208,0.0,0.0,0.0,0.0
173,170,0.0,0.0,0.0,0.0
174,120,0.0,0.0,0.0,0.0
175,141,0.0,0.0,0.0,0.0
176,198,0.0,0.0,0.0,0.0
177,170,0.0,0.0,0.0,0.0
178,165,0.0,0.0,0.0,0.0
179,232,0.0,0.0,0.0,0.0
180,223,0.0,0.0,0.0,0.0
181,139,0.0,0.0,0.0,0.0
182,132,0.0,0.0,0.0,0.0
183,217,0.0,0.0,0.0,0.0
184,316,0.0,0.0,0.0,0.0
185,343,0.0,0.0,0.0,0.0
186,348,0.0,0.0,0.0,0.0
187,359,0.0,0.0,0.0,0.0
188,271,0.0,0.0,0.0,0.0
189,209,0.0,0.0,0.0,0.0
190,464,0.0,0.0,0.0,0.0
191,351,0.0,0.0,0.0,0.0
192,347,0.0,0.0,0.0,0.0
193,397,0.0,0.0,0.0,0.0
194,335,0.0,0.0,0.0,0.0
195,232,0.0,0.0,0.0,0.0
196,112,0.0,0.0,0.0,0.0
197,304,0.0,0.0,0.0,0.0
198,272,0.0,0.0,0.0,0.0
199,294,0.0,0.0,0.0,0.0
200,328,0.0,0.0,0.0,0.0
201,386,0.0,0.0,0.0,0.0
202,342,0.0,0.0,0.0,0.0
203,415,0.0,26.7,0.0,0.0
204,434,0.0,26.714285714285715,0.42857142857142855,0.0
205,525,0.0,26.72857142857143,0.8571428571428571,0.0
206,658,0.0,26.742857142857147,1.2857142857142856,0.0
207,602,0.0,26.757142857142863,1.7142857142857142,0.0
208,607,0.0,26.77142857142858,2.142857142857143,0.0
209,552,0.0,26.785714285714295,2.571428571428571,0.0
210,535,0.0,26.80000000000001,2.9999999999999996,0.0
211,744,0.0,27.014285714285727,2.9999999999999996,0.0
212,705,0.0,27.228571428571442,2.9999999999999996,0.0
213,1006,0.0,27.442857142857157,2.9999999999999996,0.0
214,1076,0.0,27.657142857142873,2.9999999999999996,0.0
215,1040,0.0,27.871428571428588,2.9999999999999996,0.0
216,800,0.0,28.085714285714303,2.9999999999999996,0.0
217,834,0.0,28.30000000000002,2.9999999999999996,0.0
218,1298,0.0,28.014285714285734,3.428571428571428,0.0
219,1168,0.0,27.72857142857145,3.8571428571428563,0.0
220,1425,0.0,27.442857142857164,4.285714285714285,0.0
221,1481,0.0,27.15714285714288,4.7142857142857135,0.0
222,1362,0.0,26.871428571428595,5.142857142857142,0.0
223,881,0.0,26.58571428571431,5.571428571428571,0.0
224,745,0.0,26.300000000000026,6.0,0.0
225,1590,0.0,26.51428571428574,6.285714285714286,0.0
226,1440,0.0,26.728571428571456,6.571428571428571,0.0
227,1638,0.0,26.94285714285717,6.857142857142857,0.0
228,1740,0.0,27.157142857142887,7.142857142857142,0.0
229,1685,0.0,27.371428571428602,7.428571428571428,0.0
230,1117,0.0,27.585714285714317,7.7142857142857135,0.0
231,1308,0.0,27.800000000000033,7.999999999999999,0.0
232,2359,0.0,27.642857142857174,7.285714285714285,0.0
233,2336,0.0,27.485714285714316,6.57142857142857,0.0
234,2376,0.0,27.328571428571458,5.857142857142856,0.0
235,2200,0.0,27.1714285714286,5.1428571428571415,0.0
236,2043,0.0,27.01428571428574,4.428571428571427,0.0
237,1458,0.0,26.857142857142883,3.7142857142857126,0.0
238,1303,0.0,26.700000000000024,2.9999999999999982,0.0
239,2561,0.0,26.728571428571453,3.9999999999999982,0.0
240,2111,0.0,26.75714285714288,4.999999999999998,0.0
241,1996,0.0,26.78571428571431,5.999999999999998,0.0
242,2030,0.0,26.814285714285738,6.999999999999998,0.0
243,1895,0.0,26.842857142857167,7.999999999999998,0.0
244,1403,0.0,26.871428571428595,8.999999999999998,0.0
245,1226,0.2,26.900000000000023,9.999999999999998,0.0
246,2965,0.20801393728222997,26.871428571428595,9.428571428571427,0.0
247,2162,0.21602787456445993,26.842857142857167,8.857142857142856,0.0
248,2084,0.2240418118466899,26.814285714285738,8.285714285714285,0.0
249,2115,0.23205574912891985,26.78571428571431,7.7142857142857135,0.0
250,2145,0.2400696864111498,26.75714285714288,7.142857142857142,0.0
251,1667,0.24808362369337977,26.728571428571453,6.571428571428571,0.0
252,1792,0.25609756097560976,26.700000000000024,6.0,0.0
253,3128,0.2589210621170251,26.78571428571431,5.285714285714286,0.0
254,2776,0.2617445632584404,26.871428571428595,4.571428571428571,0.0
255,2961,0.26456806439985575,26.95714285714288,3.8571428571428568,0.0
256,2890,0.2673915655412711,27.042857142857166,3.1428571428571423,0.0
257,2744,0.2702150666826864,27.12857142857145,2.428571428571428,0.0
258,1960,0.27303856782410174,27.214285714285737,1.7142857142857135,0.0
259,1830,0.27586206896551707,27.300000000000022,0.9999999999999992,0.0
260,3117,0.29042145593869717,27.171428571428592,1.5714285714285707,0.0
261,2597,0.30498084291187727,27.042857142857162,2.1428571428571423,0.0
262,2488,0.31954022988505737,26.914285714285732,2.7142857142857135,0.0
263,2212,0.33409961685823747,26.785714285714302,3.2857142857142847,0.0
264,2152,0.34865900383141757,26.657142857142873,3.857142857142856,0.0
265,1514,0.36321839080459767,26.528571428571443,4.428571428571427,0.0
266,1508,0.37777777777777777,26.400000000000013,4.999999999999998,0.0
267,2430,0.3926563396442914,26.32857142857144,4.999999999999998,0.0
268,2179,0.40753490151080507,26.257142857142867,4.999999999999998,0.0
269,2265,0.4224134633773187,26.185714285714294,4.999999999999998,0.0
270,2092,0.43729202524383237,26.11428571428572,4.999999999999998,0.0
271,2234,0.452170587110346,26.042857142857148,4.999999999999998,0.0
272,1654,0.4670491489768597,25.971428571428575,4.999999999999998,0.0
273,1670,0.4819277108433733,25.900000000000002,4.999999999999998,0.0
274,2720,0.5083189902467009,25.742857142857144,4.714285714285713,0.0
275,2489,0.5347102696500285,25.585714285714285,4.428571428571427,0.0
276,2839,0.5611015490533562,25.428571428571427,4.1428571428571415,0.0
277,2487,0.5874928284566838,25.27142857142857,3.857142857142856,0.0
278,2964,0.6138841078600115,25.11428571428571,3.5714285714285703,0.0
279,2277,0.6402753872633391,24.957142857142852,3.2857142857142847,0.0
280,2445,0.6666666666666667,24.799999999999994,2.999999999999999,0.0
281,3749,0.6825396825396826,24.499999999999993,2.999999999999999,0.0
282,3759,0.6984126984126984,24.199999999999992,2.999999999999999,0.0
283,4462,0.7142857142857142,23.89999999999999,2.999999999999999,6.092397569334218e-05
284,5080,0.73015873015873,23.59999999999999,2.999999999999999,0.00015855855212498028
285,5538,0.7460317460317458,23.29999999999999,2.999999999999999,0.0003156665334001191
286,4749,0.7619047619047616,22.99999999999999,2.999999999999999,0.00047411350315203465
287,5571,0.7777777777777775,22.69999999999999,2.999999999999999,0.0005698511792415723
288,8438,0.7880184331797232,22.728571428571417,2.8571428571428563,0.0005748723860294852
289,8974,0.7982590885816689,22.757142857142846,2.7142857142857135,0.000725397007293805
290,10165,0.8084997439836147,22.785714285714274,2.5714285714285707,0.0012593186624085344
291,10317,0.8187403993855604,22.814285714285703,2.428571428571428,0.0024718843105029477
292,11002,0.8289810547875062,22.84285714285713,2.285714285714285,0.003732430379015194
293,7289,0.8392217101894519,22.87142857142856,2.1428571428571423,0.004853386898823464
294,9078,0.8494623655913977,22.899999999999988,1.9999999999999996,0.005617279824824601
295,13495,0.8558416915153156,23.185714285714273,1.9999999999999996,0.006591951853545011
296,13569,0.8622210174392336,23.471428571428557,1.9999999999999996,0.007427815410172898
297,12532,0.8686003433631516,23.757142857142842,1.9999999999999996,0.008185906052774668
298,9594,0.8749796692870696,24.042857142857127,1.9999999999999996,0.00885506554404385
299,4413,0.8813589952109876,24.32857142857141,1.9999999999999996,0.009105791136320297
300,12085,0.8877383211349056,24.614285714285696,1.9999999999999996,0.009127549699067919
301,13364,0.8941176470588236,24.89999999999998,1.9999999999999996,0.009218600915488737
302,10880,0.8971955047079073,25.142857142857125,2.1428571428571423,0.009328955882449756
303,20265,0.9002733623569911,25.38571428571427,2.285714285714285,0.009451026998582569
304,17658,0.9033512200060748,25.628571428571412,2.428571428571428,0.01021971796662549
305,12667,0.9064290776551586,25.871428571428556,2.5714285714285707,0.011823602997057907
306,6889,0.9095069353042423,26.1142857142857,2.7142857142857135,0.013167054768757248
307,13941,0.9125847929533261,26.357142857142843,2.8571428571428563,0.013494102704209969
308,13396,0.9156626506024098,26.599999999999987,2.999999999999999,0.013827845582046574
309,17652,0.9161278317904825,26.814285714285703,3.8571428571428563,0.013923583258136113
310,14895,0.9165930129785552,27.028571428571418,4.7142857142857135,0.014424476530823682
311,13885,0.9170581941666279,27.242857142857133,5.57142857142857,0.015526575629584012
312,12354,0.9175233753547006,27.45714285714285,6.428571428571427,0.01713983357935387
313,10770,0.9179885565427733,27.671428571428564,7.285714285714284,0.01948797303812803
314,8960,0.918453737730846,27.88571428571428,8.14285714285714,0.022362334968275457
315,7641,0.9189189189189187,28.099999999999994,8.999999999999998,0.02429728489959093
316,11844,0.9222203570029656,28.214285714285708,8.999999999999998,0.025545110577573794
317,10081,0.9255217950870124,28.328571428571422,8.999999999999998,0.027020675878981774
318,9508,0.9288232331710592,28.442857142857136,8.999999999999998,0.02901866985107882
319,9159,0.932124671255106,28.55714285714285,8.999999999999998,0.032377857192192494
320,8397,0.9354261093391528,28.671428571428564,8.999999999999998,0.03665302423379453
321,6311,0.9387275474231996,28.785714285714278,8.999999999999998,0.04105751524577859
322,5523,0.9420289855072465,28.89999999999999,8.999999999999998,0.04431705952774546
323,8516,0.9367051168293405,29.08571428571428,9.57142857142857,0.046147679940245406
324,7213,0.9313812481514346,29.271428571428565,10.14285714285714,0.04790175484482295
325,6377,0.9260573794735287,29.457142857142852,10.714285714285712,0.051683616215105824
326,5944,0.9207335107956228,29.64285714285714,11.285714285714283,0.056013235454763444
327,5740,0.9154096421177169,29.828571428571426,11.857142857142854,0.06020181457486725
328,4259,0.910085773439811,30.014285714285712,12.428571428571425,0.06537767453184778
329,3199,0.9047619047619051,30.2,12.999999999999996,0.07027346273243584
330,5104,0.9108485499462946,30.17142857142857,12.428571428571425,0.07280738684236278
331,4293,0.9169351951306841,30.142857142857142,11.857142857142854,0.07560799282391442
332,4314,0.9230218403150736,30.114285714285714,11.285714285714283,0.07915240690431555
333,3972,0.9291084854994631,30.085714285714285,10.714285714285712,0.0831440431359601
334,3498,0.9351951306838526,30.057142857142857,10.14285714285714,0.08803414063552187
335,2715,0.9412817758682421,30.02857142857143,9.57142857142857,0.09420319529515156
336,2288,0.9473684210526316,30.0,8.999999999999998,0.09958001510602167
337,3376,0.9500446030330063,30.014285714285716,8.57142857142857,0.10403482976825791
338,3020,0.952720785013381,30.028571428571432,8.14285714285714,0.1077353475885766
339,2779,0.9553969669937556,30.042857142857148,7.714285714285712,0.11157924875828346
340,2538,0.9580731489741303,30.057142857142864,7.285714285714283,0.11574205235020932
341,2186,0.960749330954505,30.07142857142858,6.857142857142854,0.12043732702640006
342,1591,0.9634255129348797,30.085714285714296,6.428571428571425,0.1253982793328579
343,1383,0.9661016949152543,30.100000000000012,5.9999999999999964,0.12941714166353027
344,1860,0.968712167070218,29.971428571428582,5.571428571428568,0.1316306011980153
345,1704,0.9713226392251817,29.842857142857152,5.142857142857139,0.1341301579370383
346,1575,0.9739331113801454,29.714285714285722,4.71428571428571,0.13747394691066905
347,1485,0.9765435835351091,29.585714285714293,4.285714285714281,0.14126328429994725
348,1315,0.9791540556900727,29.457142857142863,3.8571428571428528,0.14612448196488526
349,897,0.9817645278450364,29.328571428571433,3.4285714285714244,0.151624823462738
350,915,0.9843750000000001,29.200000000000003,2.999999999999996,0.15594741301289256
351,1427,0.9844093406593408,29.242857142857147,3.999999999999996,0.15919010835652667
352,1231,0.9844436813186815,29.285714285714292,4.9999999999999964,0.16208064973076847
353,1129,0.9844780219780223,29.328571428571436,5.9999999999999964,0.16703825456603438
354,1144,0.984512362637363,29.37142857142858,6.9999999999999964,0.17320954087312537
355,1060,0.9845467032967037,29.414285714285725,7.9999999999999964,0.17881655511962802
356,823,0.9845810439560444,29.45714285714287,8.999999999999996,0.1839729997436953
357,763,0.9846153846153851,29.500000000000014,9.999999999999996,0.18851384441556446
358,1045,0.9792943898207062,29.528571428571443,10.285714285714283,0.1901629203070881
359,957,0.9739733950260272,29.55714285714287,10.57142857142857,0.19279927703548844
360,763,0.9686524002313482,29.5857142857143,10.857142857142856,0.19790963813947998
361,665,0.9633314054366693,29.614285714285728,11.142857142857142,0.2039580722538267
362,642,0.9580104106419903,29.642857142857157,11.428571428571429,0.210376401934883
363,528,0.9526894158473114,29.671428571428585,11.714285714285715,0.21659020112611163
364,499,0.9473684210526324,29.700000000000014,12.000000000000002,0.22216731129663292
365,576,0.9548872180451136,29.871428571428584,11.42857142857143,0.22473861550153654
366,678,0.9624060150375947,30.042857142857155,10.85714285714286,0.22713239215089417
367,596,0.9699248120300759,30.214285714285726,10.285714285714288,0.23045129825533148
368,534,0.977443609022557,30.385714285714297,9.714285714285717,0.23408821412300326
369,515,0.9849624060150381,30.557142857142868,9.142857142857146,0.23831294593198005
370,416,0.9924812030075193,30.72857142857144,8.571428571428575,0.24313274653651104
371,425,1.0000000000000004,30.90000000000001,8.000000000000004,0.24838738364887528
372,581,0.9870129870129875,31.02857142857144,9.142857142857146,0.2504870291628343
373,616,0.9740259740259745,31.15714285714287,10.285714285714288,0.25291316470038067
374,545,0.9610389610389615,31.2857142857143,11.42857142857143,0.2561725973999745
375,472,0.9480519480519485,31.41428571428573,12.571428571428573,0.2598145344744342
376,528,0.9350649350649355,31.54285714285716,13.714285714285715,0.26239431893969073
377,383,0.9220779220779225,31.67142857142859,14.857142857142858,0.2665876961018363
378,372,0.9090909090909095,31.80000000000002,16.0,0.2713831717490392
379,617,0.9000999000999005,31.457142857142877,15.857142857142858,0.2738441209869818
380,522,0.8911088911088915,31.114285714285735,15.714285714285715,0.2782064338619474
381,477,0.8821178821178824,30.771428571428594,15.571428571428573,0.2830510057532987
382,485,0.8731268731268734,30.428571428571452,15.42857142857143,0.28846241609981893
383,452,0.8641358641358644,30.08571428571431,15.285714285714288,0.2938433644584924
384,387,0.8551448551448554,29.74285714285717,15.142857142857146,0.30110771169212547
385,479,0.8461538461538464,29.400000000000027,15.000000000000004,0.30846634603099826
386,553,0.8617352796457276,29.228571428571456,15.000000000000004,0.31216876075165906
387,489,0.8773167131376088,29.057142857142885,15.000000000000004,0.31589516568252873
388,636,0.8928981466294901,28.885714285714315,15.000000000000004,0.3196400932873272
389,471,0.9084795801213713,28.714285714285744,15.000000000000004,0.32383402836133807
390,457,0.9240610136132525,28.542857142857173,15.000000000000004,0.32813006130670325
391,322,0.9396424471051338,28.371428571428602,15.000000000000004,0.33344796562459517
392,530,0.955223880597015,28.20000000000003,15.000000000000004,0.33850711041935
393,428,0.9532171077386179,28.0714285714286,13.857142857142861,0.3412664309228677
394,384,0.9512103348802208,27.94285714285717,12.714285714285719,0.3438974316973609
395,322,0.9492035620218237,27.81428571428574,11.571428571428577,0.34628339758060406
396,370,0.9471967891634265,27.68571428571431,10.428571428571434,0.3494952961892723
397,271,0.9451900163050294,27.557142857142882,9.285714285714292,0.35123341481450154
398,252,0.9431832434466323,27.428571428571452,8.14285714285715,0.3522085331727142
399,221,0.9411764705882352,27.300000000000022,7.000000000000007,0.3534053657062065
400,262,0.9311466522092706,27.685714285714308,6.000000000000007,0.35377715817325817
401,359,0.9211168338303061,28.071428571428594,5.000000000000007,0.3542497095231873
402,372,0.9110870154513415,28.45714285714288,4.000000000000007,0.3553036050367837
403,330,0.901057197072377,28.842857142857167,3.000000000000007,0.35625305944919144
404,376,0.8910273786934124,29.228571428571453,2.000000000000007,0.35726834746170744
405,293,0.8809975603144479,29.61428571428574,1.000000000000007,0.3583596230702805
406,312,0.8709677419354833,30.000000000000025,7.105427357601002e-15,0.3597135635850479
407,353,0.8671374708241062,29.771428571428597,2.5714285714285787,0.36046183497882
408,303,0.8633071997127291,29.54285714285717,5.14285714285715,0.36093561373485283
409,295,0.8594769286013519,29.31428571428574,7.714285714285722,0.3615646035718187
410,321,0.8556466574899748,29.085714285714314,10.285714285714294,0.36399977728158334
411,332,0.8518163863785977,28.857142857142886,12.857142857142865,0.36585807012260335
412,231,0.8479861152672206,28.62857142857146,15.428571428571436,0.3679948725667929
413,395,0.8441558441558434,28.40000000000003,18.000000000000007,0.3701086890421312
414,395,0.8664192949907228,28.314285714285745,16.285714285714292,0.37140036659272846
415,377,0.8886827458256021,28.22857142857146,14.571428571428578,0.3730655103459734
416,389,0.9109461966604815,28.142857142857174,12.857142857142865,0.37485004723839765
417,327,0.9332096474953608,28.05714285714289,11.142857142857151,0.37703806599182393
418,250,0.9554730983302402,27.971428571428604,9.428571428571438,0.37904208541206647
419,247,0.9777365491651195,27.885714285714318,7.714285714285723,0.38090305623004
420,281,0.9999999999999989,27.800000000000033,6.000000000000009,0.3828622195363105
421,325,0.9999999999999989,28.20000000000003,7.2857142857142945,0.38366449679864595
422,286,0.9999999999999989,28.60000000000003,8.57142857142858,0.38483722753955624
423,307,0.9999999999999989,29.00000000000003,9.857142857142867,0.3864636522093477
424,216,0.9999999999999989,29.400000000000027,11.142857142857153,0.3887469623093713
425,240,0.9999999999999989,29.800000000000026,12.42857142857144,0.39103551678092885
426,187,0.9999999999999989,30.200000000000024,13.714285714285726,0.3931373939423492
427,183,0.9999999999999989,30.600000000000023,15.000000000000012,0.39532440845441785
428,250,0.9788359788359777,30.671428571428596,18.2857142857143,0.39650416888483125
429,316,0.9576719576719566,30.74285714285717,21.571428571428584,0.3975359710885608
430,283,0.9365079365079354,30.81428571428574,24.85714285714287,0.3996035924614502
431,300,0.9153439153439142,30.885714285714315,28.142857142857153,0.401997592275554
432,237,0.8941798941798931,30.957142857142887,31.428571428571438,0.40445776043688514
433,191,0.8730158730158719,31.02857142857146,34.71428571428572,0.4068264310523032
434,287,0.8518518518518507,31.100000000000033,38.00000000000001,0.4091717809517508
435,362,0.7777777777777767,30.81428571428575,34.14285714285715,0.41038914464188697
436,298,0.7037037037037026,30.528571428571464,30.285714285714295,0.41194292918681336
437,233,0.6296296296296285,30.24285714285718,26.428571428571438,0.41418227583184936
438,263,0.5555555555555545,29.957142857142895,22.57142857142858,0.4169729509821983
439,251,0.4814814814814804,29.67142857142861,18.714285714285722,0.4204610159642017
440,194,0.40740740740740633,29.385714285714325,14.857142857142865,0.4244380349049748
441,224,0.33333333333333226,29.10000000000004,11.000000000000007,0.4283580352531118
442,340,0.29424307036247227,28.485714285714327,11.285714285714294,0.430587339484572
443,329,0.2551528073916123,27.871428571428613,11.57142857142858,0.43261601860926185
444,360,0.2160625444207523,27.2571428571429,11.857142857142867,0.43531541937844376
445,329,0.1769722814498923,26.642857142857185,12.142857142857153,0.4393793609878343
446,273,0.1378820184790323,26.02857142857147,12.42857142857144,0.44364459719823357
447,249,0.09879175550817232,25.414285714285757,12.714285714285726,0.4475552246270331
448,281,0.05970149253731233,24.800000000000043,13.000000000000012,0.45157163214549806
449,380,0.09818898275350083,24.700000000000042,11.85714285714287,0.45407096571977495
450,424,0.13667647296968932,24.60000000000004,10.714285714285728,0.4562388996460496
451,485,0.17516396318587782,24.50000000000004,9.571428571428585,0.45952868275111697
452,520,0.21365145340206632,24.400000000000038,8.428571428571443,0.46362453691920397
453,430,0.2521389436182548,24.300000000000036,7.285714285714301,0.4688039675121226
454,385,0.29062643383444325,24.200000000000035,6.142857142857158,0.4730571528262309
455,401,0.3291139240506317,24.100000000000033,5.000000000000016,0.47713615805598514
456,515,0.2996415088353784,24.65714285714289,6.857142857142874,0.4798351124956748
457,713,0.27016909362012503,25.214285714285747,8.714285714285731,0.4826101661137946
458,814,0.24069667840487172,25.771428571428604,10.571428571428589,0.4849962435794108
459,797,0.2112242631896184,26.32857142857146,12.428571428571447,0.4882034557284103
460,703,0.18175184797436508,26.885714285714318,14.285714285714304,0.4920260446648618
