Days_since_March1,cases,SGTF_proportion,mean_CT,OR_only,vaccinated
0,0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0
2,0,0.0,0.0,0.0,0.0
3,1,0.0,0.0,0.0,0.0
4,2,0.0,0.0,0.0,0.0
5,1,0.0,0.0,0.0,0.0
6,2,0.0,0.0,0.0,0.0
7,0,0.0,0.0,0.0,0.0
8,3,0.0,0.0,0.0,0.0
9,4,0.0,0.0,0.0,0.0
10,1,0.0,0.0,0.0,0.0
11,2,0.0,0.0,0.0,0.0
12,6,0.0,0.0,0.0,0.0
13,6,0.0,0.0,0.0,0.0
14,10,0.0,0.0,0.0,0.0
15,7,0.0,0.0,0.0,0.0
16,16,0.0,0.0,0.0,0.0
17,13,0.0,0.0,0.0,0.0
18,19,0.0,0.0,0.0,0.0
19,26,0.0,0.0,0.0,0.0
20,23,0.0,0.0,0.0,0.0
21,20,0.0,0.0,0.0,0.0
22,59,0.0,0.0,0.0,0.0
23,76,0.0,0.0,0.0,0.0
24,76,0.0,0.0,0.0,0.0
25,97,0.0,0.0,0.0,0.0
26,101,0.0,0.0,0.0,0.0
27,111,0.0,0.0,0.0,0.0
28,107,0.0,0.0,0.0,0.0
29,175,0.0,0.0,0.0,0.0
30,206,0.0,0.0,0.0,0.0
31,307,0.0,0.0,0.0,0.0
32,219,0.0,0.0,0.0,0.0
33,259,0.0,0.0,0.0,0.0
34,253,0.0,0.0,0.0,0.0
35,221,0.0,0.0,0.0,0.0
36,376,0.0,0.0,0.0,0.0
37,350,0.0,0.0,0.0,0.0
38,289,0.0,0.0,0.0,0.0
39,316,0.0,0.0,0.0,0.0
40,245,0.0,0.0,0.0,0.0
41,265,0.0,0.0,0.0,0.0
42,202,0.0,0.0,0.0,0.0
43,233,0.0,0.0,0.0,0.0
44,257,0.0,0.0,0.0,0.0
45,286,0.0,0.0,0.0,0.0
46,295,0.0,0.0,0.0,0.0
47,288,0.0,0.0,0.0,0.0
48,374,0.0,0.0,0.0,0.0
49,276,0.0,0.0,0.0,0.0
50,314,0.0,0.0,0.0,0.0
51,288,0.0,0.0,0.0,0.0
52,358,0.0,0.0,0.0,0.0
53,328,0.0,0.0,0.0,0.0
54,331,0.0,0.0,0.0,0.0
55,215,0.0,0.0,0.0,0.0
56,159,0.0,0.0,0.0,0.0
57,287,0.0,0.0,0.0,0.0
58,360,0.0,0.0,0.0,0.0
59,360,0.0,0.0,0.0,0.0
60,383,0.0,0.0,0.0,0.0
61,273,0.0,0.0,0.0,0.0
62,183,0.0,0.0,0.0,0.0
63,163,0.0,0.0,0.0,0.0
64,233,0.0,0.0,0.0,0.0
65,251,0.0,0.0,0.0,0.0
66,243,0.0,0.0,0.0,0.0
67,200,0.0,0.0,0.0,0.0
68,158,0.0,0.0,0.0,0.0
69,150,0.0,0.0,0.0,0.0
70,150,0.0,0.0,0.0,0.0
71,227,0.0,0.0,0.0,0.0
72,219,0.0,0.0,0.0,0.0
73,143,0.0,0.0,0.0,0.0
74,138,0.0,0.0,0.0,0.0
75,138,0.0,0.0,0.0,0.0
76,127,0.0,0.0,0.0,0.0
77,98,0.0,0.0,0.0,0.0
78,147,0.0,0.0,0.0,0.0
79,124,0.0,0.0,0.0,0.0
80,131,0.0,0.0,0.0,0.0
81,130,0.0,0.0,0.0,0.0
82,95,0.0,0.0,0.0,0.0
83,75,0.0,0.0,0.0,0.0
84,76,0.0,0.0,0.0,0.0
85,59,0.0,0.0,0.0,0.0
86,100,0.0,0.0,0.0,0.0
87,116,0.0,0.0,0.0,0.0
88,51,0.0,0.0,0.0,0.0
89,71,0.0,0.0,0.0,0.0
90,47,0.0,0.0,0.0,0.0
91,46,0.0,0.0,0.0,0.0
