Days_since_March1,cases,SGTF_proportion,mean_CT,OR_only,vaccinated
0,5,0.0,0.0,0.0,0.0
1,6,0.0,0.0,0.0,0.0
2,7,0.0,0.0,0.0,0.0
3,2,0.0,0.0,0.0,0.0
4,10,0.0,0.0,0.0,0.0
5,2,0.0,0.0,0.0,0.0
6,9,0.0,0.0,0.0,0.0
7,5,0.0,0.0,0.0,0.0
8,7,0.0,0.0,0.0,0.0
9,15,0.0,0.0,0.0,0.0
10,17,0.0,0.0,0.0,0.0
11,40,0.0,0.0,0.0,0.0
12,42,0.0,0.0,0.0,0.0
13,25,0.0,0.0,0.0,0.0
14,23,0.0,0.0,0.0,0.0
15,55,0.0,0.0,0.0,0.0
16,55,0.0,0.0,0.0,0.0
17,84,0.0,0.0,0.0,0.0
18,98,0.0,0.0,0.0,0.0
19,83,0.0,0.0,0.0,0.0
20,113,0.0,0.0,0.0,0.0
21,117,0.0,0.0,0.0,0.0
22,175,0.0,0.0,0.0,0.0
23,249,0.0,0.0,0.0,0.0
24,254,0.0,0.0,0.0,0.0
25,357,0.0,0.0,0.0,0.0
26,332,0.0,0.0,0.0,0.0
27,322,0.0,0.0,0.0,0.0
28,359,0.0,0.0,0.0,0.0
29,503,0.0,0.0,0.0,0.0
30,556,0.0,0.0,0.0,0.0
31,621,0.0,0.0,0.0,0.0
32,679,0.0,0.0,0.0,0.0
33,683,0.0,0.0,0.0,0.0
34,606,0.0,0.0,0.0,0.0
35,625,0.0,0.0,0.0,0.0
36,876,0.0,0.0,0.0,0.0
37,791,0.0,0.0,0.0,0.0
38,853,0.0,0.0,0.0,0.0
39,805,0.0,0.0,0.0,0.0
40,603,0.0,0.0,0.0,0.0
41,611,0.0,0.0,0.0,0.0
42,491,0.0,0.0,0.0,0.0
43,610,0.0,0.0,0.0,0.0
44,634,0.0,0.0,0.0,0.0
45,697,0.0,0.0,0.0,0.0
46,782,0.0,0.0,0.0,0.0
47,583,0.0,0.0,0.0,0.0
48,862,0.0,0.0,0.0,0.0
49,613,0.0,0.0,0.0,0.0
50,674,0.0,0.0,0.0,0.0
51,701,0.0,0.0,0.0,0.0
52,920,0.0,0.0,0.0,0.0
53,862,0.0,0.0,0.0,0.0
54,751,0.0,0.0,0.0,0.0
55,553,0.0,0.0,0.0,0.0
56,429,0.0,0.0,0.0,0.0
57,621,0.0,0.0,0.0,0.0
58,710,0.0,0.0,0.0,0.0
59,794,0.0,0.0,0.0,0.0
60,777,0.0,0.0,0.0,0.0
61,730,0.0,0.0,0.0,0.0
62,411,0.0,0.0,0.0,0.0
63,492,0.0,0.0,0.0,0.0
64,422,0.0,0.0,0.0,0.0
65,575,0.0,0.0,0.0,0.0
66,582,0.0,0.0,0.0,0.0
67,510,0.0,0.0,0.0,0.0
68,484,0.0,0.0,0.0,0.0
69,346,0.0,0.0,0.0,0.0
70,348,0.0,0.0,0.0,0.0
71,526,0.0,0.0,0.0,0.0
72,553,0.0,0.0,0.0,0.0
73,528,0.0,0.0,0.0,0.0
74,431,0.0,0.0,0.0,0.0
75,394,0.0,0.0,0.0,0.0
76,404,0.0,0.0,0.0,0.0
77,297,0.0,0.0,0.0,0.0
78,411,0.0,0.0,0.0,0.0
79,586,0.0,0.0,0.0,0.0
80,499,0.0,0.0,0.0,0.0
81,427,0.0,0.0,0.0,0.0
82,377,0.0,0.0,0.0,0.0
83,289,0.0,0.0,0.0,0.0
84,263,0.0,0.0,0.0,0.0
85,271,0.0,0.0,0.0,0.0
86,311,0.0,0.0,0.0,0.0
87,295,0.0,0.0,0.0,0.0
88,329,0.0,0.0,0.0,0.0
89,304,0.0,0.0,0.0,0.0
90,217,0.0,0.0,0.0,0.0
91,234,0.0,0.0,0.0,0.0
92,266,0.0,0.0,0.0,0.0
93,289,0.0,0.0,0.0,0.0
94,256,0.0,0.0,0.0,0.0
95,240,0.0,0.0,0.0,0.0
96,206,0.0,0.0,0.0,0.0
97,131,0.0,0.0,0.0,0.0
98,130,0.0,0.0,0.0,0.0
99,166,0.0,0.0,0.0,0.0
100,219,0.0,0.0,0.0,0.0
101,225,0.0,0.0,0.0,0.0
102,175,0.0,0.0,0.0,0.0
103,170,0.0,0.0,0.0,0.0
104,128,0.0,0.0,0.0,0.0
105,148,0.0,0.0,0.0,0.0
106,167,0.0,0.0,0.0,0.0
107,215,0.0,0.0,0.0,0.0
