Days_since_March1,cases,SGTF_proportion,mean_CT,OR_only,vaccinated
0,0,0.0,0.0,0.0,0.0
1,0,0.0,0.0,0.0,0.0
2,2,0.0,0.0,0.0,0.0
3,0,0.0,0.0,0.0,0.0
4,1,0.0,0.0,0.0,0.0
5,3,0.0,0.0,0.0,0.0
6,5,0.0,0.0,0.0,0.0
7,1,0.0,0.0,0.0,0.0
8,2,0.0,0.0,0.0,0.0
9,3,0.0,0.0,0.0,0.0
10,6,0.0,0.0,0.0,0.0
11,0,0.0,0.0,0.0,0.0
12,0,0.0,0.0,0.0,0.0
13,0,0.0,0.0,0.0,0.0
14,0,0.0,0.0,0.0,0.0
15,0,0.0,0.0,0.0,0.0
16,0,0.0,0.0,0.0,0.0
17,0,0.0,0.0,0.0,0.0
18,0,0.0,0.0,0.0,0.0
19,0,0.0,0.0,0.0,0.0
20,0,0.0,0.0,0.0,0.0
21,0,0.0,0.0,0.0,0.0
22,7,0.0,0.0,0.0,0.0
23,5,0.0,0.0,0.0,0.0
24,4,0.0,0.0,0.0,0.0
25,6,0.0,0.0,0.0,0.0
26,15,0.0,0.0,0.0,0.0
27,24,0.0,0.0,0.0,0.0
28,13,0.0,0.0,0.0,0.0
29,21,0.0,0.0,0.0,0.0
30,28,0.0,0.0,0.0,0.0
31,25,0.0,0.0,0.0,0.0
32,39,0.0,0.0,0.0,0.0
33,40,0.0,0.0,0.0,0.0
34,29,0.0,0.0,0.0,0.0
35,13,0.0,0.0,0.0,0.0
36,79,0.0,0.0,0.0,0.0
37,134,0.0,0.0,0.0,0.0
38,102,0.0,0.0,0.0,0.0
39,104,0.0,0.0,0.0,0.0
40,100,0.0,0.0,0.0,0.0
41,68,0.0,0.0,0.0,0.0
42,81,0.0,0.0,0.0,0.0
43,108,0.0,0.0,0.0,0.0
44,102,0.0,0.0,0.0,0.0
45,138,0.0,0.0,0.0,0.0
46,141,0.0,0.0,0.0,0.0
47,171,0.0,0.0,0.0,0.0
48,90,0.0,0.0,0.0,0.0
49,47,0.0,0.0,0.0,0.0
50,114,0.0,0.0,0.0,0.0
51,141,0.0,0.0,0.0,0.0
52,112,0.0,0.0,0.0,0.0
53,78,0.0,0.0,0.0,0.0
54,90,0.0,0.0,0.0,0.0
55,55,0.0,0.0,0.0,0.0
56,47,0.0,0.0,0.0,0.0
57,76,0.0,0.0,0.0,0.0
58,71,0.0,0.0,0.0,0.0
59,89,0.0,0.0,0.0,0.0
60,110,0.0,0.0,0.0,0.0
61,105,0.0,0.0,0.0,0.0
62,95,0.0,0.0,0.0,0.0
63,58,0.0,0.0,0.0,0.0
64,77,0.0,0.0,0.0,0.0
65,75,0.0,0.0,0.0,0.0
66,90,0.0,0.0,0.0,0.0
67,109,0.0,0.0,0.0,0.0
68,69,0.0,0.0,0.0,0.0
69,57,0.0,0.0,0.0,0.0
70,64,0.0,0.0,0.0,0.0
71,81,0.0,0.0,0.0,0.0
72,90,0.0,0.0,0.0,0.0
