Days_since_March1,cases,SGTF_proportion,mean_CT,OR_only,vaccinated
0,0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0
2,9,0.0,0.0,0.0,0.0
3,7,0.0,0.0,0.0,0.0
4,4,0.0,0.0,0.0,0.0
5,16,0.0,0.0,0.0,0.0
6,5,0.0,0.0,0.0,0.0
7,9,0.0,0.0,0.0,0.0
8,23,0.0,0.0,0.0,0.0
9,34,0.0,0.0,0.0,0.0
10,49,0.0,0.0,0.0,0.0
11,86,0.0,0.0,0.0,0.0
12,55,0.0,0.0,0.0,0.0
13,41,0.0,0.0,0.0,0.0
14,53,0.0,0.0,0.0,0.0
15,78,0.0,0.0,0.0,0.0
16,89,0.0,0.0,0.0,0.0
17,123,0.0,0.0,0.0,0.0
18,126,0.0,0.0,0.0,0.0
19,125,0.0,0.0,0.0,0.0
20,130,0.0,0.0,0.0,0.0
21,169,0.0,0.0,0.0,0.0
22,280,0.0,0.0,0.0,0.0
23,235,0.0,0.0,0.0,0.0
24,303,0.0,0.0,0.0,0.0
25,320,0.0,0.0,0.0,0.0
26,326,0.0,0.0,0.0,0.0
27,337,0.0,0.0,0.0,0.0
28,294,0.0,0.0,0.0,0.0
29,473,0.0,0.0,0.0,0.0
30,470,0.0,0.0,0.0,0.0
31,539,0.0,0.0,0.0,0.0
32,477,0.0,0.0,0.0,0.0
33,511,0.0,0.0,0.0,0.0
34,456,0.0,0.0,0.0,0.0
35,422,0.0,0.0,0.0,0.0
36,587,0.0,0.0,0.0,0.0
37,702,0.0,0.0,0.0,0.0
38,558,0.0,0.0,0.0,0.0
39,522,0.0,0.0,0.0,0.0
40,574,0.0,0.0,0.0,0.0
41,381,0.0,0.0,0.0,0.0
42,474,0.0,0.0,0.0,0.0
43,578,0.0,0.0,0.0,0.0
44,549,0.0,0.0,0.0,0.0
45,711,0.0,0.0,0.0,0.0
46,656,0.0,0.0,0.0,0.0
47,699,0.0,0.0,0.0,0.0
48,519,0.0,0.0,0.0,0.0
49,414,0.0,0.0,0.0,0.0
50,485,0.0,0.0,0.0,0.0
51,631,0.0,0.0,0.0,0.0
52,694,0.0,0.0,0.0,0.0
53,680,0.0,0.0,0.0,0.0
54,657,0.0,0.0,0.0,0.0
55,516,0.0,0.0,0.0,0.0
56,498,0.0,0.0,0.0,0.0
57,554,0.0,0.0,0.0,0.0
58,660,0.0,0.0,0.0,0.0
59,693,0.0,0.0,0.0,0.0
60,647,0.0,0.0,0.0,0.0
61,524,0.0,0.0,0.0,0.0
62,421,0.0,0.0,0.0,0.0
63,365,0.0,0.0,0.0,0.0
64,490,0.0,0.0,0.0,0.0
65,474,0.0,0.0,0.0,0.0
66,447,0.0,0.0,0.0,0.0
67,419,0.0,0.0,0.0,0.0
68,352,0.0,0.0,0.0,0.0
69,248,0.0,0.0,0.0,0.0
70,311,0.0,0.0,0.0,0.0
71,481,0.0,0.0,0.0,0.0
72,415,0.0,0.0,0.0,0.0
73,490,0.0,0.0,0.0,0.0
74,294,0.0,0.0,0.0,0.0
75,263,0.0,0.0,0.0,0.0
76,192,0.0,0.0,0.0,0.0
77,222,0.0,0.0,0.0,0.0
78,359,0.0,0.0,0.0,0.0
79,385,0.0,0.0,0.0,0.0
80,341,0.0,0.0,0.0,0.0
81,306,0.0,0.0,0.0,0.0
82,247,0.0,0.0,0.0,0.0
83,122,0.0,0.0,0.0,0.0
84,150,0.0,0.0,0.0,0.0
85,187,0.0,0.0,0.0,0.0
86,181,0.0,0.0,0.0,0.0
87,203,0.0,0.0,0.0,0.0
88,200,0.0,0.0,0.0,0.0
89,164,0.0,0.0,0.0,0.0
90,133,0.0,0.0,0.0,0.0
91,137,0.0,0.0,0.0,0.0
