Days_since_March1,cases,NV_proportion,mean_CT,OR_only,vaccinated
0,3,0.0,0.0,0.0,0.0
1,8,0.0,0.0,0.0,0.0
2,10,0.0,0.0,0.0,0.0
3,6,0.0,0.0,0.0,0.0
4,3,0.0,0.0,0.0,0.0
5,11,0.0,0.0,0.0,0.0
6,5,0.0,0.0,0.0,0.0
7,3,0.0,0.0,0.0,0.0
8,5,0.0,0.0,0.0,0.0
9,12,0.0,0.0,0.0,0.0
10,14,0.0,0.0,0.0,0.0
11,18,0.0,0.0,0.0,0.0
12,30,0.0,0.0,0.0,0.0
13,10,0.0,0.0,0.0,0.0
14,17,0.0,0.0,0.0,0.0
15,18,0.0,0.0,0.0,0.0
16,21,0.0,0.0,0.0,0.0
17,44,0.0,0.0,0.0,0.0
18,21,0.0,0.0,0.0,0.0
19,43,0.0,0.0,0.0,0.0
20,42,0.0,0.0,0.0,0.0
21,44,0.0,0.0,0.0,0.0
22,62,0.0,0.0,0.0,0.0
23,68,0.0,0.0,0.0,0.0
24,104,0.0,0.0,0.0,0.0
25,116,0.0,0.0,0.0,0.0
26,128,0.0,0.0,0.0,0.0
27,102,0.0,0.0,0.0,0.0
28,101,0.0,0.0,0.0,0.0
29,165,0.0,0.0,0.0,0.0
30,142,0.0,0.0,0.0,0.0
31,183,0.0,0.0,0.0,0.0
32,183,0.0,0.0,0.0,0.0
33,191,0.0,0.0,0.0,0.0
34,174,0.0,0.0,0.0,0.0
35,152,0.0,0.0,0.0,0.0
36,185,0.0,0.0,0.0,0.0
37,211,0.0,0.0,0.0,0.0
38,237,0.0,0.0,0.0,0.0
39,245,0.0,0.0,0.0,0.0
40,234,0.0,0.0,0.0,0.0
41,172,0.0,0.0,0.0,0.0
42,178,0.0,0.0,0.0,0.0
43,194,0.0,0.0,0.0,0.0
44,185,0.0,0.0,0.0,0.0
45,211,0.0,0.0,0.0,0.0
46,262,0.0,0.0,0.0,0.0
47,240,0.0,0.0,0.0,0.0
48,167,0.0,0.0,0.0,0.0
49,198,0.0,0.0,0.0,0.0
50,180,0.0,0.0,0.0,0.0
51,228,0.0,0.0,0.0,0.0
52,286,0.0,0.0,0.0,0.0
53,281,0.0,0.0,0.0,0.0
54,250,0.0,0.0,0.0,0.0
55,202,0.0,0.0,0.0,0.0
56,254,0.0,0.0,0.0,0.0
57,322,0.0,0.0,0.0,0.0
58,275,0.0,0.0,0.0,0.0
59,347,0.0,0.0,0.0,0.0
60,246,0.0,0.0,0.0,0.0
61,264,0.0,0.0,0.0,0.0
62,210,0.0,0.0,0.0,0.0
63,178,0.0,0.0,0.0,0.0
64,166,0.0,0.0,0.0,0.0
65,172,0.0,0.0,0.0,0.0
66,200,0.0,0.0,0.0,0.0
67,179,0.0,0.0,0.0,0.0
68,178,0.0,0.0,0.0,0.0
69,107,0.0,0.0,0.0,0.0
70,134,0.0,0.0,0.0,0.0
71,253,0.0,0.0,0.0,0.0
72,177,0.0,0.0,0.0,0.0
73,177,0.0,0.0,0.0,0.0
74,93,0.0,0.0,0.0,0.0
75,103,0.0,0.0,0.0,0.0
76,92,0.0,0.0,0.0,0.0
77,97,0.0,0.0,0.0,0.0
78,118,0.0,0.0,0.0,0.0
79,108,0.0,0.0,0.0,0.0
80,136,0.0,0.0,0.0,0.0
81,86,0.0,0.0,0.0,0.0
82,81,0.0,0.0,0.0,0.0
83,41,0.0,0.0,0.0,0.0
84,59,0.0,0.0,0.0,0.0
85,61,0.0,0.0,0.0,0.0
86,81,0.0,0.0,0.0,0.0
87,104,0.0,0.0,0.0,0.0
88,115,0.0,0.0,0.0,0.0
89,75,0.0,0.0,0.0,0.0
90,51,0.0,0.0,0.0,0.0
91,62,0.0,0.0,0.0,0.0
92,52,0.0,0.0,0.0,0.0
93,52,0.0,0.0,0.0,0.0
94,68,0.0,0.0,0.0,0.0
95,65,0.0,0.0,0.0,0.0
96,51,0.0,0.0,0.0,0.0
97,24,0.0,0.0,0.0,0.0
98,19,0.0,0.0,0.0,0.0
99,23,0.0,0.0,0.0,0.0
100,25,0.0,0.0,0.0,0.0
101,31,0.0,0.0,0.0,0.0
102,25,0.0,0.0,0.0,0.0
103,21,0.0,0.0,0.0,0.0
104,13,0.0,0.0,0.0,0.0
105,9,0.0,0.0,0.0,0.0
106,20,0.0,0.0,0.0,0.0
107,15,0.0,0.0,0.0,0.0
108,17,0.0,0.0,0.0,0.0
109,13,0.0,0.0,0.0,0.0
110,25,0.0,0.0,0.0,0.0
111,8,0.0,0.0,0.0,0.0
112,8,0.0,0.0,0.0,0.0
113,19,0.0,0.0,0.0,0.0
114,15,0.0,0.0,0.0,0.0
115,17,0.0,0.0,0.0,0.0
116,8,0.0,0.0,0.0,0.0
117,12,0.0,0.0,0.0,0.0
118,8,0.0,0.0,0.0,0.0
119,11,0.0,0.0,0.0,0.0
120,16,0.0,0.0,0.0,0.0
121,18,0.0,0.0,0.0,0.0
122,24,0.0,0.0,0.0,0.0
123,11,0.0,0.0,0.0,0.0
124,8,0.0,0.0,0.0,0.0
125,9,0.0,0.0,0.0,0.0
126,17,0.0,0.0,0.0,0.0
127,22,0.0,0.0,0.0,0.0
128,17,0.0,0.0,0.0,0.0
129,15,0.0,0.0,0.0,0.0
130,16,0.0,0.0,0.0,0.0
131,13,0.0,0.0,0.0,0.0
132,6,0.0,0.0,0.0,0.0
133,7,0.0,0.0,0.0,0.0
134,17,0.0,0.0,0.0,0.0
135,19,0.0,0.0,0.0,0.0
136,17,0.0,0.0,0.0,0.0
137,27,0.0,0.0,0.0,0.0
138,20,0.0,0.0,0.0,0.0
139,12,0.0,0.0,0.0,0.0
140,9,0.0,0.0,0.0,0.0
141,22,0.0,0.0,0.0,0.0
142,35,0.0,0.0,0.0,0.0
143,30,0.0,0.0,0.0,0.0
144,40,0.0,0.0,0.0,0.0
145,35,0.0,0.0,0.0,0.0
146,17,0.0,0.0,0.0,0.0
147,20,0.0,0.0,0.0,0.0
148,39,0.0,0.0,0.0,0.0
149,34,0.0,0.0,0.0,0.0
150,54,0.0,0.0,0.0,0.0
151,64,0.0,0.0,0.0,0.0
152,29,0.0,0.0,0.0,0.0
153,9,0.0,0.0,0.0,0.0
154,10,0.0,0.0,0.0,0.0
155,43,0.0,0.0,0.0,0.0
156,53,0.0,0.0,0.0,0.0
157,40,0.0,0.0,0.0,0.0
158,45,0.0,0.0,0.0,0.0
159,41,0.0,0.0,0.0,0.0
160,25,0.0,0.0,0.0,0.0
161,15,0.0,0.0,0.0,0.0
162,42,0.0,0.0,0.0,0.0
163,41,0.0,0.0,0.0,0.0
164,43,0.0,0.0,0.0,0.0
165,53,0.0,0.0,0.0,0.0
166,55,0.0,0.0,0.0,0.0
167,24,0.0,0.0,0.0,0.0
168,37,0.0,0.0,0.0,0.0
169,47,0.0,0.0,0.0,0.0
170,58,0.0,0.0,0.0,0.0
171,67,0.0,0.0,0.0,0.0
172,85,0.0,0.0,0.0,0.0
173,65,0.0,0.0,0.0,0.0
174,39,0.0,0.0,0.0,0.0
175,41,0.0,0.0,0.0,0.0
176,49,0.0,0.0,0.0,0.0
177,50,0.0,0.0,0.0,0.0
178,61,0.0,0.0,0.0,0.0
179,57,0.0,0.0,0.0,0.0
180,72,0.0,0.0,0.0,0.0
181,50,0.0,0.0,0.0,0.0
182,35,0.0,0.0,0.0,0.0
183,56,0.0,0.0,0.0,0.0
184,99,0.0,0.0,0.0,0.0
185,131,0.0,0.0,0.0,0.0
186,146,0.0,0.0,0.0,0.0
187,131,0.0,0.0,0.0,0.0
188,83,0.0,0.0,0.0,0.0
189,74,0.0,0.0,0.0,0.0
190,96,0.0,0.0,0.0,0.0
191,75,0.0,0.0,0.0,0.0
192,76,0.0,0.0,0.0,0.0
193,84,0.0,0.0,0.0,0.0
194,94,0.0,0.0,0.0,0.0
195,62,0.0,0.0,0.0,0.0
196,55,0.0,0.0,0.0,0.0
197,77,0.0,0.0,0.0,0.0
198,86,0.0,0.0,0.0,0.0
