Days_since_March1,cases,NV_proportion,mean_CT,OR_only,vaccinated
0,0,0.0,0.0,0.0,0.0
1,0,0.0,0.0,0.0,0.0
2,0,0.0,0.0,0.0,0.0
3,1,0.0,0.0,0.0,0.0
4,0,0.0,0.0,0.0,0.0
5,0,0.0,0.0,0.0,0.0
6,2,0.0,0.0,0.0,0.0
7,1,0.0,0.0,0.0,0.0
8,3,0.0,0.0,0.0,0.0
9,12,0.0,0.0,0.0,0.0
10,14,0.0,0.0,0.0,0.0
11,25,0.0,0.0,0.0,0.0
12,29,0.0,0.0,0.0,0.0
13,18,0.0,0.0,0.0,0.0
14,31,0.0,0.0,0.0,0.0
15,29,0.0,0.0,0.0,0.0
16,57,0.0,0.0,0.0,0.0
17,29,0.0,0.0,0.0,0.0
18,58,0.0,0.0,0.0,0.0
19,73,0.0,0.0,0.0,0.0
20,76,0.0,0.0,0.0,0.0
21,75,0.0,0.0,0.0,0.0
22,134,0.0,0.0,0.0,0.0
23,140,0.0,0.0,0.0,0.0
24,190,0.0,0.0,0.0,0.0
25,177,0.0,0.0,0.0,0.0
26,193,0.0,0.0,0.0,0.0
27,167,0.0,0.0,0.0,0.0
28,159,0.0,0.0,0.0,0.0
29,343,0.0,0.0,0.0,0.0
30,278,0.0,0.0,0.0,0.0
31,327,0.0,0.0,0.0,0.0
32,337,0.0,0.0,0.0,0.0
33,330,0.0,0.0,0.0,0.0
34,281,0.0,0.0,0.0,0.0
35,224,0.0,0.0,0.0,0.0
36,383,0.0,0.0,0.0,0.0
37,386,0.0,0.0,0.0,0.0
38,386,0.0,0.0,0.0,0.0
39,391,0.0,0.0,0.0,0.0
40,308,0.0,0.0,0.0,0.0
41,247,0.0,0.0,0.0,0.0
42,248,0.0,0.0,0.0,0.0
43,273,0.0,0.0,0.0,0.0
44,319,0.0,0.0,0.0,0.0
45,361,0.0,0.0,0.0,0.0
46,363,0.0,0.0,0.0,0.0
47,324,0.0,0.0,0.0,0.0
48,248,0.0,0.0,0.0,0.0
49,181,0.0,0.0,0.0,0.0
50,281,0.0,0.0,0.0,0.0
51,259,0.0,0.0,0.0,0.0
52,253,0.0,0.0,0.0,0.0
53,200,0.0,0.0,0.0,0.0
54,213,0.0,0.0,0.0,0.0
55,137,0.0,0.0,0.0,0.0
56,121,0.0,0.0,0.0,0.0
57,173,0.0,0.0,0.0,0.0
58,152,0.0,0.0,0.0,0.0
59,176,0.0,0.0,0.0,0.0
60,200,0.0,0.0,0.0,0.0
61,177,0.0,0.0,0.0,0.0
62,179,0.0,0.0,0.0,0.0
63,108,0.0,0.0,0.0,0.0
64,141,0.0,0.0,0.0,0.0
65,175,0.0,0.0,0.0,0.0
66,171,0.0,0.0,0.0,0.0
67,176,0.0,0.0,0.0,0.0
68,115,0.0,0.0,0.0,0.0
69,136,0.0,0.0,0.0,0.0
70,107,0.0,0.0,0.0,0.0
71,178,0.0,0.0,0.0,0.0
72,150,0.0,0.0,0.0,0.0
