Time,Rate,Lower,Upper
2020-05-09,0.24,0.02,0.98
2020-05-23,0.1,0,0.55
2020-06-06,0,0,0.25
2020-06-20,0.11,0.01,0.4
2020-07-04,0,0,0.21
2020-07-18,0,0,0.22
2020-08-01,0.04,0,0.24
2020-08-15,0.07,0.01,0.27
2020-08-29,0.02,0,0.13
2020-09-12,0.27,0.12,0.52
2020-09-26,0.62,0.45,0.84
2020-10-10,1.39,1.14,1.68
2020-10-14,1.96,1.64,2.31
2020-11-07,2.04,1.71,2.41
2020-11-21,2.39,2.06,2.75
2020-12-05,2.29,1.96,2.65
2020-12-19,3.3,2.86,3.79
2021-01-02,3.2,2.81,3.62
2021-01-16,2.26,1.93,2.62
2021-01-30,1.61,1.34,1.93
2021-02-13,0.65,0.48,0.86
2021-02-27,0.56,0.4,0.77
2021-03-13,0.35,0.22,0.52
2021-03-27,0.44,0.29,0.63
2021-04-10,0.33,0.21,0.49
2021-04-14,0.14,0.07,0.25
2021-05-08,0.1,0.04,0.21
2021-05-22,0.33,0.21,0.5
2021-06-05,0.35,0.22,0.53
2021-06-19,0.63,0.44,0.88
2021-07-03,1.89,1.54,2.3
