date,areaType,areaCode,areaName,age,cases
15/07/2021,nation,E92000001,England,35_49,10500
14/07/2021,nation,E92000001,England,35_49,9323
13/07/2021,nation,E92000001,England,35_49,8079
12/07/2021,nation,E92000001,England,35_49,7734
11/07/2021,nation,E92000001,England,35_49,5364
10/07/2021,nation,E92000001,England,35_49,5052
09/07/2021,nation,E92000001,England,35_49,5606
08/07/2021,nation,E92000001,England,35_49,5609
07/07/2021,nation,E92000001,England,35_49,6318
06/07/2021,nation,E92000001,England,35_49,5749
05/07/2021,nation,E92000001,England,35_49,5380
04/07/2021,nation,E92000001,England,35_49,3937
03/07/2021,nation,E92000001,England,35_49,3653
02/07/2021,nation,E92000001,England,35_49,3824
01/07/2021,nation,E92000001,England,35_49,4095
30/06/2021,nation,E92000001,England,35_49,4285
29/06/2021,nation,E92000001,England,35_49,3802
28/06/2021,nation,E92000001,England,35_49,3916
27/06/2021,nation,E92000001,England,35_49,2501
26/06/2021,nation,E92000001,England,35_49,2214
25/06/2021,nation,E92000001,England,35_49,2465
24/06/2021,nation,E92000001,England,35_49,2512
23/06/2021,nation,E92000001,England,35_49,2353
22/06/2021,nation,E92000001,England,35_49,2076
21/06/2021,nation,E92000001,England,35_49,2044
20/06/2021,nation,E92000001,England,35_49,1286
19/06/2021,nation,E92000001,England,35_49,1134
18/06/2021,nation,E92000001,England,35_49,1389
17/06/2021,nation,E92000001,England,35_49,1451
16/06/2021,nation,E92000001,England,35_49,1450
15/06/2021,nation,E92000001,England,35_49,1394
14/06/2021,nation,E92000001,England,35_49,1462
13/06/2021,nation,E92000001,England,35_49,967
12/06/2021,nation,E92000001,England,35_49,860
11/06/2021,nation,E92000001,England,35_49,1036
10/06/2021,nation,E92000001,England,35_49,1111
09/06/2021,nation,E92000001,England,35_49,1168
08/06/2021,nation,E92000001,England,35_49,1170
07/06/2021,nation,E92000001,England,35_49,1277
06/06/2021,nation,E92000001,England,35_49,918
05/06/2021,nation,E92000001,England,35_49,785
04/06/2021,nation,E92000001,England,35_49,987
03/06/2021,nation,E92000001,England,35_49,933
02/06/2021,nation,E92000001,England,35_49,980
01/06/2021,nation,E92000001,England,35_49,893
31/05/2021,nation,E92000001,England,35_49,643
30/05/2021,nation,E92000001,England,35_49,528
29/05/2021,nation,E92000001,England,35_49,562
28/05/2021,nation,E92000001,England,35_49,648
27/05/2021,nation,E92000001,England,35_49,626
26/05/2021,nation,E92000001,England,35_49,648
25/05/2021,nation,E92000001,England,35_49,579
24/05/2021,nation,E92000001,England,35_49,601
23/05/2021,nation,E92000001,England,35_49,410
22/05/2021,nation,E92000001,England,35_49,311
21/05/2021,nation,E92000001,England,35_49,393
20/05/2021,nation,E92000001,England,35_49,444
19/05/2021,nation,E92000001,England,35_49,487
18/05/2021,nation,E92000001,England,35_49,497
17/05/2021,nation,E92000001,England,35_49,528
