date,areaType,areaCode,areaName,age,cases
15/07/2021,nation,E92000001,England,70+,935
14/07/2021,nation,E92000001,England,70+,864
13/07/2021,nation,E92000001,England,70+,774
12/07/2021,nation,E92000001,England,70+,856
11/07/2021,nation,E92000001,England,70+,515
10/07/2021,nation,E92000001,England,70+,563
09/07/2021,nation,E92000001,England,70+,617
08/07/2021,nation,E92000001,England,70+,547
07/07/2021,nation,E92000001,England,70+,552
06/07/2021,nation,E92000001,England,70+,573
05/07/2021,nation,E92000001,England,70+,521
04/07/2021,nation,E92000001,England,70+,371
03/07/2021,nation,E92000001,England,70+,390
02/07/2021,nation,E92000001,England,70+,427
01/07/2021,nation,E92000001,England,70+,405
30/06/2021,nation,E92000001,England,70+,367
29/06/2021,nation,E92000001,England,70+,374
28/06/2021,nation,E92000001,England,70+,360
27/06/2021,nation,E92000001,England,70+,269
26/06/2021,nation,E92000001,England,70+,224
25/06/2021,nation,E92000001,England,70+,252
24/06/2021,nation,E92000001,England,70+,227
23/06/2021,nation,E92000001,England,70+,197
22/06/2021,nation,E92000001,England,70+,206
21/06/2021,nation,E92000001,England,70+,167
20/06/2021,nation,E92000001,England,70+,102
19/06/2021,nation,E92000001,England,70+,127
18/06/2021,nation,E92000001,England,70+,175
17/06/2021,nation,E92000001,England,70+,129
16/06/2021,nation,E92000001,England,70+,133
15/06/2021,nation,E92000001,England,70+,133
14/06/2021,nation,E92000001,England,70+,154
13/06/2021,nation,E92000001,England,70+,94
12/06/2021,nation,E92000001,England,70+,94
11/06/2021,nation,E92000001,England,70+,145
10/06/2021,nation,E92000001,England,70+,106
09/06/2021,nation,E92000001,England,70+,115
08/06/2021,nation,E92000001,England,70+,124
07/06/2021,nation,E92000001,England,70+,105
06/06/2021,nation,E92000001,England,70+,70
05/06/2021,nation,E92000001,England,70+,77
04/06/2021,nation,E92000001,England,70+,85
03/06/2021,nation,E92000001,England,70+,86
02/06/2021,nation,E92000001,England,70+,87
01/06/2021,nation,E92000001,England,70+,96
31/05/2021,nation,E92000001,England,70+,73
30/05/2021,nation,E92000001,England,70+,62
29/05/2021,nation,E92000001,England,70+,48
28/05/2021,nation,E92000001,England,70+,57
27/05/2021,nation,E92000001,England,70+,66
26/05/2021,nation,E92000001,England,70+,70
25/05/2021,nation,E92000001,England,70+,64
