Time,Rate,Lower,Upper
2020-05-09,0.25,0.07,0.61
2020-05-23,0.09,0.02,0.29
2020-06-06,0.05,0,0.22
2020-06-20,0.1,0.02,0.29
2020-07-04,0.01,0,0.03
2020-07-18,0.12,0.03,0.3
2020-08-01,0.06,0.02,0.15
2020-08-15,0.02,0,0.07
2020-08-29,0.05,0.02,0.11
2020-09-12,0.14,0.08,0.23
2020-09-26,0.27,0.21,0.35
2020-10-10,0.46,0.39,0.55
2020-10-14,0.74,0.63,0.85
2020-11-07,0.75,0.64,0.87
2020-11-21,0.49,0.42,0.58
2020-12-05,0.62,0.53,0.73
2020-12-19,0.57,0.48,0.68
2021-01-02,1.15,1.03,1.29
2021-01-16,0.95,0.83,1.08
2021-01-30,0.91,0.8,1.03
2021-02-13,0.48,0.39,0.57
2021-02-27,0.2,0.15,0.27
2021-03-13,0.15,0.11,0.21
2021-03-27,0.17,0.11,0.23
2021-04-10,0.06,0.04,0.1
2021-04-14,0.02,0.01,0.05
2021-05-08,0.05,0.02,0.09
2021-05-22,0.05,0.03,0.08
2021-06-05,0.06,0.03,0.1
2021-06-19,0.1,0.06,0.15
2021-07-03,0.16,0.11,0.21
