date,deaths
2021-11-20,30
2021-11-19,50
2021-11-18,65
2021-11-17,35
2021-11-16,40
2021-11-15,70
2021-11-14,45
2021-11-13,35
2021-11-12,65
2021-11-11,75
2021-11-10,65
2021-11-09,55
2021-11-08,45
2021-11-07,90
2021-11-06,65
2021-11-05,60
2021-11-04,85
2021-11-03,80
2021-11-02,85
2021-11-01,40
2021-10-31,100
2021-10-30,65
2021-10-29,65
2021-10-28,50
2021-10-27,50
2021-10-26,65
2021-10-25,70
2021-10-24,55
2021-10-23,55
2021-10-22,55
2021-10-21,80
2021-10-20,60
2021-10-19,25
2021-10-18,40
2021-10-17,55
2021-10-16,60
2021-10-15,35
2021-10-14,60
2021-10-13,30
2021-10-12,30
2021-10-11,35
2021-10-10,35
2021-10-09,40
2021-10-08,20
2021-10-07,20
2021-10-06,30
2021-10-05,35
2021-10-04,30
2021-10-03,35
2021-10-02,40
2021-10-01,35
2021-09-30,35
2021-09-29,55
2021-09-28,35
2021-09-27,60
2021-09-26,35
2021-09-25,60
2021-09-24,25
2021-09-23,50
2021-09-22,60
2021-09-21,45
2021-09-20,45
2021-09-19,50
2021-09-18,50
2021-09-17,45
2021-09-16,35
2021-09-15,90
2021-09-14,65
2021-09-13,25
2021-09-12,65
2021-09-11,30
2021-09-10,30
2021-09-09,40
2021-09-08,55
2021-09-07,70
2021-09-06,25
2021-09-05,50
2021-09-04,50
2021-09-03,50
2021-09-02,30
2021-09-01,45
2021-08-31,50
2021-08-30,45
2021-08-29,45
2021-08-28,25
2021-08-27,65
2021-08-26,55
2021-08-25,45
2021-08-24,35
2021-08-23,40
2021-08-22,55
2021-08-21,25
2021-08-20,50
2021-08-19,45
2021-08-18,45
2021-08-17,35
2021-08-16,25
2021-08-15,25
2021-08-14,30
2021-08-13,35
2021-08-12,50
2021-08-11,40
2021-08-10,30
2021-08-09,35
2021-08-08,20
2021-08-07,45
2021-08-06,50
2021-08-05,60
2021-08-04,60
2021-08-03,35
2021-08-02,45
2021-08-01,30
2021-07-31,20
2021-07-30,60
2021-07-29,40
2021-07-28,30
2021-07-27,20
2021-07-26,50
2021-07-25,40
2021-07-24,55
2021-07-23,30
2021-07-22,45
2021-07-21,15
2021-07-20,15
2021-07-19,50
2021-07-18,30
2021-07-17,5
2021-07-16,25
2021-07-15,20
2021-07-14,10
2021-07-13,15
2021-07-12,30
2021-07-11,0
