date,cases
2022-06-01,1200
2022-05-31,1229
2022-05-30,1313
2022-05-29,1031
2022-05-28,879
2022-05-27,927
2022-05-26,1082
2022-05-25,1112
2022-05-24,1255
2022-05-23,1465
2022-05-22,1193
2022-05-21,934
2022-05-20,1072
2022-05-19,1389
2022-05-18,1427
2022-05-17,1615
2022-05-16,1878
2022-05-15,1623
2022-05-14,1154
2022-05-13,1271
2022-05-12,1497
2022-05-11,1720
2022-05-10,1925
2022-05-09,2106
2022-05-08,1821
2022-05-07,1526
2022-05-06,1753
2022-05-05,2098
2022-05-04,2328
2022-05-03,2684
2022-05-02,2530
2022-05-01,1799
2022-04-30,1481
2022-04-29,1707
2022-04-28,1958
2022-04-27,2240
2022-04-26,2526
2022-04-25,3012
2022-04-24,2795
2022-04-23,2395
2022-04-22,2729
2022-04-21,3300
2022-04-20,3836
2022-04-19,4702
2022-04-18,4938
2022-04-17,3786
2022-04-16,3524
2022-04-15,3863
2022-04-14,4698
2022-04-13,5694
2022-04-12,6198
2022-04-11,6989
2022-04-10,6067
2022-04-09,5204
2022-04-08,6163
2022-04-07,7439
2022-04-06,8579
2022-04-05,9720
2022-04-04,10546
2022-04-03,8454
2022-04-02,7260
2022-04-01,9602
2022-03-31,10998
2022-03-30,15558
2022-03-29,16378
2022-03-28,19604
2022-03-27,14257
2022-03-26,12601
2022-03-25,14764
2022-03-24,17437
2022-03-23,19930
2022-03-22,20834
2022-03-21,22272
2022-03-20,16757
2022-03-19,13607
2022-03-18,15549
2022-03-17,17496
2022-03-16,19648
2022-03-15,19067
2022-03-14,20385
2022-03-13,15442
2022-03-12,12308
2022-03-11,12948
2022-03-10,14016
2022-03-09,14668
2022-03-08,13328
2022-03-07,12524
2022-03-06,8918
2022-03-05,7038
2022-03-04,7480
2022-03-03,8113
2022-03-02,8635
2022-03-01,8170
2022-02-28,8229
2022-02-27,5906
2022-02-26,4443
2022-02-25,5029
2022-02-24,5647
2022-02-23,6889
2022-02-22,7181
2022-02-21,8374
2022-02-20,7429
2022-02-19,6836
2022-02-18,6324
2022-02-17,8871
2022-02-16,10069
2022-02-15,10021
2022-02-14,10574
2022-02-13,8128
2022-02-12,7242
2022-02-11,8766
2022-02-10,10242
2022-02-09,13093
2022-02-08,13901
2022-02-07,15317
2022-02-06,12559
2022-02-05,11115
2022-02-04,13329
2022-02-03,16835
2022-02-02,19579
2022-02-01,19942
2022-01-31,21911
2022-01-30,18603
2022-01-29,16047
2022-01-28,18315
2022-01-27,21974
2022-01-26,25150
2022-01-25,24765
2022-01-24,26822
2022-01-23,21590
2022-01-22,17681
2022-01-21,19458
2022-01-20,22380
2022-01-19,25458
2022-01-18,25154
2022-01-17,26383
2022-01-16,19318
2022-01-15,15329
2022-01-14,16880
2022-01-13,19713
2022-01-12,21411
2022-01-11,22941
2022-01-10,25885
2022-01-09,18641
2022-01-08,18320
2022-01-07,23609
2022-01-06,33515
2022-01-05,40198
2022-01-04,53368
2022-01-03,46251
2022-01-02,35961
2022-01-01,24236
2021-12-31,37814
2021-12-30,47584
2021-12-29,54840
2021-12-28,43327
2021-12-27,40881
2021-12-26,27083
2021-12-25,16441
2021-12-24,31387
2021-12-23,36273
2021-12-22,36833
2021-12-21,33747
2021-12-20,29709
2021-12-19,19414
2021-12-18,19337
2021-12-17,21423
2021-12-16,23832
2021-12-15,25554
2021-12-14,22830
2021-12-13,19112
2021-12-12,11836
2021-12-11,11023
2021-12-10,11832
2021-12-09,12959
2021-12-08,13455
2021-12-07,12379
2021-12-06,13169
2021-12-05,9514
2021-12-04,9071
2021-12-03,10434
2021-12-02,11721
2021-12-01,12817
2021-11-30,12229
2021-11-29,11983
2021-11-28,8692
2021-11-27,7476
2021-11-26,8937
2021-11-25,9842
