date,cases
2022-06-01,803
2022-05-31,807
2022-05-30,795
2022-05-29,652
2022-05-28,601
2022-05-27,703
2022-05-26,717
2022-05-25,694
2022-05-24,745
2022-05-23,826
2022-05-22,653
2022-05-21,637
2022-05-20,857
2022-05-19,812
2022-05-18,929
2022-05-17,949
2022-05-16,1061
2022-05-15,824
2022-05-14,759
2022-05-13,899
2022-05-12,918
2022-05-11,995
2022-05-10,1136
2022-05-09,1184
2022-05-08,915
2022-05-07,989
2022-05-06,1153
2022-05-05,1249
2022-05-04,1459
2022-05-03,1571
2022-05-02,1401
2022-05-01,1190
2022-04-30,1156
2022-04-29,1441
2022-04-28,1537
2022-04-27,1714
2022-04-26,1942
2022-04-25,2281
2022-04-24,1697
2022-04-23,1826
2022-04-22,2327
2022-04-21,2469
2022-04-20,2860
2022-04-19,3445
2022-04-18,3150
2022-04-17,2750
2022-04-16,3051
2022-04-15,3206
2022-04-14,4174
2022-04-13,4626
2022-04-12,4932
2022-04-11,5504
2022-04-10,4129
2022-04-09,4048
2022-04-08,5017
2022-04-07,5304
2022-04-06,5923
2022-04-05,6428
2022-04-04,7042
2022-04-03,5021
2022-04-02,5083
2022-04-01,6154
2022-03-31,6639
2022-03-30,7774
2022-03-29,8207
2022-03-28,9307
2022-03-27,6323
2022-03-26,6513
2022-03-25,7906
2022-03-24,8020
2022-03-23,8574
2022-03-22,8805
2022-03-21,9509
2022-03-20,6673
2022-03-19,6311
2022-03-18,7495
2022-03-17,7170
2022-03-16,7198
2022-03-15,7233
2022-03-14,7899
2022-03-13,5795
2022-03-12,5356
2022-03-11,5764
2022-03-10,5423
2022-03-09,5271
2022-03-08,4891
2022-03-07,4877
2022-03-06,3290
2022-03-05,2951
2022-03-04,3417
2022-03-03,3341
2022-03-02,3410
2022-03-01,3265
2022-02-28,3344
2022-02-27,2226
2022-02-26,1967
2022-02-25,2329
2022-02-24,2387
2022-02-23,2587
2022-02-22,2704
2022-02-21,3152
2022-02-20,2309
2022-02-19,2154
2022-02-18,2525
2022-02-17,2972
2022-02-16,3354
2022-02-15,3267
2022-02-14,3342
2022-02-13,2295
2022-02-12,2344
2022-02-11,2856
