areaCode,areaName,areaType,date,newCasesBySpecimenDate
E12000004,East Midlands,region,2021-10-22,602
E12000004,East Midlands,region,2021-10-21,2948
E12000004,East Midlands,region,2021-10-20,3507
E12000004,East Midlands,region,2021-10-19,3500
E12000004,East Midlands,region,2021-10-18,3924
E12000004,East Midlands,region,2021-10-17,3034
E12000004,East Midlands,region,2021-10-16,2529
E12000004,East Midlands,region,2021-10-15,3105
E12000004,East Midlands,region,2021-10-14,3561
E12000004,East Midlands,region,2021-10-13,3823
E12000004,East Midlands,region,2021-10-12,3920
E12000004,East Midlands,region,2021-10-11,4530
E12000004,East Midlands,region,2021-10-10,3259
E12000004,East Midlands,region,2021-10-09,2920
E12000004,East Midlands,region,2021-10-08,3272
E12000004,East Midlands,region,2021-10-07,3438
E12000004,East Midlands,region,2021-10-06,3620
E12000004,East Midlands,region,2021-10-05,3642
E12000004,East Midlands,region,2021-10-04,4023
E12000004,East Midlands,region,2021-10-03,3123
E12000004,East Midlands,region,2021-10-02,2427
E12000004,East Midlands,region,2021-10-01,2821
E12000004,East Midlands,region,2021-09-30,3029
E12000004,East Midlands,region,2021-09-29,3226
E12000004,East Midlands,region,2021-09-28,3487
E12000004,East Midlands,region,2021-09-27,3793
E12000004,East Midlands,region,2021-09-26,2588
E12000004,East Midlands,region,2021-09-25,2463
E12000004,East Midlands,region,2021-09-24,2869
E12000004,East Midlands,region,2021-09-23,3143
E12000004,East Midlands,region,2021-09-22,3371
E12000004,East Midlands,region,2021-09-21,3667
E12000004,East Midlands,region,2021-09-20,3740
E12000004,East Midlands,region,2021-09-19,2765
E12000004,East Midlands,region,2021-09-18,2206
E12000004,East Midlands,region,2021-09-17,2275
E12000004,East Midlands,region,2021-09-16,2370
E12000004,East Midlands,region,2021-09-15,2385
E12000004,East Midlands,region,2021-09-14,2425
E12000004,East Midlands,region,2021-09-13,2774
E12000004,East Midlands,region,2021-09-12,2059
E12000004,East Midlands,region,2021-09-11,1736
E12000004,East Midlands,region,2021-09-10,2082
E12000004,East Midlands,region,2021-09-09,2498
E12000004,East Midlands,region,2021-09-08,2620
E12000004,East Midlands,region,2021-09-07,2903
E12000004,East Midlands,region,2021-09-06,3390
E12000004,East Midlands,region,2021-09-05,2352
E12000004,East Midlands,region,2021-09-04,2274
E12000004,East Midlands,region,2021-09-03,2668
E12000004,East Midlands,region,2021-09-02,2787
E12000004,East Midlands,region,2021-09-01,2986
E12000004,East Midlands,region,2021-08-31,3249
E12000004,East Midlands,region,2021-08-30,2423
E12000004,East Midlands,region,2021-08-29,1885
