areaCode,areaName,areaType,date,newCasesBySpecimenDate
E12000006,East of England,region,2022-06-05,574
E12000006,East of England,region,2022-06-04,632
E12000006,East of England,region,2022-06-03,591
E12000006,East of England,region,2022-06-02,570
E12000006,East of England,region,2022-06-01,618
E12000006,East of England,region,2022-05-31,587
E12000006,East of England,region,2022-05-30,597
E12000006,East of England,region,2022-05-29,491
E12000006,East of England,region,2022-05-28,420
E12000006,East of England,region,2022-05-27,465
E12000006,East of England,region,2022-05-26,517
E12000006,East of England,region,2022-05-25,572
E12000006,East of England,region,2022-05-24,604
E12000006,East of England,region,2022-05-23,718
E12000006,East of England,region,2022-05-22,565
E12000006,East of England,region,2022-05-21,438
E12000006,East of England,region,2022-05-20,536
E12000006,East of England,region,2022-05-19,622
E12000006,East of England,region,2022-05-18,683
E12000006,East of England,region,2022-05-17,775
E12000006,East of England,region,2022-05-16,876
E12000006,East of England,region,2022-05-15,731
E12000006,East of England,region,2022-05-14,537
E12000006,East of England,region,2022-05-13,601
E12000006,East of England,region,2022-05-12,722
E12000006,East of England,region,2022-05-11,880
E12000006,East of England,region,2022-05-10,933
E12000006,East of England,region,2022-05-09,959
E12000006,East of England,region,2022-05-08,894
E12000006,East of England,region,2022-05-07,719
E12000006,East of England,region,2022-05-06,882
E12000006,East of England,region,2022-05-05,934
E12000006,East of England,region,2022-05-04,1161
E12000006,East of England,region,2022-05-03,1361
E12000006,East of England,region,2022-05-02,1227
E12000006,East of England,region,2022-05-01,907
E12000006,East of England,region,2022-04-30,748
E12000006,East of England,region,2022-04-29,1022
E12000006,East of England,region,2022-04-28,1113
E12000006,East of England,region,2022-04-27,1179
E12000006,East of England,region,2022-04-26,1288
E12000006,East of England,region,2022-04-25,1558
E12000006,East of England,region,2022-04-24,1391
E12000006,East of England,region,2022-04-23,1177
E12000006,East of England,region,2022-04-22,1416
E12000006,East of England,region,2022-04-21,1786
E12000006,East of England,region,2022-04-20,2046
E12000006,East of England,region,2022-04-19,2542
E12000006,East of England,region,2022-04-18,2407
E12000006,East of England,region,2022-04-17,1876
E12000006,East of England,region,2022-04-16,1777
E12000006,East of England,region,2022-04-15,2062
E12000006,East of England,region,2022-04-14,2526
E12000006,East of England,region,2022-04-13,3037
E12000006,East of England,region,2022-04-12,3295
E12000006,East of England,region,2022-04-11,3626
E12000006,East of England,region,2022-04-10,2966
E12000006,East of England,region,2022-04-09,2708
E12000006,East of England,region,2022-04-08,3197
E12000006,East of England,region,2022-04-07,3722
E12000006,East of England,region,2022-04-06,4295
E12000006,East of England,region,2022-04-05,4719
E12000006,East of England,region,2022-04-04,5197
E12000006,East of England,region,2022-04-03,4125
E12000006,East of England,region,2022-04-02,3729
E12000006,East of England,region,2022-04-01,4790
E12000006,East of England,region,2022-03-31,5625
E12000006,East of England,region,2022-03-30,7210
E12000006,East of England,region,2022-03-29,7962
E12000006,East of England,region,2022-03-28,9308
E12000006,East of England,region,2022-03-27,7084
E12000006,East of England,region,2022-03-26,6227
E12000006,East of England,region,2022-03-25,7259
E12000006,East of England,region,2022-03-24,8450
E12000006,East of England,region,2022-03-23,9558
E12000006,East of England,region,2022-03-22,9911
E12000006,East of England,region,2022-03-21,10967
E12000006,East of England,region,2022-03-20,8402
E12000006,East of England,region,2022-03-19,6934
E12000006,East of England,region,2022-03-18,7876
E12000006,East of England,region,2022-03-17,8905
E12000006,East of England,region,2022-03-16,9929
E12000006,East of England,region,2022-03-15,9862
E12000006,East of England,region,2022-03-14,10604
E12000006,East of England,region,2022-03-13,8586
E12000006,East of England,region,2022-03-12,6966
E12000006,East of England,region,2022-03-11,7117
E12000006,East of England,region,2022-03-10,7414
E12000006,East of England,region,2022-03-09,7654
E12000006,East of England,region,2022-03-08,7152
E12000006,East of England,region,2022-03-07,7161
E12000006,East of England,region,2022-03-06,5210
E12000006,East of England,region,2022-03-05,3950
E12000006,East of England,region,2022-03-04,4201
E12000006,East of England,region,2022-03-03,4274
E12000006,East of England,region,2022-03-02,4445
E12000006,East of England,region,2022-03-01,4245
E12000006,East of England,region,2022-02-28,3979
E12000006,East of England,region,2022-02-27,2873
E12000006,East of England,region,2022-02-26,2180
E12000006,East of England,region,2022-02-25,2373
E12000006,East of England,region,2022-02-24,2802
E12000006,East of England,region,2022-02-23,3399
E12000006,East of England,region,2022-02-22,3646
E12000006,East of England,region,2022-02-21,4426
E12000006,East of England,region,2022-02-20,4137
E12000006,East of England,region,2022-02-19,3787
E12000006,East of England,region,2022-02-18,3269
E12000006,East of England,region,2022-02-17,4294
E12000006,East of England,region,2022-02-16,4961
E12000006,East of England,region,2022-02-15,4925
E12000006,East of England,region,2022-02-14,4999
E12000006,East of England,region,2022-02-13,3872
E12000006,East of England,region,2022-02-12,3527
E12000006,East of England,region,2022-02-11,4378
E12000006,East of England,region,2022-02-10,5116
E12000006,East of England,region,2022-02-09,6220
E12000006,East of England,region,2022-02-08,6737
E12000006,East of England,region,2022-02-07,7704
E12000006,East of England,region,2022-02-06,6385
E12000006,East of England,region,2022-02-05,5508
E12000006,East of England,region,2022-02-04,6624
E12000006,East of England,region,2022-02-03,7928
E12000006,East of England,region,2022-02-02,9145
E12000006,East of England,region,2022-02-01,9585
E12000006,East of England,region,2022-01-31,10853
E12000006,East of England,region,2022-01-30,9578
E12000006,East of England,region,2022-01-29,8069
E12000006,East of England,region,2022-01-28,8813
E12000006,East of England,region,2022-01-27,10026
E12000006,East of England,region,2022-01-26,11062
E12000006,East of England,region,2022-01-25,11568
E12000006,East of England,region,2022-01-24,13173
E12000006,East of England,region,2022-01-23,10773
E12000006,East of England,region,2022-01-22,8666
E12000006,East of England,region,2022-01-21,9533
E12000006,East of England,region,2022-01-20,10073
E12000006,East of England,region,2022-01-19,11381
E12000006,East of England,region,2022-01-18,11609
E12000006,East of England,region,2022-01-17,12800
E12000006,East of England,region,2022-01-16,9619
E12000006,East of England,region,2022-01-15,7360
E12000006,East of England,region,2022-01-14,7864
E12000006,East of England,region,2022-01-13,8688
E12000006,East of England,region,2022-01-12,8865
E12000006,East of England,region,2022-01-11,9644
E12000006,East of England,region,2022-01-10,10896
E12000006,East of England,region,2022-01-09,7944
E12000006,East of England,region,2022-01-08,7589
E12000006,East of England,region,2022-01-07,9615
E12000006,East of England,region,2022-01-06,14003
E12000006,East of England,region,2022-01-05,16398
E12000006,East of England,region,2022-01-04,21971
E12000006,East of England,region,2022-01-03,18316
E12000006,East of England,region,2022-01-02,14370
E12000006,East of England,region,2022-01-01,9609
E12000006,East of England,region,2021-12-31,15436
E12000006,East of England,region,2021-12-30,19865
E12000006,East of England,region,2021-12-29,23990
