areaCode,areaName,areaType,date,newCasesBySpecimenDate
E12000006,East of England,region,2021-10-22,988
E12000006,East of England,region,2021-10-21,3996
E12000006,East of England,region,2021-10-20,5168
E12000006,East of England,region,2021-10-19,5392
E12000006,East of England,region,2021-10-18,5799
E12000006,East of England,region,2021-10-17,4582
E12000006,East of England,region,2021-10-16,3478
E12000006,East of England,region,2021-10-15,3936
E12000006,East of England,region,2021-10-14,4428
E12000006,East of England,region,2021-10-13,4752
E12000006,East of England,region,2021-10-12,4527
E12000006,East of England,region,2021-10-11,5188
E12000006,East of England,region,2021-10-10,3869
E12000006,East of England,region,2021-10-09,3161
E12000006,East of England,region,2021-10-08,3363
E12000006,East of England,region,2021-10-07,3773
E12000006,East of England,region,2021-10-06,3809
E12000006,East of England,region,2021-10-05,3568
E12000006,East of England,region,2021-10-04,4262
E12000006,East of England,region,2021-10-03,3111
E12000006,East of England,region,2021-10-02,2338
E12000006,East of England,region,2021-10-01,2549
E12000006,East of England,region,2021-09-30,2744
E12000006,East of England,region,2021-09-29,3158
E12000006,East of England,region,2021-09-28,3466
E12000006,East of England,region,2021-09-27,3826
E12000006,East of England,region,2021-09-26,2993
E12000006,East of England,region,2021-09-25,2347
E12000006,East of England,region,2021-09-24,2682
E12000006,East of England,region,2021-09-23,2765
E12000006,East of England,region,2021-09-22,2936
E12000006,East of England,region,2021-09-21,3257
E12000006,East of England,region,2021-09-20,3373
E12000006,East of England,region,2021-09-19,2472
E12000006,East of England,region,2021-09-18,2044
E12000006,East of England,region,2021-09-17,2194
E12000006,East of England,region,2021-09-16,2200
E12000006,East of England,region,2021-09-15,2348
E12000006,East of England,region,2021-09-14,2260
E12000006,East of England,region,2021-09-13,2588
E12000006,East of England,region,2021-09-12,1863
E12000006,East of England,region,2021-09-11,1712
E12000006,East of England,region,2021-09-10,2046
E12000006,East of England,region,2021-09-09,2324
E12000006,East of England,region,2021-09-08,2469
E12000006,East of England,region,2021-09-07,2916
E12000006,East of England,region,2021-09-06,3323
E12000006,East of England,region,2021-09-05,2326
E12000006,East of England,region,2021-09-04,2372
E12000006,East of England,region,2021-09-03,2835
E12000006,East of England,region,2021-09-02,3003
E12000006,East of England,region,2021-09-01,3108
E12000006,East of England,region,2021-08-31,3271
E12000006,East of England,region,2021-08-30,2372
E12000006,East of England,region,2021-08-29,1827
E12000006,East of England,region,2021-08-28,1933
E12000006,East of England,region,2021-08-27,2343
E12000006,East of England,region,2021-08-26,2537
E12000006,East of England,region,2021-08-25,2591
E12000006,East of England,region,2021-08-24,2581
E12000006,East of England,region,2021-08-23,2817
E12000006,East of England,region,2021-08-22,2140
E12000006,East of England,region,2021-08-21,2108
E12000006,East of England,region,2021-08-20,2391
E12000006,East of England,region,2021-08-19,2734
E12000006,East of England,region,2021-08-18,2838
E12000006,East of England,region,2021-08-17,2684
E12000006,East of England,region,2021-08-16,2806
E12000006,East of England,region,2021-08-15,1991
E12000006,East of England,region,2021-08-14,1988
E12000006,East of England,region,2021-08-13,2410
E12000006,East of England,region,2021-08-12,2695
E12000006,East of England,region,2021-08-11,2729
E12000006,East of England,region,2021-08-10,2478
E12000006,East of England,region,2021-08-09,2647
E12000006,East of England,region,2021-08-08,1881
E12000006,East of England,region,2021-08-07,1894
E12000006,East of England,region,2021-08-06,2322
