areaCode,areaName,areaType,date,newCasesBySpecimenDate
E12000007,London,region,2022-06-05,721
E12000007,London,region,2022-06-04,838
E12000007,London,region,2022-06-03,834
E12000007,London,region,2022-06-02,754
E12000007,London,region,2022-06-01,865
E12000007,London,region,2022-05-31,934
E12000007,London,region,2022-05-30,918
E12000007,London,region,2022-05-29,752
E12000007,London,region,2022-05-28,686
E12000007,London,region,2022-05-27,742
E12000007,London,region,2022-05-26,763
E12000007,London,region,2022-05-25,804
E12000007,London,region,2022-05-24,843
E12000007,London,region,2022-05-23,996
E12000007,London,region,2022-05-22,733
E12000007,London,region,2022-05-21,642
E12000007,London,region,2022-05-20,719
E12000007,London,region,2022-05-19,879
E12000007,London,region,2022-05-18,968
E12000007,London,region,2022-05-17,1059
E12000007,London,region,2022-05-16,1174
E12000007,London,region,2022-05-15,961
E12000007,London,region,2022-05-14,752
E12000007,London,region,2022-05-13,803
E12000007,London,region,2022-05-12,937
E12000007,London,region,2022-05-11,1004
E12000007,London,region,2022-05-10,1212
E12000007,London,region,2022-05-09,1261
E12000007,London,region,2022-05-08,1080
E12000007,London,region,2022-05-07,831
E12000007,London,region,2022-05-06,1025
E12000007,London,region,2022-05-05,1230
E12000007,London,region,2022-05-04,1362
E12000007,London,region,2022-05-03,1442
E12000007,London,region,2022-05-02,1366
E12000007,London,region,2022-05-01,936
E12000007,London,region,2022-04-30,895
E12000007,London,region,2022-04-29,1050
E12000007,London,region,2022-04-28,1163
E12000007,London,region,2022-04-27,1346
E12000007,London,region,2022-04-26,1332
E12000007,London,region,2022-04-25,1632
E12000007,London,region,2022-04-24,1382
E12000007,London,region,2022-04-23,1219
E12000007,London,region,2022-04-22,1525
E12000007,London,region,2022-04-21,1737
E12000007,London,region,2022-04-20,1992
E12000007,London,region,2022-04-19,2455
E12000007,London,region,2022-04-18,2444
E12000007,London,region,2022-04-17,1733
E12000007,London,region,2022-04-16,1760
E12000007,London,region,2022-04-15,1870
E12000007,London,region,2022-04-14,2408
E12000007,London,region,2022-04-13,2755
E12000007,London,region,2022-04-12,3062
E12000007,London,region,2022-04-11,3285
E12000007,London,region,2022-04-10,2855
E12000007,London,region,2022-04-09,2689
E12000007,London,region,2022-04-08,3218
E12000007,London,region,2022-04-07,3530
E12000007,London,region,2022-04-06,4200
E12000007,London,region,2022-04-05,4632
E12000007,London,region,2022-04-04,5258
E12000007,London,region,2022-04-03,3903
E12000007,London,region,2022-04-02,3773
E12000007,London,region,2022-04-01,5093
E12000007,London,region,2022-03-31,5754
E12000007,London,region,2022-03-30,7909
E12000007,London,region,2022-03-29,8379
E12000007,London,region,2022-03-28,9469
E12000007,London,region,2022-03-27,6887
E12000007,London,region,2022-03-26,6328
E12000007,London,region,2022-03-25,7565
E12000007,London,region,2022-03-24,8528
E12000007,London,region,2022-03-23,9679
E12000007,London,region,2022-03-22,10021
E12000007,London,region,2022-03-21,10843
E12000007,London,region,2022-03-20,7628
E12000007,London,region,2022-03-19,6600
E12000007,London,region,2022-03-18,7734
E12000007,London,region,2022-03-17,8602
E12000007,London,region,2022-03-16,9277
E12000007,London,region,2022-03-15,9358
E12000007,London,region,2022-03-14,9889
E12000007,London,region,2022-03-13,7203
E12000007,London,region,2022-03-12,6265
E12000007,London,region,2022-03-11,6811
