areaCode,areaName,areaType,date,newCasesBySpecimenDate
E12000007,London,region,2021-10-22,593
E12000007,London,region,2021-10-21,3306
E12000007,London,region,2021-10-20,4104
E12000007,London,region,2021-10-19,4291
E12000007,London,region,2021-10-18,4463
E12000007,London,region,2021-10-17,3295
E12000007,London,region,2021-10-16,2735
E12000007,London,region,2021-10-15,3226
E12000007,London,region,2021-10-14,3383
E12000007,London,region,2021-10-13,3509
E12000007,London,region,2021-10-12,3351
E12000007,London,region,2021-10-11,3829
E12000007,London,region,2021-10-10,2730
E12000007,London,region,2021-10-09,2431
E12000007,London,region,2021-10-08,2654
E12000007,London,region,2021-10-07,2904
E12000007,London,region,2021-10-06,2812
E12000007,London,region,2021-10-05,3046
E12000007,London,region,2021-10-04,3303
E12000007,London,region,2021-10-03,2526
E12000007,London,region,2021-10-02,2138
E12000007,London,region,2021-10-01,2192
E12000007,London,region,2021-09-30,2591
E12000007,London,region,2021-09-29,2778
E12000007,London,region,2021-09-28,2789
E12000007,London,region,2021-09-27,3439
E12000007,London,region,2021-09-26,2501
E12000007,London,region,2021-09-25,2226
E12000007,London,region,2021-09-24,2378
E12000007,London,region,2021-09-23,2725
E12000007,London,region,2021-09-22,2806
E12000007,London,region,2021-09-21,2907
E12000007,London,region,2021-09-20,3114
E12000007,London,region,2021-09-19,2334
E12000007,London,region,2021-09-18,2106
E12000007,London,region,2021-09-17,2356
E12000007,London,region,2021-09-16,2335
E12000007,London,region,2021-09-15,2423
E12000007,London,region,2021-09-14,2600
E12000007,London,region,2021-09-13,2784
E12000007,London,region,2021-09-12,2010
E12000007,London,region,2021-09-11,2169
E12000007,London,region,2021-09-10,2507
E12000007,London,region,2021-09-09,2743
E12000007,London,region,2021-09-08,3134
E12000007,London,region,2021-09-07,3386
E12000007,London,region,2021-09-06,3777
E12000007,London,region,2021-09-05,2652
E12000007,London,region,2021-09-04,2717
E12000007,London,region,2021-09-03,3452
E12000007,London,region,2021-09-02,3720
E12000007,London,region,2021-09-01,3607
E12000007,London,region,2021-08-31,3711
E12000007,London,region,2021-08-30,2815
E12000007,London,region,2021-08-29,2245
E12000007,London,region,2021-08-28,2575
E12000007,London,region,2021-08-27,3063
E12000007,London,region,2021-08-26,3175
E12000007,London,region,2021-08-25,3425
E12000007,London,region,2021-08-24,3415
E12000007,London,region,2021-08-23,3569
E12000007,London,region,2021-08-22,2646
E12000007,London,region,2021-08-21,2652
E12000007,London,region,2021-08-20,3083
E12000007,London,region,2021-08-19,3537
E12000007,London,region,2021-08-18,3698
E12000007,London,region,2021-08-17,3725
E12000007,London,region,2021-08-16,3841
E12000007,London,region,2021-08-15,2702
E12000007,London,region,2021-08-14,2897
E12000007,London,region,2021-08-13,3677
E12000007,London,region,2021-08-12,3929
E12000007,London,region,2021-08-11,4271
E12000007,London,region,2021-08-10,3821
E12000007,London,region,2021-08-09,3813
E12000007,London,region,2021-08-08,2841
E12000007,London,region,2021-08-07,2940
E12000007,London,region,2021-08-06,3624
E12000007,London,region,2021-08-05,4176
E12000007,London,region,2021-08-04,4193
E12000007,London,region,2021-08-03,3937
E12000007,London,region,2021-08-02,3904
E12000007,London,region,2021-08-01,2624
E12000007,London,region,2021-07-31,2601
E12000007,London,region,2021-07-30,3272
E12000007,London,region,2021-07-29,3806
E12000007,London,region,2021-07-28,3888
E12000007,London,region,2021-07-27,3817
E12000007,London,region,2021-07-26,3974
E12000007,London,region,2021-07-25,2824
E12000007,London,region,2021-07-24,3058
E12000007,London,region,2021-07-23,3859
E12000007,London,region,2021-07-22,4231
E12000007,London,region,2021-07-21,4687
E12000007,London,region,2021-07-20,5006
E12000007,London,region,2021-07-19,6006
E12000007,London,region,2021-07-18,4416
E12000007,London,region,2021-07-17,4975
E12000007,London,region,2021-07-16,7013
E12000007,London,region,2021-07-15,7641
E12000007,London,region,2021-07-14,6398
E12000007,London,region,2021-07-13,5198
E12000007,London,region,2021-07-12,4873
E12000007,London,region,2021-07-11,3222
E12000007,London,region,2021-07-10,3189
E12000007,London,region,2021-07-09,3588
E12000007,London,region,2021-07-08,3586
E12000007,London,region,2021-07-07,4415
E12000007,London,region,2021-07-06,3935
E12000007,London,region,2021-07-05,3762
E12000007,London,region,2021-07-04,2568
E12000007,London,region,2021-07-03,2625
E12000007,London,region,2021-07-02,2878
E12000007,London,region,2021-07-01,3012
E12000007,London,region,2021-06-30,3010
E12000007,London,region,2021-06-29,2924
E12000007,London,region,2021-06-28,2811
E12000007,London,region,2021-06-27,1852
E12000007,London,region,2021-06-26,1684
E12000007,London,region,2021-06-25,2012
E12000007,London,region,2021-06-24,1908
E12000007,London,region,2021-06-23,1925
E12000007,London,region,2021-06-22,1756
E12000007,London,region,2021-06-21,1626
E12000007,London,region,2021-06-20,951
E12000007,London,region,2021-06-19,902
E12000007,London,region,2021-06-18,994
E12000007,London,region,2021-06-17,1261
E12000007,London,region,2021-06-16,1139
E12000007,London,region,2021-06-15,1256
E12000007,London,region,2021-06-14,1174
E12000007,London,region,2021-06-13,750
E12000007,London,region,2021-06-12,752
E12000007,London,region,2021-06-11,916
E12000007,London,region,2021-06-10,975
E12000007,London,region,2021-06-09,1046
E12000007,London,region,2021-06-08,1061
E12000007,London,region,2021-06-07,985
E12000007,London,region,2021-06-06,648
E12000007,London,region,2021-06-05,585
E12000007,London,region,2021-06-04,679
E12000007,London,region,2021-06-03,769
E12000007,London,region,2021-06-02,794
E12000007,London,region,2021-06-01,682
E12000007,London,region,2021-05-31,474
E12000007,London,region,2021-05-30,387
E12000007,London,region,2021-05-29,375
E12000007,London,region,2021-05-28,412
E12000007,London,region,2021-05-27,500
E12000007,London,region,2021-05-26,473
E12000007,London,region,2021-05-25,401
E12000007,London,region,2021-05-24,358
E12000007,London,region,2021-05-23,268
E12000007,London,region,2021-05-22,234
E12000007,London,region,2021-05-21,263
E12000007,London,region,2021-05-20,315
E12000007,London,region,2021-05-19,339
E12000007,London,region,2021-05-18,314
E12000007,London,region,2021-05-17,324
E12000007,London,region,2021-05-16,205
E12000007,London,region,2021-05-15,185
E12000007,London,region,2021-05-14,237
E12000007,London,region,2021-05-13,249
E12000007,London,region,2021-05-12,219
E12000007,London,region,2021-05-11,279
E12000007,London,region,2021-05-10,339
E12000007,London,region,2021-05-09,262
E12000007,London,region,2021-05-08,174
E12000007,London,region,2021-05-07,225
E12000007,London,region,2021-05-06,280
E12000007,London,region,2021-05-05,264
E12000007,London,region,2021-05-04,293
E12000007,London,region,2021-05-03,234
E12000007,London,region,2021-05-02,173
E12000007,London,region,2021-05-01,167
E12000007,London,region,2021-04-30,224
E12000007,London,region,2021-04-29,196
E12000007,London,region,2021-04-28,286
E12000007,London,region,2021-04-27,271
E12000007,London,region,2021-04-26,294
E12000007,London,region,2021-04-25,263
E12000007,London,region,2021-04-24,221
E12000007,London,region,2021-04-23,231
E12000007,London,region,2021-04-22,301
E12000007,London,region,2021-04-21,343
E12000007,London,region,2021-04-20,340
E12000007,London,region,2021-04-19,361
E12000007,London,region,2021-04-18,359
E12000007,London,region,2021-04-17,219
E12000007,London,region,2021-04-16,304
E12000007,London,region,2021-04-15,296
E12000007,London,region,2021-04-14,271
E12000007,London,region,2021-04-13,277
E12000007,London,region,2021-04-12,326
E12000007,London,region,2021-04-11,292
E12000007,London,region,2021-04-10,274
E12000007,London,region,2021-04-09,351
E12000007,London,region,2021-04-08,311
E12000007,London,region,2021-04-07,337
E12000007,London,region,2021-04-06,331
E12000007,London,region,2021-04-05,243
E12000007,London,region,2021-04-04,212
E12000007,London,region,2021-04-03,237
E12000007,London,region,2021-04-02,251
E12000007,London,region,2021-04-01,335
E12000007,London,region,2021-03-31,303
E12000007,London,region,2021-03-30,357
E12000007,London,region,2021-03-29,400
E12000007,London,region,2021-03-28,470
E12000007,London,region,2021-03-27,300
