areaCode,areaName,areaType,date,newCasesBySpecimenDate
E12000001,North East,region,2022-05-31,162
E12000001,North East,region,2022-05-30,264
E12000001,North East,region,2022-05-29,226
E12000001,North East,region,2022-05-28,180
E12000001,North East,region,2022-05-27,222
E12000001,North East,region,2022-05-26,235
E12000001,North East,region,2022-05-25,284
E12000001,North East,region,2022-05-24,274
E12000001,North East,region,2022-05-23,312
E12000001,North East,region,2022-05-22,309
E12000001,North East,region,2022-05-21,205
E12000001,North East,region,2022-05-20,251
E12000001,North East,region,2022-05-19,314
E12000001,North East,region,2022-05-18,329
E12000001,North East,region,2022-05-17,362
E12000001,North East,region,2022-05-16,415
E12000001,North East,region,2022-05-15,392
E12000001,North East,region,2022-05-14,278
E12000001,North East,region,2022-05-13,322
E12000001,North East,region,2022-05-12,333
E12000001,North East,region,2022-05-11,374
E12000001,North East,region,2022-05-10,473
E12000001,North East,region,2022-05-09,549
E12000001,North East,region,2022-05-08,386
E12000001,North East,region,2022-05-07,339
E12000001,North East,region,2022-05-06,406
E12000001,North East,region,2022-05-05,494
E12000001,North East,region,2022-05-04,581
E12000001,North East,region,2022-05-03,658
E12000001,North East,region,2022-05-02,607
E12000001,North East,region,2022-05-01,418
E12000001,North East,region,2022-04-30,408
E12000001,North East,region,2022-04-29,479
E12000001,North East,region,2022-04-28,540
E12000001,North East,region,2022-04-27,578
E12000001,North East,region,2022-04-26,656
E12000001,North East,region,2022-04-25,789
E12000001,North East,region,2022-04-24,782
E12000001,North East,region,2022-04-23,623
E12000001,North East,region,2022-04-22,750
E12000001,North East,region,2022-04-21,889
E12000001,North East,region,2022-04-20,951
E12000001,North East,region,2022-04-19,1132
E12000001,North East,region,2022-04-18,1113
E12000001,North East,region,2022-04-17,965
E12000001,North East,region,2022-04-16,953
E12000001,North East,region,2022-04-15,938
E12000001,North East,region,2022-04-14,1133
E12000001,North East,region,2022-04-13,1372
E12000001,North East,region,2022-04-12,1439
E12000001,North East,region,2022-04-11,1626
E12000001,North East,region,2022-04-10,1308
E12000001,North East,region,2022-04-09,1193
E12000001,North East,region,2022-04-08,1368
E12000001,North East,region,2022-04-07,1693
E12000001,North East,region,2022-04-06,1965
E12000001,North East,region,2022-04-05,2201
E12000001,North East,region,2022-04-04,2256
E12000001,North East,region,2022-04-03,1919
E12000001,North East,region,2022-04-02,1561
E12000001,North East,region,2022-04-01,2028
E12000001,North East,region,2022-03-31,2297
E12000001,North East,region,2022-03-30,3149
E12000001,North East,region,2022-03-29,3328
E12000001,North East,region,2022-03-28,3949
E12000001,North East,region,2022-03-27,2750
E12000001,North East,region,2022-03-26,2374
E12000001,North East,region,2022-03-25,2623
E12000001,North East,region,2022-03-24,3002
E12000001,North East,region,2022-03-23,3420
E12000001,North East,region,2022-03-22,3660
