areaCode,areaName,areaType,date,newCasesBySpecimenDate
E12000002,North West,region,2022-05-31,419
E12000002,North West,region,2022-05-30,584
E12000002,North West,region,2022-05-29,527
E12000002,North West,region,2022-05-28,443
E12000002,North West,region,2022-05-27,497
E12000002,North West,region,2022-05-26,592
E12000002,North West,region,2022-05-25,593
E12000002,North West,region,2022-05-24,674
E12000002,North West,region,2022-05-23,700
E12000002,North West,region,2022-05-22,604
E12000002,North West,region,2022-05-21,498
E12000002,North West,region,2022-05-20,655
E12000002,North West,region,2022-05-19,690
E12000002,North West,region,2022-05-18,774
E12000002,North West,region,2022-05-17,827
E12000002,North West,region,2022-05-16,1035
E12000002,North West,region,2022-05-15,804
E12000002,North West,region,2022-05-14,630
E12000002,North West,region,2022-05-13,705
E12000002,North West,region,2022-05-12,809
E12000002,North West,region,2022-05-11,892
E12000002,North West,region,2022-05-10,1010
E12000002,North West,region,2022-05-09,1202
E12000002,North West,region,2022-05-08,1034
E12000002,North West,region,2022-05-07,787
E12000002,North West,region,2022-05-06,996
E12000002,North West,region,2022-05-05,1122
E12000002,North West,region,2022-05-04,1285
E12000002,North West,region,2022-05-03,1528
E12000002,North West,region,2022-05-02,1364
E12000002,North West,region,2022-05-01,959
E12000002,North West,region,2022-04-30,887
E12000002,North West,region,2022-04-29,1055
E12000002,North West,region,2022-04-28,1162
E12000002,North West,region,2022-04-27,1269
E12000002,North West,region,2022-04-26,1522
E12000002,North West,region,2022-04-25,1788
E12000002,North West,region,2022-04-24,1507
E12000002,North West,region,2022-04-23,1277
E12000002,North West,region,2022-04-22,1608
E12000002,North West,region,2022-04-21,1784
E12000002,North West,region,2022-04-20,2158
E12000002,North West,region,2022-04-19,2773
E12000002,North West,region,2022-04-18,2578
E12000002,North West,region,2022-04-17,2089
E12000002,North West,region,2022-04-16,1915
E12000002,North West,region,2022-04-15,2120
E12000002,North West,region,2022-04-14,2550
E12000002,North West,region,2022-04-13,3084
E12000002,North West,region,2022-04-12,3272
E12000002,North West,region,2022-04-11,3694
E12000002,North West,region,2022-04-10,2908
E12000002,North West,region,2022-04-09,2635
E12000002,North West,region,2022-04-08,3058
E12000002,North West,region,2022-04-07,3670
E12000002,North West,region,2022-04-06,4199
E12000002,North West,region,2022-04-05,4765
E12000002,North West,region,2022-04-04,5216
E12000002,North West,region,2022-04-03,4268
E12000002,North West,region,2022-04-02,3531
E12000002,North West,region,2022-04-01,4484
E12000002,North West,region,2022-03-31,5123
E12000002,North West,region,2022-03-30,7616
E12000002,North West,region,2022-03-29,8215
E12000002,North West,region,2022-03-28,9331
E12000002,North West,region,2022-03-27,6769
E12000002,North West,region,2022-03-26,5791
E12000002,North West,region,2022-03-25,6992
E12000002,North West,region,2022-03-24,7908
E12000002,North West,region,2022-03-23,8604
E12000002,North West,region,2022-03-22,9242
E12000002,North West,region,2022-03-21,10668
E12000002,North West,region,2022-03-20,7511
E12000002,North West,region,2022-03-19,5998
E12000002,North West,region,2022-03-18,6818
E12000002,North West,region,2022-03-17,7274
E12000002,North West,region,2022-03-16,7954
E12000002,North West,region,2022-03-15,8089
E12000002,North West,region,2022-03-14,8580
E12000002,North West,region,2022-03-13,6414
E12000002,North West,region,2022-03-12,5117
E12000002,North West,region,2022-03-11,5561
E12000002,North West,region,2022-03-10,5788
E12000002,North West,region,2022-03-09,5791
E12000002,North West,region,2022-03-08,5465
E12000002,North West,region,2022-03-07,5401
E12000002,North West,region,2022-03-06,3597
E12000002,North West,region,2022-03-05,2774
E12000002,North West,region,2022-03-04,3175
E12000002,North West,region,2022-03-03,3200
E12000002,North West,region,2022-03-02,3363
E12000002,North West,region,2022-03-01,3106
E12000002,North West,region,2022-02-28,3069
E12000002,North West,region,2022-02-27,2179
E12000002,North West,region,2022-02-26,1615
E12000002,North West,region,2022-02-25,1865
E12000002,North West,region,2022-02-24,2074
E12000002,North West,region,2022-02-23,2495
E12000002,North West,region,2022-02-22,2576
E12000002,North West,region,2022-02-21,2955
E12000002,North West,region,2022-02-20,2559
E12000002,North West,region,2022-02-19,2200
E12000002,North West,region,2022-02-18,2446
E12000002,North West,region,2022-02-17,2935
E12000002,North West,region,2022-02-16,3490
E12000002,North West,region,2022-02-15,3660
E12000002,North West,region,2022-02-14,3894
E12000002,North West,region,2022-02-13,2924
E12000002,North West,region,2022-02-12,2542
E12000002,North West,region,2022-02-11,3098
E12000002,North West,region,2022-02-10,3764
E12000002,North West,region,2022-02-09,4481
E12000002,North West,region,2022-02-08,5054
E12000002,North West,region,2022-02-07,5774
E12000002,North West,region,2022-02-06,4551
E12000002,North West,region,2022-02-05,3849
E12000002,North West,region,2022-02-04,4732
E12000002,North West,region,2022-02-03,5901
E12000002,North West,region,2022-02-02,6867
E12000002,North West,region,2022-02-01,7273
E12000002,North West,region,2022-01-31,8452
E12000002,North West,region,2022-01-30,7205
E12000002,North West,region,2022-01-29,5816
E12000002,North West,region,2022-01-28,6888
E12000002,North West,region,2022-01-27,8177
E12000002,North West,region,2022-01-26,9190
E12000002,North West,region,2022-01-25,9915
E12000002,North West,region,2022-01-24,11415
E12000002,North West,region,2022-01-23,9263
E12000002,North West,region,2022-01-22,7311
E12000002,North West,region,2022-01-21,8464
E12000002,North West,region,2022-01-20,9666
E12000002,North West,region,2022-01-19,11448
E12000002,North West,region,2022-01-18,12327
E12000002,North West,region,2022-01-17,14148
E12000002,North West,region,2022-01-16,10674
E12000002,North West,region,2022-01-15,8349
E12000002,North West,region,2022-01-14,9569
E12000002,North West,region,2022-01-13,11321
E12000002,North West,region,2022-01-12,12369
E12000002,North West,region,2022-01-11,14203
E12000002,North West,region,2022-01-10,17287
E12000002,North West,region,2022-01-09,12338
E12000002,North West,region,2022-01-08,12276
E12000002,North West,region,2022-01-07,16147
E12000002,North West,region,2022-01-06,24026
E12000002,North West,region,2022-01-05,31689
E12000002,North West,region,2022-01-04,40221
E12000002,North West,region,2022-01-03,33567
E12000002,North West,region,2022-01-02,26528
E12000002,North West,region,2022-01-01,17331
E12000002,North West,region,2021-12-31,27020
E12000002,North West,region,2021-12-30,33737
E12000002,North West,region,2021-12-29,38864
E12000002,North West,region,2021-12-28,30056
E12000002,North West,region,2021-12-27,26929
E12000002,North West,region,2021-12-26,15866
E12000002,North West,region,2021-12-25,9553
E12000002,North West,region,2021-12-24,18933
E12000002,North West,region,2021-12-23,21031
E12000002,North West,region,2021-12-22,21368
E12000002,North West,region,2021-12-21,18191
E12000002,North West,region,2021-12-20,15396
E12000002,North West,region,2021-12-19,9204
E12000002,North West,region,2021-12-18,8522
E12000002,North West,region,2021-12-17,8915
E12000002,North West,region,2021-12-16,10017
E12000002,North West,region,2021-12-15,10266
E12000002,North West,region,2021-12-14,8807
E12000002,North West,region,2021-12-13,7657
E12000002,North West,region,2021-12-12,4573
E12000002,North West,region,2021-12-11,4337
E12000002,North West,region,2021-12-10,4612
E12000002,North West,region,2021-12-09,5211
E12000002,North West,region,2021-12-08,5503
E12000002,North West,region,2021-12-07,5255
E12000002,North West,region,2021-12-06,6033
E12000002,North West,region,2021-12-05,3819
E12000002,North West,region,2021-12-04,3292
E12000002,North West,region,2021-12-03,4262
E12000002,North West,region,2021-12-02,4695
E12000002,North West,region,2021-12-01,5155
E12000002,North West,region,2021-11-30,5181
E12000002,North West,region,2021-11-29,4986
E12000002,North West,region,2021-11-28,3613
E12000002,North West,region,2021-11-27,2925
E12000002,North West,region,2021-11-26,3671
E12000002,North West,region,2021-11-25,4103
E12000002,North West,region,2021-11-24,4273
E12000002,North West,region,2021-11-23,4598
E12000002,North West,region,2021-11-22,4724
E12000002,North West,region,2021-11-21,3503
E12000002,North West,region,2021-11-20,3335
E12000002,North West,region,2021-11-19,3783
E12000002,North West,region,2021-11-18,4470
E12000002,North West,region,2021-11-17,4559
E12000002,North West,region,2021-11-16,4619
E12000002,North West,region,2021-11-15,5056
E12000002,North West,region,2021-11-14,3353
E12000002,North West,region,2021-11-13,3124
E12000002,North West,region,2021-11-12,3690
E12000002,North West,region,2021-11-11,4052
E12000002,North West,region,2021-11-10,4116
E12000002,North West,region,2021-11-09,4308
E12000002,North West,region,2021-11-08,4639
E12000002,North West,region,2021-11-07,3214
E12000002,North West,region,2021-11-06,2848
E12000002,North West,region,2021-11-05,3128
E12000002,North West,region,2021-11-04,3415
E12000002,North West,region,2021-11-03,3855
E12000002,North West,region,2021-11-02,4073
E12000002,North West,region,2021-11-01,4817
E12000002,North West,region,2021-10-31,3811
E12000002,North West,region,2021-10-30,3483
E12000002,North West,region,2021-10-29,4268
E12000002,North West,region,2021-10-28,4416
