areaCode,areaName,areaType,date,newCasesBySpecimenDate
N92000002,Northern Ireland,nation,2021-11-24,1245
N92000002,Northern Ireland,nation,2021-11-23,1878
N92000002,Northern Ireland,nation,2021-11-22,1967
N92000002,Northern Ireland,nation,2021-11-21,1497
N92000002,Northern Ireland,nation,2021-11-20,1458
N92000002,Northern Ireland,nation,2021-11-19,1716
N92000002,Northern Ireland,nation,2021-11-18,1753
N92000002,Northern Ireland,nation,2021-11-17,1775
N92000002,Northern Ireland,nation,2021-11-16,1781
N92000002,Northern Ireland,nation,2021-11-15,1920
N92000002,Northern Ireland,nation,2021-11-14,1448
N92000002,Northern Ireland,nation,2021-11-13,1360
N92000002,Northern Ireland,nation,2021-11-12,1334
N92000002,Northern Ireland,nation,2021-11-11,1545
N92000002,Northern Ireland,nation,2021-11-10,1473
N92000002,Northern Ireland,nation,2021-11-09,1616
N92000002,Northern Ireland,nation,2021-11-08,1562
N92000002,Northern Ireland,nation,2021-11-07,1006
N92000002,Northern Ireland,nation,2021-11-06,1026
N92000002,Northern Ireland,nation,2021-11-05,1088
N92000002,Northern Ireland,nation,2021-11-04,1205
N92000002,Northern Ireland,nation,2021-11-03,1220
N92000002,Northern Ireland,nation,2021-11-02,1204
N92000002,Northern Ireland,nation,2021-11-01,1275
N92000002,Northern Ireland,nation,2021-10-31,958
N92000002,Northern Ireland,nation,2021-10-30,987
N92000002,Northern Ireland,nation,2021-10-29,1111
N92000002,Northern Ireland,nation,2021-10-28,1196
N92000002,Northern Ireland,nation,2021-10-27,1265
N92000002,Northern Ireland,nation,2021-10-26,1312
N92000002,Northern Ireland,nation,2021-10-25,1257
N92000002,Northern Ireland,nation,2021-10-24,1055
N92000002,Northern Ireland,nation,2021-10-23,1041
N92000002,Northern Ireland,nation,2021-10-22,1093
N92000002,Northern Ireland,nation,2021-10-21,1190
N92000002,Northern Ireland,nation,2021-10-20,1438
N92000002,Northern Ireland,nation,2021-10-19,1473
N92000002,Northern Ireland,nation,2021-10-18,1463
N92000002,Northern Ireland,nation,2021-10-17,1043
N92000002,Northern Ireland,nation,2021-10-16,1023
N92000002,Northern Ireland,nation,2021-10-15,1138
N92000002,Northern Ireland,nation,2021-10-14,1285
N92000002,Northern Ireland,nation,2021-10-13,1324
N92000002,Northern Ireland,nation,2021-10-12,1440
N92000002,Northern Ireland,nation,2021-10-11,1463
N92000002,Northern Ireland,nation,2021-10-10,1157
N92000002,Northern Ireland,nation,2021-10-09,1023
N92000002,Northern Ireland,nation,2021-10-08,1242
N92000002,Northern Ireland,nation,2021-10-07,1305
N92000002,Northern Ireland,nation,2021-10-06,1284
N92000002,Northern Ireland,nation,2021-10-05,1327
N92000002,Northern Ireland,nation,2021-10-04,1380
N92000002,Northern Ireland,nation,2021-10-03,1022
N92000002,Northern Ireland,nation,2021-10-02,931
N92000002,Northern Ireland,nation,2021-10-01,971
N92000002,Northern Ireland,nation,2021-09-30,1011
N92000002,Northern Ireland,nation,2021-09-29,1199
N92000002,Northern Ireland,nation,2021-09-28,1138
N92000002,Northern Ireland,nation,2021-09-27,1381
N92000002,Northern Ireland,nation,2021-09-26,917
N92000002,Northern Ireland,nation,2021-09-25,863
N92000002,Northern Ireland,nation,2021-09-24,986
N92000002,Northern Ireland,nation,2021-09-23,1096
N92000002,Northern Ireland,nation,2021-09-22,1133
N92000002,Northern Ireland,nation,2021-09-21,1245
N92000002,Northern Ireland,nation,2021-09-20,1293
N92000002,Northern Ireland,nation,2021-09-19,944
N92000002,Northern Ireland,nation,2021-09-18,939
N92000002,Northern Ireland,nation,2021-09-17,1055
N92000002,Northern Ireland,nation,2021-09-16,1136
N92000002,Northern Ireland,nation,2021-09-15,1211
N92000002,Northern Ireland,nation,2021-09-14,1323
N92000002,Northern Ireland,nation,2021-09-13,1444
N92000002,Northern Ireland,nation,2021-09-12,918
N92000002,Northern Ireland,nation,2021-09-11,1046
N92000002,Northern Ireland,nation,2021-09-10,1445
N92000002,Northern Ireland,nation,2021-09-09,1669
N92000002,Northern Ireland,nation,2021-09-08,1588
N92000002,Northern Ireland,nation,2021-09-07,1721
N92000002,Northern Ireland,nation,2021-09-06,1787
N92000002,Northern Ireland,nation,2021-09-05,1281
N92000002,Northern Ireland,nation,2021-09-04,1250
N92000002,Northern Ireland,nation,2021-09-03,1433
N92000002,Northern Ireland,nation,2021-09-02,1441
N92000002,Northern Ireland,nation,2021-09-01,1536
N92000002,Northern Ireland,nation,2021-08-31,1641
N92000002,Northern Ireland,nation,2021-08-30,1464
N92000002,Northern Ireland,nation,2021-08-29,1092
N92000002,Northern Ireland,nation,2021-08-28,1230
N92000002,Northern Ireland,nation,2021-08-27,1487
N92000002,Northern Ireland,nation,2021-08-26,1680
N92000002,Northern Ireland,nation,2021-08-25,1761
N92000002,Northern Ireland,nation,2021-08-24,1722
N92000002,Northern Ireland,nation,2021-08-23,1812
N92000002,Northern Ireland,nation,2021-08-22,1321
N92000002,Northern Ireland,nation,2021-08-21,1528
N92000002,Northern Ireland,nation,2021-08-20,1626
N92000002,Northern Ireland,nation,2021-08-19,1867
N92000002,Northern Ireland,nation,2021-08-18,1828
N92000002,Northern Ireland,nation,2021-08-17,1762
N92000002,Northern Ireland,nation,2021-08-16,1711
N92000002,Northern Ireland,nation,2021-08-15,1354
N92000002,Northern Ireland,nation,2021-08-14,1261
N92000002,Northern Ireland,nation,2021-08-13,1339
N92000002,Northern Ireland,nation,2021-08-12,1405
N92000002,Northern Ireland,nation,2021-08-11,1494
N92000002,Northern Ireland,nation,2021-08-10,1473
