areaCode,areaName,areaType,date,newCasesBySpecimenDate
S92000003,Scotland,nation,2021-11-24,79
S92000003,Scotland,nation,2021-11-23,2723
S92000003,Scotland,nation,2021-11-22,3125
S92000003,Scotland,nation,2021-11-21,2169
S92000003,Scotland,nation,2021-11-20,2214
S92000003,Scotland,nation,2021-11-19,2779
S92000003,Scotland,nation,2021-11-18,2992
S92000003,Scotland,nation,2021-11-17,3313
S92000003,Scotland,nation,2021-11-16,3278
S92000003,Scotland,nation,2021-11-15,3642
S92000003,Scotland,nation,2021-11-14,2424
S92000003,Scotland,nation,2021-11-13,2319
S92000003,Scotland,nation,2021-11-12,2856
S92000003,Scotland,nation,2021-11-11,3212
S92000003,Scotland,nation,2021-11-10,3291
S92000003,Scotland,nation,2021-11-09,3454
S92000003,Scotland,nation,2021-11-08,3820
S92000003,Scotland,nation,2021-11-07,2303
S92000003,Scotland,nation,2021-11-06,2222
S92000003,Scotland,nation,2021-11-05,2781
S92000003,Scotland,nation,2021-11-04,2797
S92000003,Scotland,nation,2021-11-03,2983
S92000003,Scotland,nation,2021-11-02,3045
S92000003,Scotland,nation,2021-11-01,3304
S92000003,Scotland,nation,2021-10-31,2067
S92000003,Scotland,nation,2021-10-30,2029
S92000003,Scotland,nation,2021-10-29,2547
S92000003,Scotland,nation,2021-10-28,2497
S92000003,Scotland,nation,2021-10-27,2651
S92000003,Scotland,nation,2021-10-26,2916
S92000003,Scotland,nation,2021-10-25,3296
S92000003,Scotland,nation,2021-10-24,2319
S92000003,Scotland,nation,2021-10-23,2132
S92000003,Scotland,nation,2021-10-22,2444
S92000003,Scotland,nation,2021-10-21,2536
S92000003,Scotland,nation,2021-10-20,2840
S92000003,Scotland,nation,2021-10-19,2764
S92000003,Scotland,nation,2021-10-18,2949
S92000003,Scotland,nation,2021-10-17,2299
S92000003,Scotland,nation,2021-10-16,2148
S92000003,Scotland,nation,2021-10-15,2568
S92000003,Scotland,nation,2021-10-14,2673
S92000003,Scotland,nation,2021-10-13,2630
S92000003,Scotland,nation,2021-10-12,2619
