areaCode,areaName,areaType,date,newCasesBySpecimenDate
E12000008,South East,region,2021-11-24,1910
E12000008,South East,region,2021-11-23,7108
E12000008,South East,region,2021-11-22,8086
E12000008,South East,region,2021-11-21,6629
E12000008,South East,region,2021-11-20,5964
E12000008,South East,region,2021-11-19,6747
E12000008,South East,region,2021-11-18,7316
E12000008,South East,region,2021-11-17,7204
E12000008,South East,region,2021-11-16,7196
E12000008,South East,region,2021-11-15,8187
E12000008,South East,region,2021-11-14,5658
E12000008,South East,region,2021-11-13,5356
E12000008,South East,region,2021-11-12,5653
E12000008,South East,region,2021-11-11,6290
E12000008,South East,region,2021-11-10,6522
E12000008,South East,region,2021-11-09,6014
E12000008,South East,region,2021-11-08,6099
E12000008,South East,region,2021-11-07,4356
E12000008,South East,region,2021-11-06,3765
E12000008,South East,region,2021-11-05,4183
E12000008,South East,region,2021-11-04,4489
E12000008,South East,region,2021-11-03,4762
E12000008,South East,region,2021-11-02,5235
E12000008,South East,region,2021-11-01,6339
E12000008,South East,region,2021-10-31,5004
E12000008,South East,region,2021-10-30,4986
E12000008,South East,region,2021-10-29,6061
E12000008,South East,region,2021-10-28,5901
E12000008,South East,region,2021-10-27,6332
E12000008,South East,region,2021-10-26,6106
E12000008,South East,region,2021-10-25,6808
E12000008,South East,region,2021-10-24,5192
E12000008,South East,region,2021-10-23,5539
E12000008,South East,region,2021-10-22,6459
E12000008,South East,region,2021-10-21,7063
E12000008,South East,region,2021-10-20,7566
E12000008,South East,region,2021-10-19,8003
E12000008,South East,region,2021-10-18,8472
E12000008,South East,region,2021-10-17,6419
E12000008,South East,region,2021-10-16,5570
E12000008,South East,region,2021-10-15,6321
E12000008,South East,region,2021-10-14,6284
E12000008,South East,region,2021-10-13,6369
E12000008,South East,region,2021-10-12,6424
E12000008,South East,region,2021-10-11,6701
E12000008,South East,region,2021-10-10,5055
E12000008,South East,region,2021-10-09,4449
E12000008,South East,region,2021-10-08,4736
E12000008,South East,region,2021-10-07,4715
E12000008,South East,region,2021-10-06,4822
E12000008,South East,region,2021-10-05,4836
E12000008,South East,region,2021-10-04,5565
E12000008,South East,region,2021-10-03,4209
E12000008,South East,region,2021-10-02,3448
E12000008,South East,region,2021-10-01,3485
E12000008,South East,region,2021-09-30,3740
E12000008,South East,region,2021-09-29,4143
E12000008,South East,region,2021-09-28,4102
E12000008,South East,region,2021-09-27,5371
E12000008,South East,region,2021-09-26,4327
E12000008,South East,region,2021-09-25,3294
E12000008,South East,region,2021-09-24,3448
E12000008,South East,region,2021-09-23,3696
E12000008,South East,region,2021-09-22,3965
E12000008,South East,region,2021-09-21,4380
E12000008,South East,region,2021-09-20,4509
E12000008,South East,region,2021-09-19,3454
E12000008,South East,region,2021-09-18,2837
E12000008,South East,region,2021-09-17,3051
E12000008,South East,region,2021-09-16,2791
E12000008,South East,region,2021-09-15,3120
E12000008,South East,region,2021-09-14,3128
E12000008,South East,region,2021-09-13,3296
E12000008,South East,region,2021-09-12,2434
E12000008,South East,region,2021-09-11,2241
E12000008,South East,region,2021-09-10,2820
E12000008,South East,region,2021-09-09,3138
E12000008,South East,region,2021-09-08,3303
E12000008,South East,region,2021-09-07,3677
E12000008,South East,region,2021-09-06,4424
E12000008,South East,region,2021-09-05,3294
E12000008,South East,region,2021-09-04,3405
E12000008,South East,region,2021-09-03,4161
E12000008,South East,region,2021-09-02,4646
E12000008,South East,region,2021-09-01,5003
E12000008,South East,region,2021-08-31,5288
E12000008,South East,region,2021-08-30,3655
E12000008,South East,region,2021-08-29,2742
E12000008,South East,region,2021-08-28,2985
E12000008,South East,region,2021-08-27,3474
E12000008,South East,region,2021-08-26,3637
E12000008,South East,region,2021-08-25,4007
E12000008,South East,region,2021-08-24,4081
E12000008,South East,region,2021-08-23,4507
E12000008,South East,region,2021-08-22,3288
E12000008,South East,region,2021-08-21,3401
E12000008,South East,region,2021-08-20,3986
E12000008,South East,region,2021-08-19,4412
E12000008,South East,region,2021-08-18,4925
E12000008,South East,region,2021-08-17,5079
E12000008,South East,region,2021-08-16,4648
E12000008,South East,region,2021-08-15,3069
E12000008,South East,region,2021-08-14,3300
E12000008,South East,region,2021-08-13,3805
E12000008,South East,region,2021-08-12,4021
E12000008,South East,region,2021-08-11,4449
E12000008,South East,region,2021-08-10,4003
E12000008,South East,region,2021-08-09,3843
