areaCode,areaName,areaType,date,newCasesBySpecimenDate
E12000009,South West,region,2022-05-31,422
E12000009,South West,region,2022-05-30,592
E12000009,South West,region,2022-05-29,508
E12000009,South West,region,2022-05-28,431
E12000009,South West,region,2022-05-27,457
E12000009,South West,region,2022-05-26,492
E12000009,South West,region,2022-05-25,498
E12000009,South West,region,2022-05-24,536
E12000009,South West,region,2022-05-23,639
E12000009,South West,region,2022-05-22,551
E12000009,South West,region,2022-05-21,429
E12000009,South West,region,2022-05-20,507
E12000009,South West,region,2022-05-19,557
E12000009,South West,region,2022-05-18,633
E12000009,South West,region,2022-05-17,622
E12000009,South West,region,2022-05-16,815
E12000009,South West,region,2022-05-15,653
E12000009,South West,region,2022-05-14,484
E12000009,South West,region,2022-05-13,583
E12000009,South West,region,2022-05-12,642
E12000009,South West,region,2022-05-11,723
E12000009,South West,region,2022-05-10,743
E12000009,South West,region,2022-05-09,919
E12000009,South West,region,2022-05-08,780
E12000009,South West,region,2022-05-07,685
E12000009,South West,region,2022-05-06,764
E12000009,South West,region,2022-05-05,981
E12000009,South West,region,2022-05-04,1036
E12000009,South West,region,2022-05-03,1117
E12000009,South West,region,2022-05-02,1144
E12000009,South West,region,2022-05-01,868
E12000009,South West,region,2022-04-30,730
E12000009,South West,region,2022-04-29,858
E12000009,South West,region,2022-04-28,968
E12000009,South West,region,2022-04-27,1051
E12000009,South West,region,2022-04-26,1243
E12000009,South West,region,2022-04-25,1470
E12000009,South West,region,2022-04-24,1356
E12000009,South West,region,2022-04-23,1237
E12000009,South West,region,2022-04-22,1457
E12000009,South West,region,2022-04-21,1588
E12000009,South West,region,2022-04-20,2007
E12000009,South West,region,2022-04-19,2238
E12000009,South West,region,2022-04-18,2454
E12000009,South West,region,2022-04-17,1869
E12000009,South West,region,2022-04-16,1887
E12000009,South West,region,2022-04-15,2066
E12000009,South West,region,2022-04-14,2584
E12000009,South West,region,2022-04-13,3037
E12000009,South West,region,2022-04-12,3193
E12000009,South West,region,2022-04-11,3746
E12000009,South West,region,2022-04-10,3094
E12000009,South West,region,2022-04-09,2696
E12000009,South West,region,2022-04-08,3340
E12000009,South West,region,2022-04-07,3848
E12000009,South West,region,2022-04-06,4559
E12000009,South West,region,2022-04-05,4826
E12000009,South West,region,2022-04-04,5651
E12000009,South West,region,2022-04-03,4418
E12000009,South West,region,2022-04-02,3984
E12000009,South West,region,2022-04-01,4934
E12000009,South West,region,2022-03-31,5835
E12000009,South West,region,2022-03-30,7779
E12000009,South West,region,2022-03-29,8648
E12000009,South West,region,2022-03-28,10266
E12000009,South West,region,2022-03-27,7589
E12000009,South West,region,2022-03-26,7259
E12000009,South West,region,2022-03-25,8118
E12000009,South West,region,2022-03-24,9378
E12000009,South West,region,2022-03-23,10938
E12000009,South West,region,2022-03-22,11972
E12000009,South West,region,2022-03-21,12970
E12000009,South West,region,2022-03-20,10382
E12000009,South West,region,2022-03-19,8291
E12000009,South West,region,2022-03-18,9474
E12000009,South West,region,2022-03-17,9963
E12000009,South West,region,2022-03-16,11143
E12000009,South West,region,2022-03-15,11166
E12000009,South West,region,2022-03-14,12053
E12000009,South West,region,2022-03-13,9175
E12000009,South West,region,2022-03-12,7035
E12000009,South West,region,2022-03-11,7543
E12000009,South West,region,2022-03-10,7691
E12000009,South West,region,2022-03-09,7850
E12000009,South West,region,2022-03-08,7289
E12000009,South West,region,2022-03-07,6976
E12000009,South West,region,2022-03-06,4966
E12000009,South West,region,2022-03-05,3962
E12000009,South West,region,2022-03-04,4006
E12000009,South West,region,2022-03-03,4182
E12000009,South West,region,2022-03-02,4457
E12000009,South West,region,2022-03-01,4201
E12000009,South West,region,2022-02-28,4400
E12000009,South West,region,2022-02-27,3109
E12000009,South West,region,2022-02-26,2502
E12000009,South West,region,2022-02-25,2585
E12000009,South West,region,2022-02-24,2968
E12000009,South West,region,2022-02-23,3419
E12000009,South West,region,2022-02-22,3696
E12000009,South West,region,2022-02-21,4163
E12000009,South West,region,2022-02-20,3609
E12000009,South West,region,2022-02-19,3478
E12000009,South West,region,2022-02-18,2976
E12000009,South West,region,2022-02-17,4636
E12000009,South West,region,2022-02-16,5386
E12000009,South West,region,2022-02-15,5874
E12000009,South West,region,2022-02-14,6071
E12000009,South West,region,2022-02-13,4749
E12000009,South West,region,2022-02-12,4101
E12000009,South West,region,2022-02-11,4620
E12000009,South West,region,2022-02-10,5454
E12000009,South West,region,2022-02-09,6919
E12000009,South West,region,2022-02-08,7408
E12000009,South West,region,2022-02-07,8357
E12000009,South West,region,2022-02-06,6587
E12000009,South West,region,2022-02-05,5521
E12000009,South West,region,2022-02-04,6668
E12000009,South West,region,2022-02-03,7944
E12000009,South West,region,2022-02-02,8980
E12000009,South West,region,2022-02-01,9608
E12000009,South West,region,2022-01-31,10773
E12000009,South West,region,2022-01-30,8757
E12000009,South West,region,2022-01-29,7471
E12000009,South West,region,2022-01-28,8135
E12000009,South West,region,2022-01-27,9121
E12000009,South West,region,2022-01-26,10196
E12000009,South West,region,2022-01-25,10531
E12000009,South West,region,2022-01-24,11435
E12000009,South West,region,2022-01-23,9155
E12000009,South West,region,2022-01-22,7126
E12000009,South West,region,2022-01-21,7810
E12000009,South West,region,2022-01-20,8267
E12000009,South West,region,2022-01-19,8922
E12000009,South West,region,2022-01-18,9182
E12000009,South West,region,2022-01-17,10066
E12000009,South West,region,2022-01-16,7445
E12000009,South West,region,2022-01-15,5769
E12000009,South West,region,2022-01-14,6366
E12000009,South West,region,2022-01-13,6595
E12000009,South West,region,2022-01-12,7141
E12000009,South West,region,2022-01-11,7952
E12000009,South West,region,2022-01-10,8956
E12000009,South West,region,2022-01-09,6413
E12000009,South West,region,2022-01-08,6130
E12000009,South West,region,2022-01-07,7592
E12000009,South West,region,2022-01-06,11010
E12000009,South West,region,2022-01-05,12429
E12000009,South West,region,2022-01-04,17082
E12000009,South West,region,2022-01-03,14074
E12000009,South West,region,2022-01-02,11613
E12000009,South West,region,2022-01-01,7386
E12000009,South West,region,2021-12-31,11791
E12000009,South West,region,2021-12-30,13957
E12000009,South West,region,2021-12-29,14465
E12000009,South West,region,2021-12-28,11542
E12000009,South West,region,2021-12-27,10202
E12000009,South West,region,2021-12-26,7705
E12000009,South West,region,2021-12-25,4353
E12000009,South West,region,2021-12-24,8247
E12000009,South West,region,2021-12-23,9288
E12000009,South West,region,2021-12-22,9294
E12000009,South West,region,2021-12-21,8183
E12000009,South West,region,2021-12-20,7495
E12000009,South West,region,2021-12-19,5252
E12000009,South West,region,2021-12-18,5100
E12000009,South West,region,2021-12-17,5519
E12000009,South West,region,2021-12-16,6113
E12000009,South West,region,2021-12-15,6910
E12000009,South West,region,2021-12-14,6173
E12000009,South West,region,2021-12-13,5772
E12000009,South West,region,2021-12-12,3741
E12000009,South West,region,2021-12-11,3612
E12000009,South West,region,2021-12-10,4149
E12000009,South West,region,2021-12-09,4669
E12000009,South West,region,2021-12-08,4837
E12000009,South West,region,2021-12-07,4933
E12000009,South West,region,2021-12-06,5556
E12000009,South West,region,2021-12-05,3858
E12000009,South West,region,2021-12-04,3823
E12000009,South West,region,2021-12-03,4362
E12000009,South West,region,2021-12-02,4900
E12000009,South West,region,2021-12-01,5321
E12000009,South West,region,2021-11-30,5507
E12000009,South West,region,2021-11-29,5801
E12000009,South West,region,2021-11-28,4134
E12000009,South West,region,2021-11-27,3346
E12000009,South West,region,2021-11-26,4075
E12000009,South West,region,2021-11-25,4290
E12000009,South West,region,2021-11-24,4554
E12000009,South West,region,2021-11-23,4817
E12000009,South West,region,2021-11-22,5035
E12000009,South West,region,2021-11-21,3829
E12000009,South West,region,2021-11-20,3624
E12000009,South West,region,2021-11-19,3886
E12000009,South West,region,2021-11-18,4422
E12000009,South West,region,2021-11-17,4644
E12000009,South West,region,2021-11-16,4887
E12000009,South West,region,2021-11-15,5226
E12000009,South West,region,2021-11-14,3661
E12000009,South West,region,2021-11-13,3454
E12000009,South West,region,2021-11-12,3931
E12000009,South West,region,2021-11-11,4134
E12000009,South West,region,2021-11-10,4424
E12000009,South West,region,2021-11-09,4297
E12000009,South West,region,2021-11-08,4594
E12000009,South West,region,2021-11-07,3193
E12000009,South West,region,2021-11-06,2732
E12000009,South West,region,2021-11-05,3037
E12000009,South West,region,2021-11-04,3341
E12000009,South West,region,2021-11-03,3489
E12000009,South West,region,2021-11-02,3829
E12000009,South West,region,2021-11-01,4567
E12000009,South West,region,2021-10-31,3809
E12000009,South West,region,2021-10-30,3546
E12000009,South West,region,2021-10-29,4306
E12000009,South West,region,2021-10-28,4704
E12000009,South West,region,2021-10-27,4701
E12000009,South West,region,2021-10-26,4877
E12000009,South West,region,2021-10-25,5351
E12000009,South West,region,2021-10-24,4083
E12000009,South West,region,2021-10-23,4160
