areaCode,areaName,areaType,date,newCasesBySpecimenDate
E12000005,West Midlands,region,2022-06-05,435
E12000005,West Midlands,region,2022-06-04,482
E12000005,West Midlands,region,2022-06-03,430
E12000005,West Midlands,region,2022-06-02,389
E12000005,West Midlands,region,2022-06-01,461
E12000005,West Midlands,region,2022-05-31,430
E12000005,West Midlands,region,2022-05-30,477
E12000005,West Midlands,region,2022-05-29,352
E12000005,West Midlands,region,2022-05-28,308
E12000005,West Midlands,region,2022-05-27,377
E12000005,West Midlands,region,2022-05-26,389
E12000005,West Midlands,region,2022-05-25,441
E12000005,West Midlands,region,2022-05-24,483
E12000005,West Midlands,region,2022-05-23,542
E12000005,West Midlands,region,2022-05-22,446
E12000005,West Midlands,region,2022-05-21,378
E12000005,West Midlands,region,2022-05-20,461
E12000005,West Midlands,region,2022-05-19,545
E12000005,West Midlands,region,2022-05-18,597
E12000005,West Midlands,region,2022-05-17,628
E12000005,West Midlands,region,2022-05-16,750
E12000005,West Midlands,region,2022-05-15,622
E12000005,West Midlands,region,2022-05-14,490
E12000005,West Midlands,region,2022-05-13,518
E12000005,West Midlands,region,2022-05-12,559
E12000005,West Midlands,region,2022-05-11,658
E12000005,West Midlands,region,2022-05-10,721
E12000005,West Midlands,region,2022-05-09,836
E12000005,West Midlands,region,2022-05-08,676
E12000005,West Midlands,region,2022-05-07,545
E12000005,West Midlands,region,2022-05-06,675
E12000005,West Midlands,region,2022-05-05,740
E12000005,West Midlands,region,2022-05-04,852
E12000005,West Midlands,region,2022-05-03,974
E12000005,West Midlands,region,2022-05-02,928
E12000005,West Midlands,region,2022-05-01,689
E12000005,West Midlands,region,2022-04-30,593
E12000005,West Midlands,region,2022-04-29,699
E12000005,West Midlands,region,2022-04-28,866
E12000005,West Midlands,region,2022-04-27,943
E12000005,West Midlands,region,2022-04-26,1126
E12000005,West Midlands,region,2022-04-25,1273
E12000005,West Midlands,region,2022-04-24,1218
E12000005,West Midlands,region,2022-04-23,1016
E12000005,West Midlands,region,2022-04-22,1245
E12000005,West Midlands,region,2022-04-21,1367
E12000005,West Midlands,region,2022-04-20,1627
E12000005,West Midlands,region,2022-04-19,1963
E12000005,West Midlands,region,2022-04-18,2015
E12000005,West Midlands,region,2022-04-17,1675
E12000005,West Midlands,region,2022-04-16,1682
E12000005,West Midlands,region,2022-04-15,1806
E12000005,West Midlands,region,2022-04-14,2229
E12000005,West Midlands,region,2022-04-13,2650
E12000005,West Midlands,region,2022-04-12,2806
E12000005,West Midlands,region,2022-04-11,3079
E12000005,West Midlands,region,2022-04-10,2667
E12000005,West Midlands,region,2022-04-09,2315
E12000005,West Midlands,region,2022-04-08,2763
E12000005,West Midlands,region,2022-04-07,3203
E12000005,West Midlands,region,2022-04-06,3850
E12000005,West Midlands,region,2022-04-05,4208
E12000005,West Midlands,region,2022-04-04,4750
E12000005,West Midlands,region,2022-04-03,3805
E12000005,West Midlands,region,2022-04-02,3271
E12000005,West Midlands,region,2022-04-01,3979
E12000005,West Midlands,region,2022-03-31,4428
E12000005,West Midlands,region,2022-03-30,6161
E12000005,West Midlands,region,2022-03-29,6787
E12000005,West Midlands,region,2022-03-28,7617
E12000005,West Midlands,region,2022-03-27,5814
E12000005,West Midlands,region,2022-03-26,4992
E12000005,West Midlands,region,2022-03-25,5684
E12000005,West Midlands,region,2022-03-24,6397
E12000005,West Midlands,region,2022-03-23,7222
E12000005,West Midlands,region,2022-03-22,7540
E12000005,West Midlands,region,2022-03-21,8026
E12000005,West Midlands,region,2022-03-20,5856
E12000005,West Midlands,region,2022-03-19,4953
E12000005,West Midlands,region,2022-03-18,5199
E12000005,West Midlands,region,2022-03-17,5847
E12000005,West Midlands,region,2022-03-16,6058
E12000005,West Midlands,region,2022-03-15,6103
E12000005,West Midlands,region,2022-03-14,6362
E12000005,West Midlands,region,2022-03-13,4862
