areaCode,areaName,areaType,date,newCasesBySpecimenDate
E12000005,West Midlands,region,2021-10-22,638
E12000005,West Midlands,region,2021-10-21,3316
E12000005,West Midlands,region,2021-10-20,4297
E12000005,West Midlands,region,2021-10-19,4505
E12000005,West Midlands,region,2021-10-18,4952
E12000005,West Midlands,region,2021-10-17,3792
E12000005,West Midlands,region,2021-10-16,3176
E12000005,West Midlands,region,2021-10-15,3624
E12000005,West Midlands,region,2021-10-14,4198
E12000005,West Midlands,region,2021-10-13,4114
E12000005,West Midlands,region,2021-10-12,4268
E12000005,West Midlands,region,2021-10-11,4523
E12000005,West Midlands,region,2021-10-10,3456
E12000005,West Midlands,region,2021-10-09,2910
E12000005,West Midlands,region,2021-10-08,3413
E12000005,West Midlands,region,2021-10-07,3937
E12000005,West Midlands,region,2021-10-06,3980
E12000005,West Midlands,region,2021-10-05,3868
E12000005,West Midlands,region,2021-10-04,4035
E12000005,West Midlands,region,2021-10-03,3380
E12000005,West Midlands,region,2021-10-02,2727
E12000005,West Midlands,region,2021-10-01,2937
E12000005,West Midlands,region,2021-09-30,3470
E12000005,West Midlands,region,2021-09-29,3462
E12000005,West Midlands,region,2021-09-28,3553
E12000005,West Midlands,region,2021-09-27,4152
E12000005,West Midlands,region,2021-09-26,3329
E12000005,West Midlands,region,2021-09-25,2962
E12000005,West Midlands,region,2021-09-24,3281
E12000005,West Midlands,region,2021-09-23,3685
E12000005,West Midlands,region,2021-09-22,3674
E12000005,West Midlands,region,2021-09-21,3824
E12000005,West Midlands,region,2021-09-20,4099
E12000005,West Midlands,region,2021-09-19,3157
E12000005,West Midlands,region,2021-09-18,2575
E12000005,West Midlands,region,2021-09-17,2763
E12000005,West Midlands,region,2021-09-16,2807
E12000005,West Midlands,region,2021-09-15,2718
E12000005,West Midlands,region,2021-09-14,2826
E12000005,West Midlands,region,2021-09-13,3003
E12000005,West Midlands,region,2021-09-12,2046
E12000005,West Midlands,region,2021-09-11,2036
E12000005,West Midlands,region,2021-09-10,2546
E12000005,West Midlands,region,2021-09-09,2901
E12000005,West Midlands,region,2021-09-08,2936
E12000005,West Midlands,region,2021-09-07,3279
E12000005,West Midlands,region,2021-09-06,3623
E12000005,West Midlands,region,2021-09-05,2585
E12000005,West Midlands,region,2021-09-04,2605
E12000005,West Midlands,region,2021-09-03,3090
E12000005,West Midlands,region,2021-09-02,3111
E12000005,West Midlands,region,2021-09-01,3263
E12000005,West Midlands,region,2021-08-31,3503
E12000005,West Midlands,region,2021-08-30,2723
E12000005,West Midlands,region,2021-08-29,2136
