areaType,areaName,areaCode,date,newLFDTests,cumLFDTests
nation,England,E92000001,2021-07-20,480448,119763297
nation,England,E92000001,2021-07-19,790451,119282849
nation,England,E92000001,2021-07-18,815376,118492398
nation,England,E92000001,2021-07-17,417775,117677022
nation,England,E92000001,2021-07-16,581442,117259247
nation,England,E92000001,2021-07-15,781906,116677805
nation,England,E92000001,2021-07-14,878581,115895899
nation,England,E92000001,2021-07-13,575940,115017318
nation,England,E92000001,2021-07-12,830321,114441378
nation,England,E92000001,2021-07-11,866342,113611057
nation,England,E92000001,2021-07-10,402692,112744715
nation,England,E92000001,2021-07-09,543809,112342023
nation,England,E92000001,2021-07-08,760478,111798214
nation,England,E92000001,2021-07-07,903954,111037736
nation,England,E92000001,2021-07-06,617106,110133782
nation,England,E92000001,2021-07-05,910804,109516676
nation,England,E92000001,2021-07-04,1014715,108605872
nation,England,E92000001,2021-07-03,357488,107591157
nation,England,E92000001,2021-07-02,517260,107233669
nation,England,E92000001,2021-07-01,774899,106716409
nation,England,E92000001,2021-06-30,929982,105941510
nation,England,E92000001,2021-06-29,552991,105011528
nation,England,E92000001,2021-06-28,901344,104458537
nation,England,E92000001,2021-06-27,1032212,103557193
nation,England,E92000001,2021-06-26,317972,102524981
nation,England,E92000001,2021-06-25,499490,102207009
nation,England,E92000001,2021-06-24,751386,101707519
nation,England,E92000001,2021-06-23,888948,100956133
nation,England,E92000001,2021-06-22,511830,100067185
nation,England,E92000001,2021-06-21,840638,99555355
nation,England,E92000001,2021-06-20,1008960,98714717
nation,England,E92000001,2021-06-19,297876,97705757
nation,England,E92000001,2021-06-18,469035,97407881
nation,England,E92000001,2021-06-17,740701,96938846
nation,England,E92000001,2021-06-16,859463,96198145
nation,England,E92000001,2021-06-15,489556,95338682
nation,England,E92000001,2021-06-14,830418,94849126
nation,England,E92000001,2021-06-13,947862,94018708
nation,England,E92000001,2021-06-12,277975,93070846
nation,England,E92000001,2021-06-11,450644,92792871
nation,England,E92000001,2021-06-10,686004,92342227
nation,England,E92000001,2021-06-09,850895,91656223
nation,England,E92000001,2021-06-08,445122,90805328
nation,England,E92000001,2021-06-07,798619,90360206
nation,England,E92000001,2021-06-06,1146620,89561587
nation,England,E92000001,2021-06-05,265133,88414967
nation,England,E92000001,2021-06-04,405113,88149834
nation,England,E92000001,2021-06-03,547682,87744721
nation,England,E92000001,2021-06-02,617332,87197039
nation,England,E92000001,2021-06-01,493012,86579707
nation,England,E92000001,2021-05-31,519668,86086695
nation,England,E92000001,2021-05-30,511745,85567027
nation,England,E92000001,2021-05-29,251502,85055282
nation,England,E92000001,2021-05-28,413356,84803780
nation,England,E92000001,2021-05-27,685387,84390424
nation,England,E92000001,2021-05-26,904802,83705037
