areaType,areaName,areaCode,date,uniqueCasePositivityBySpecimenDateRollingSum,uniquePeopleTestedBySpecimenDateRollingSum
nation,England,E92000001,2021-07-16,11.199999999999999289,2541166
nation,England,E92000001,2021-07-15,10.5,2531682
nation,England,E92000001,2021-07-14,9.6999999999999992895,2482426
nation,England,E92000001,2021-07-13,9.1999999999999992895,2460875
nation,England,E92000001,2021-07-12,8.6999999999999992895,2470792
nation,England,E92000001,2021-07-11,8.1999999999999992895,2503670
nation,England,E92000001,2021-07-10,8,2508508
nation,England,E92000001,2021-07-09,7.7999999999999998224,2508143
nation,England,E92000001,2021-07-08,7.5999999999999996447,2488121
nation,England,E92000001,2021-07-07,7.2999999999999998224,2486871
nation,England,E92000001,2021-07-06,7,2455223
nation,England,E92000001,2021-07-05,6.7000000000000001776,2419916
nation,England,E92000001,2021-07-04,6.4000000000000003553,2418184
nation,England,E92000001,2021-07-03,6.2999999999999998224,2394058
nation,England,E92000001,2021-07-02,6.0999999999999996447,2347668
nation,England,E92000001,2021-07-01,5.9000000000000003553,2297366
nation,England,E92000001,2021-06-30,5.5999999999999996447,2238740
nation,England,E92000001,2021-06-29,5.2999999999999998224,2185669
nation,England,E92000001,2021-06-28,5,2140782
nation,England,E92000001,2021-06-27,4.5,2117565
nation,England,E92000001,2021-06-26,4.2999999999999998224,2100166
nation,England,E92000001,2021-06-25,4,2073634
nation,England,E92000001,2021-06-24,3.7999999999999998224,2042555
nation,England,E92000001,2021-06-23,3.6000000000000000888,2023648
nation,England,E92000001,2021-06-22,3.3999999999999999112,1993325
nation,England,E92000001,2021-06-21,3.2000000000000001776,1967832
nation,England,E92000001,2021-06-20,3,1959636
nation,England,E92000001,2021-06-19,3,1936807
nation,England,E92000001,2021-06-18,2.8999999999999999112,1911956
nation,England,E92000001,2021-06-17,2.7999999999999998224,1866456
nation,England,E92000001,2021-06-16,2.7999999999999998224,1826207
nation,England,E92000001,2021-06-15,2.7000000000000001776,1790983
nation,England,E92000001,2021-06-14,2.5,1767509
nation,England,E92000001,2021-06-13,2.3999999999999999112,1771187
nation,England,E92000001,2021-06-12,2.2999999999999998224,1776679
nation,England,E92000001,2021-06-11,2.2999999999999998224,1769393
nation,England,E92000001,2021-06-10,2.2000000000000001776,1748792
nation,England,E92000001,2021-06-09,2.1000000000000000888,1731589
nation,England,E92000001,2021-06-08,2.1000000000000000888,1710789
nation,England,E92000001,2021-06-07,2,1694799
nation,England,E92000001,2021-06-06,1.8000000000000000444,1608023
nation,England,E92000001,2021-06-05,1.8000000000000000444,1580535
nation,England,E92000001,2021-06-04,1.6999999999999999556,1555526
nation,England,E92000001,2021-06-03,1.6000000000000000888,1529046
nation,England,E92000001,2021-06-02,1.5,1546219
nation,England,E92000001,2021-06-01,1.3000000000000000444,1557578
nation,England,E92000001,2021-05-31,1.1999999999999999556,1552224
nation,England,E92000001,2021-05-30,1.1000000000000000888,1691216
nation,England,E92000001,2021-05-29,1,1700197
nation,England,E92000001,2021-05-28,1,1698782
nation,England,E92000001,2021-05-27,0.9000000000000000222,1679919
nation,England,E92000001,2021-05-26,0.9000000000000000222,1639790
nation,England,E92000001,2021-05-25,0.9000000000000000222,1592719
nation,England,E92000001,2021-05-24,0.9000000000000000222,1560509
nation,England,E92000001,2021-05-23,0.80000000000000004441,1563061
nation,England,E92000001,2021-05-22,0.80000000000000004441,1556475
nation,England,E92000001,2021-05-21,0.80000000000000004441,1543814
nation,England,E92000001,2021-05-20,0.80000000000000004441,1526474
nation,England,E92000001,2021-05-19,0.80000000000000004441,1504059
nation,England,E92000001,2021-05-18,0.80000000000000004441,1483881
nation,England,E92000001,2021-05-17,0.80000000000000004441,1471727
nation,England,E92000001,2021-05-16,0.69999999999999995559,1480943
nation,England,E92000001,2021-05-15,0.69999999999999995559,1475537
nation,England,E92000001,2021-05-14,0.69999999999999995559,1457916
