areaCode,areaName,areaType,date,newCasesBySpecimenDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate,newCasesPCROnlyBySpecimenDate
E92000001,England,nation,2022-05-31,3538,4.0,3394.0,140
E92000001,England,nation,2022-05-30,5436,81.0,4707.0,648
E92000001,England,nation,2022-05-29,4597,82.0,3927.0,588
E92000001,England,nation,2022-05-28,4075,140.0,3256.0,679
E92000001,England,nation,2022-05-27,4420,149.0,3378.0,893
E92000001,England,nation,2022-05-26,4772,138.0,3765.0,869
E92000001,England,nation,2022-05-25,5139,139.0,4100.0,900
E92000001,England,nation,2022-05-24,5562,173.0,4398.0,991
E92000001,England,nation,2022-05-23,6222,160.0,4937.0,1125
E92000001,England,nation,2022-05-22,5136,135.0,4290.0,711
E92000001,England,nation,2022-05-21,4222,129.0,3252.0,841
E92000001,England,nation,2022-05-20,5020,140.0,3792.0,1088
E92000001,England,nation,2022-05-19,5758,144.0,4533.0,1081
E92000001,England,nation,2022-05-18,6374,185.0,4963.0,1226
E92000001,England,nation,2022-05-17,6807,187.0,5248.0,1372
E92000001,England,nation,2022-05-16,7851,192.0,6156.0,1503
E92000001,England,nation,2022-05-15,6696,163.0,5603.0,930
E92000001,England,nation,2022-05-14,5118,116.0,4026.0,976
E92000001,England,nation,2022-05-13,5738,175.0,4215.0,1348
E92000001,England,nation,2022-05-12,6354,160.0,4965.0,1229
E92000001,England,nation,2022-05-11,7234,209.0,5586.0,1439
E92000001,England,nation,2022-05-10,8117,192.0,6310.0,1615
E92000001,England,nation,2022-05-09,8852,212.0,6896.0,1744
E92000001,England,nation,2022-05-08,7644,185.0,6365.0,1094
E92000001,England,nation,2022-05-07,6353,171.0,4978.0,1204
E92000001,England,nation,2022-05-06,7486,169.0,5622.0,1695
E92000001,England,nation,2022-05-05,8561,199.0,6733.0,1629
E92000001,England,nation,2022-05-04,9768,231.0,7615.0,1922
E92000001,England,nation,2022-05-03,11125,267.0,8566.0,2292
E92000001,England,nation,2022-05-02,10323,249.0,8395.0,1679
E92000001,England,nation,2022-05-01,7709,175.0,6219.0,1315
E92000001,England,nation,2022-04-30,6866,169.0,5261.0,1436
E92000001,England,nation,2022-04-29,7974,210.0,5861.0,1903
E92000001,England,nation,2022-04-28,9036,218.0,6820.0,1998
E92000001,England,nation,2022-04-27,10110,242.0,7612.0,2256
E92000001,England,nation,2022-04-26,11288,281.0,8297.0,2710
E92000001,England,nation,2022-04-25,13402,321.0,10002.0,3079
