areaCode,areaName,areaType,date,newAdmissions
N92000002,Northern Ireland,nation,2021-11-24,29
N92000002,Northern Ireland,nation,2021-11-23,25
N92000002,Northern Ireland,nation,2021-11-22,29
N92000002,Northern Ireland,nation,2021-11-21,18
N92000002,Northern Ireland,nation,2021-11-20,29
N92000002,Northern Ireland,nation,2021-11-19,32
N92000002,Northern Ireland,nation,2021-11-18,32
N92000002,Northern Ireland,nation,2021-11-17,38
N92000002,Northern Ireland,nation,2021-11-16,31
N92000002,Northern Ireland,nation,2021-11-15,26
N92000002,Northern Ireland,nation,2021-11-14,23
N92000002,Northern Ireland,nation,2021-11-13,37
N92000002,Northern Ireland,nation,2021-11-12,31
N92000002,Northern Ireland,nation,2021-11-11,29
N92000002,Northern Ireland,nation,2021-11-10,33
N92000002,Northern Ireland,nation,2021-11-09,42
N92000002,Northern Ireland,nation,2021-11-08,34
N92000002,Northern Ireland,nation,2021-11-07,19
N92000002,Northern Ireland,nation,2021-11-06,27
N92000002,Northern Ireland,nation,2021-11-05,39
N92000002,Northern Ireland,nation,2021-11-04,32
N92000002,Northern Ireland,nation,2021-11-03,33
N92000002,Northern Ireland,nation,2021-11-02,41
N92000002,Northern Ireland,nation,2021-11-01,30
N92000002,Northern Ireland,nation,2021-10-31,26
N92000002,Northern Ireland,nation,2021-10-30,36
N92000002,Northern Ireland,nation,2021-10-29,34
N92000002,Northern Ireland,nation,2021-10-28,42
N92000002,Northern Ireland,nation,2021-10-27,36
N92000002,Northern Ireland,nation,2021-10-26,38
N92000002,Northern Ireland,nation,2021-10-25,40
N92000002,Northern Ireland,nation,2021-10-24,31
N92000002,Northern Ireland,nation,2021-10-23,31
N92000002,Northern Ireland,nation,2021-10-22,24
N92000002,Northern Ireland,nation,2021-10-21,36
N92000002,Northern Ireland,nation,2021-10-20,42
N92000002,Northern Ireland,nation,2021-10-19,46
N92000002,Northern Ireland,nation,2021-10-18,43
N92000002,Northern Ireland,nation,2021-10-17,40
N92000002,Northern Ireland,nation,2021-10-16,22
N92000002,Northern Ireland,nation,2021-10-15,29
N92000002,Northern Ireland,nation,2021-10-14,33
N92000002,Northern Ireland,nation,2021-10-13,39
N92000002,Northern Ireland,nation,2021-10-12,44
N92000002,Northern Ireland,nation,2021-10-11,37
N92000002,Northern Ireland,nation,2021-10-10,20
N92000002,Northern Ireland,nation,2021-10-09,33
N92000002,Northern Ireland,nation,2021-10-08,22
N92000002,Northern Ireland,nation,2021-10-07,32
N92000002,Northern Ireland,nation,2021-10-06,35
