areaCode,areaName,areaType,date,newAdmissions
S92000003,Scotland,nation,2022-05-29,54
S92000003,Scotland,nation,2022-05-28,40
S92000003,Scotland,nation,2022-05-27,55
S92000003,Scotland,nation,2022-05-26,41
S92000003,Scotland,nation,2022-05-25,67
S92000003,Scotland,nation,2022-05-24,75
S92000003,Scotland,nation,2022-05-23,61
S92000003,Scotland,nation,2022-05-22,45
S92000003,Scotland,nation,2022-05-21,42
S92000003,Scotland,nation,2022-05-20,57
S92000003,Scotland,nation,2022-05-19,52
S92000003,Scotland,nation,2022-05-18,53
S92000003,Scotland,nation,2022-05-17,65
S92000003,Scotland,nation,2022-05-16,74
S92000003,Scotland,nation,2022-05-15,38
S92000003,Scotland,nation,2022-05-14,44
S92000003,Scotland,nation,2022-05-13,57
S92000003,Scotland,nation,2022-05-12,69
S92000003,Scotland,nation,2022-05-11,77
S92000003,Scotland,nation,2022-05-10,103
S92000003,Scotland,nation,2022-05-09,93
S92000003,Scotland,nation,2022-05-08,56
S92000003,Scotland,nation,2022-05-07,61
S92000003,Scotland,nation,2022-05-06,67
S92000003,Scotland,nation,2022-05-05,63
S92000003,Scotland,nation,2022-05-04,88
S92000003,Scotland,nation,2022-05-03,93
S92000003,Scotland,nation,2022-05-02,82
S92000003,Scotland,nation,2022-05-01,69
S92000003,Scotland,nation,2022-04-30,80
S92000003,Scotland,nation,2022-04-29,92
S92000003,Scotland,nation,2022-04-28,95
S92000003,Scotland,nation,2022-04-27,105
S92000003,Scotland,nation,2022-04-26,105
S92000003,Scotland,nation,2022-04-25,102
S92000003,Scotland,nation,2022-04-24,68
S92000003,Scotland,nation,2022-04-23,75
S92000003,Scotland,nation,2022-04-22,134
S92000003,Scotland,nation,2022-04-21,118
S92000003,Scotland,nation,2022-04-20,148
S92000003,Scotland,nation,2022-04-19,143
S92000003,Scotland,nation,2022-04-18,118
S92000003,Scotland,nation,2022-04-17,99
S92000003,Scotland,nation,2022-04-16,115
S92000003,Scotland,nation,2022-04-15,154
S92000003,Scotland,nation,2022-04-14,161
S92000003,Scotland,nation,2022-04-13,161
S92000003,Scotland,nation,2022-04-12,172
S92000003,Scotland,nation,2022-04-11,152
S92000003,Scotland,nation,2022-04-10,143
S92000003,Scotland,nation,2022-04-09,134
S92000003,Scotland,nation,2022-04-08,183
S92000003,Scotland,nation,2022-04-07,196
S92000003,Scotland,nation,2022-04-06,168
S92000003,Scotland,nation,2022-04-05,203
S92000003,Scotland,nation,2022-04-04,222
S92000003,Scotland,nation,2022-04-03,147
S92000003,Scotland,nation,2022-04-02,171
S92000003,Scotland,nation,2022-04-01,203
S92000003,Scotland,nation,2022-03-31,235
S92000003,Scotland,nation,2022-03-30,252
S92000003,Scotland,nation,2022-03-29,266
S92000003,Scotland,nation,2022-03-28,208
S92000003,Scotland,nation,2022-03-27,140
S92000003,Scotland,nation,2022-03-26,178
S92000003,Scotland,nation,2022-03-25,236
S92000003,Scotland,nation,2022-03-24,249
S92000003,Scotland,nation,2022-03-23,267
S92000003,Scotland,nation,2022-03-22,247
S92000003,Scotland,nation,2022-03-21,240
S92000003,Scotland,nation,2022-03-20,190
S92000003,Scotland,nation,2022-03-19,176
S92000003,Scotland,nation,2022-03-18,260
S92000003,Scotland,nation,2022-03-17,262
S92000003,Scotland,nation,2022-03-16,250
S92000003,Scotland,nation,2022-03-15,266
S92000003,Scotland,nation,2022-03-14,265
S92000003,Scotland,nation,2022-03-13,177
S92000003,Scotland,nation,2022-03-12,197
S92000003,Scotland,nation,2022-03-11,235
S92000003,Scotland,nation,2022-03-10,229
S92000003,Scotland,nation,2022-03-09,236
S92000003,Scotland,nation,2022-03-08,237
S92000003,Scotland,nation,2022-03-07,195
S92000003,Scotland,nation,2022-03-06,144
S92000003,Scotland,nation,2022-03-05,140
S92000003,Scotland,nation,2022-03-04,231
S92000003,Scotland,nation,2022-03-03,175
S92000003,Scotland,nation,2022-03-02,199
S92000003,Scotland,nation,2022-03-01,194
S92000003,Scotland,nation,2022-02-28,201
S92000003,Scotland,nation,2022-02-27,112
S92000003,Scotland,nation,2022-02-26,132
S92000003,Scotland,nation,2022-02-25,205
S92000003,Scotland,nation,2022-02-24,170
S92000003,Scotland,nation,2022-02-23,183
S92000003,Scotland,nation,2022-02-22,152
S92000003,Scotland,nation,2022-02-21,151
S92000003,Scotland,nation,2022-02-20,105
S92000003,Scotland,nation,2022-02-19,115
S92000003,Scotland,nation,2022-02-18,149
S92000003,Scotland,nation,2022-02-17,149
S92000003,Scotland,nation,2022-02-16,180
S92000003,Scotland,nation,2022-02-15,154
S92000003,Scotland,nation,2022-02-14,153
S92000003,Scotland,nation,2022-02-13,112
S92000003,Scotland,nation,2022-02-12,95
S92000003,Scotland,nation,2022-02-11,127
S92000003,Scotland,nation,2022-02-10,111
S92000003,Scotland,nation,2022-02-09,132
S92000003,Scotland,nation,2022-02-08,142
S92000003,Scotland,nation,2022-02-07,130
S92000003,Scotland,nation,2022-02-06,73
S92000003,Scotland,nation,2022-02-05,104
S92000003,Scotland,nation,2022-02-04,151
S92000003,Scotland,nation,2022-02-03,125
S92000003,Scotland,nation,2022-02-02,128
S92000003,Scotland,nation,2022-02-01,153
S92000003,Scotland,nation,2022-01-31,153
S92000003,Scotland,nation,2022-01-30,88
S92000003,Scotland,nation,2022-01-29,86
S92000003,Scotland,nation,2022-01-28,121
S92000003,Scotland,nation,2022-01-27,117
S92000003,Scotland,nation,2022-01-26,125
S92000003,Scotland,nation,2022-01-25,142
S92000003,Scotland,nation,2022-01-24,143
S92000003,Scotland,nation,2022-01-23,105
S92000003,Scotland,nation,2022-01-22,106
S92000003,Scotland,nation,2022-01-21,148
S92000003,Scotland,nation,2022-01-20,135
S92000003,Scotland,nation,2022-01-19,140
S92000003,Scotland,nation,2022-01-18,148
S92000003,Scotland,nation,2022-01-17,153
S92000003,Scotland,nation,2022-01-16,106
S92000003,Scotland,nation,2022-01-15,103
S92000003,Scotland,nation,2022-01-14,162
S92000003,Scotland,nation,2022-01-13,171
S92000003,Scotland,nation,2022-01-12,162
S92000003,Scotland,nation,2022-01-11,201
S92000003,Scotland,nation,2022-01-10,184
S92000003,Scotland,nation,2022-01-09,161
S92000003,Scotland,nation,2022-01-08,156
S92000003,Scotland,nation,2022-01-07,190
S92000003,Scotland,nation,2022-01-06,186
S92000003,Scotland,nation,2022-01-05,169
S92000003,Scotland,nation,2022-01-04,200
S92000003,Scotland,nation,2022-01-03,169
S92000003,Scotland,nation,2022-01-02,157
S92000003,Scotland,nation,2022-01-01,138
S92000003,Scotland,nation,2021-12-31,215
S92000003,Scotland,nation,2021-12-30,186
S92000003,Scotland,nation,2021-12-29,187
S92000003,Scotland,nation,2021-12-28,162
S92000003,Scotland,nation,2021-12-27,154
S92000003,Scotland,nation,2021-12-26,116
S92000003,Scotland,nation,2021-12-25,81
S92000003,Scotland,nation,2021-12-24,116
S92000003,Scotland,nation,2021-12-23,101
S92000003,Scotland,nation,2021-12-22,114
S92000003,Scotland,nation,2021-12-21,100
S92000003,Scotland,nation,2021-12-20,125
S92000003,Scotland,nation,2021-12-19,54
S92000003,Scotland,nation,2021-12-18,63
S92000003,Scotland,nation,2021-12-17,77
S92000003,Scotland,nation,2021-12-16,92
S92000003,Scotland,nation,2021-12-15,92
S92000003,Scotland,nation,2021-12-14,82
S92000003,Scotland,nation,2021-12-13,93
S92000003,Scotland,nation,2021-12-12,48
S92000003,Scotland,nation,2021-12-11,49
S92000003,Scotland,nation,2021-12-10,75
S92000003,Scotland,nation,2021-12-09,99
S92000003,Scotland,nation,2021-12-08,80
S92000003,Scotland,nation,2021-12-07,96
S92000003,Scotland,nation,2021-12-06,92
S92000003,Scotland,nation,2021-12-05,63
S92000003,Scotland,nation,2021-12-04,63
S92000003,Scotland,nation,2021-12-03,55
S92000003,Scotland,nation,2021-12-02,63
S92000003,Scotland,nation,2021-12-01,77
S92000003,Scotland,nation,2021-11-30,79
S92000003,Scotland,nation,2021-11-29,91
S92000003,Scotland,nation,2021-11-28,56
S92000003,Scotland,nation,2021-11-27,63
S92000003,Scotland,nation,2021-11-26,68
S92000003,Scotland,nation,2021-11-25,75
S92000003,Scotland,nation,2021-11-24,93
S92000003,Scotland,nation,2021-11-23,71
S92000003,Scotland,nation,2021-11-22,89
S92000003,Scotland,nation,2021-11-21,55
S92000003,Scotland,nation,2021-11-20,54
S92000003,Scotland,nation,2021-11-19,72
S92000003,Scotland,nation,2021-11-18,85
S92000003,Scotland,nation,2021-11-17,80
S92000003,Scotland,nation,2021-11-16,109
S92000003,Scotland,nation,2021-11-15,88
S92000003,Scotland,nation,2021-11-14,74
