areaCode,areaName,areaType,date,newAdmissions
W92000004,Wales,nation,2022-05-31,9
W92000004,Wales,nation,2022-05-30,1
W92000004,Wales,nation,2022-05-29,7
W92000004,Wales,nation,2022-05-28,10
W92000004,Wales,nation,2022-05-27,5
W92000004,Wales,nation,2022-05-26,12
W92000004,Wales,nation,2022-05-25,11
W92000004,Wales,nation,2022-05-24,10
W92000004,Wales,nation,2022-05-23,6
W92000004,Wales,nation,2022-05-22,12
W92000004,Wales,nation,2022-05-21,8
W92000004,Wales,nation,2022-05-20,7
W92000004,Wales,nation,2022-05-19,10
W92000004,Wales,nation,2022-05-18,10
W92000004,Wales,nation,2022-05-17,12
W92000004,Wales,nation,2022-05-16,8
W92000004,Wales,nation,2022-05-15,14
W92000004,Wales,nation,2022-05-14,8
W92000004,Wales,nation,2022-05-13,13
W92000004,Wales,nation,2022-05-12,19
W92000004,Wales,nation,2022-05-11,16
W92000004,Wales,nation,2022-05-10,17
W92000004,Wales,nation,2022-05-09,8
W92000004,Wales,nation,2022-05-08,16
W92000004,Wales,nation,2022-05-07,19
W92000004,Wales,nation,2022-05-06,17
W92000004,Wales,nation,2022-05-05,18
W92000004,Wales,nation,2022-05-04,29
W92000004,Wales,nation,2022-05-03,16
W92000004,Wales,nation,2022-05-02,18
W92000004,Wales,nation,2022-05-01,19
W92000004,Wales,nation,2022-04-30,18
W92000004,Wales,nation,2022-04-29,23
W92000004,Wales,nation,2022-04-28,25
W92000004,Wales,nation,2022-04-27,18
W92000004,Wales,nation,2022-04-26,21
W92000004,Wales,nation,2022-04-25,18
W92000004,Wales,nation,2022-04-24,24
W92000004,Wales,nation,2022-04-23,27
W92000004,Wales,nation,2022-04-22,26
W92000004,Wales,nation,2022-04-21,26
W92000004,Wales,nation,2022-04-20,26
W92000004,Wales,nation,2022-04-19,18
W92000004,Wales,nation,2022-04-18,28
W92000004,Wales,nation,2022-04-17,25
W92000004,Wales,nation,2022-04-16,27
W92000004,Wales,nation,2022-04-15,49
W92000004,Wales,nation,2022-04-14,45
W92000004,Wales,nation,2022-04-13,33
W92000004,Wales,nation,2022-04-12,37
W92000004,Wales,nation,2022-04-11,21
W92000004,Wales,nation,2022-04-10,32
W92000004,Wales,nation,2022-04-09,45
W92000004,Wales,nation,2022-04-08,45
W92000004,Wales,nation,2022-04-07,34
W92000004,Wales,nation,2022-04-06,63
W92000004,Wales,nation,2022-04-05,42
W92000004,Wales,nation,2022-04-04,30
W92000004,Wales,nation,2022-04-03,25
W92000004,Wales,nation,2022-04-02,52
