areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
nation,Northern Ireland,N92000002,2021-07-20,1227,143433
nation,Northern Ireland,N92000002,2021-07-19,1667,142206
nation,Northern Ireland,N92000002,2021-07-18,1026,140539
nation,Northern Ireland,N92000002,2021-07-17,1189,139513
nation,Northern Ireland,N92000002,2021-07-16,1452,138324
nation,Northern Ireland,N92000002,2021-07-15,1355,136872
nation,Northern Ireland,N92000002,2021-07-14,1172,135517
nation,Northern Ireland,N92000002,2021-07-13,905,134345
nation,Northern Ireland,N92000002,2021-07-12,521,133440
nation,Northern Ireland,N92000002,2021-07-11,499,132919
nation,Northern Ireland,N92000002,2021-07-10,491,132420
nation,Northern Ireland,N92000002,2021-07-09,605,131929
nation,Northern Ireland,N92000002,2021-07-08,640,131324
nation,Northern Ireland,N92000002,2021-07-07,634,130684
nation,Northern Ireland,N92000002,2021-07-06,547,130050
nation,Northern Ireland,N92000002,2021-07-05,518,129503
nation,Northern Ireland,N92000002,2021-07-04,389,128985
nation,Northern Ireland,N92000002,2021-07-03,353,128596
nation,Northern Ireland,N92000002,2021-07-02,392,128243
nation,Northern Ireland,N92000002,2021-07-01,429,127851
nation,Northern Ireland,N92000002,2021-06-30,424,127422
nation,Northern Ireland,N92000002,2021-06-29,407,126998
nation,Northern Ireland,N92000002,2021-06-28,323,126591
nation,Northern Ireland,N92000002,2021-06-27,210,126268
nation,Northern Ireland,N92000002,2021-06-26,249,126058
nation,Northern Ireland,N92000002,2021-06-25,264,125809
nation,Northern Ireland,N92000002,2021-06-24,230,125545
nation,Northern Ireland,N92000002,2021-06-23,208,125315
nation,Northern Ireland,N92000002,2021-06-22,206,125107
nation,Northern Ireland,N92000002,2021-06-21,192,124901
nation,Northern Ireland,N92000002,2021-06-20,132,124709
nation,Northern Ireland,N92000002,2021-06-19,123,124577
nation,Northern Ireland,N92000002,2021-06-18,144,124454
nation,Northern Ireland,N92000002,2021-06-17,189,124310
nation,Northern Ireland,N92000002,2021-06-16,164,124121
nation,Northern Ireland,N92000002,2021-06-15,164,123957
nation,Northern Ireland,N92000002,2021-06-14,130,123793
nation,Northern Ireland,N92000002,2021-06-13,80,123663
nation,Northern Ireland,N92000002,2021-06-12,69,123583
nation,Northern Ireland,N92000002,2021-06-11,110,123514
nation,Northern Ireland,N92000002,2021-06-10,126,123404
nation,Northern Ireland,N92000002,2021-06-09,98,123278
nation,Northern Ireland,N92000002,2021-06-08,103,123180
nation,Northern Ireland,N92000002,2021-06-07,88,123077
nation,Northern Ireland,N92000002,2021-06-06,49,122989
nation,Northern Ireland,N92000002,2021-06-05,80,122940
nation,Northern Ireland,N92000002,2021-06-04,80,122860
nation,Northern Ireland,N92000002,2021-06-03,89,122780
nation,Northern Ireland,N92000002,2021-06-02,90,122691
nation,Northern Ireland,N92000002,2021-06-01,70,122601
nation,Northern Ireland,N92000002,2021-05-31,59,122531
nation,Northern Ireland,N92000002,2021-05-30,36,122472
nation,Northern Ireland,N92000002,2021-05-29,63,122436
nation,Northern Ireland,N92000002,2021-05-28,75,122373
nation,Northern Ireland,N92000002,2021-05-27,88,122298
nation,Northern Ireland,N92000002,2021-05-26,75,122210
nation,Northern Ireland,N92000002,2021-05-25,62,122135
nation,Northern Ireland,N92000002,2021-05-24,84,122073
nation,Northern Ireland,N92000002,2021-05-23,55,121989
nation,Northern Ireland,N92000002,2021-05-22,67,121934
nation,Northern Ireland,N92000002,2021-05-21,82,121867
nation,Northern Ireland,N92000002,2021-05-20,85,121785
nation,Northern Ireland,N92000002,2021-05-19,95,121700
nation,Northern Ireland,N92000002,2021-05-18,106,121605
nation,Northern Ireland,N92000002,2021-05-17,111,121499
nation,Northern Ireland,N92000002,2021-05-16,71,121388
nation,Northern Ireland,N92000002,2021-05-15,66,121317
nation,Northern Ireland,N92000002,2021-05-14,58,121251
nation,Northern Ireland,N92000002,2021-05-13,88,121193
nation,Northern Ireland,N92000002,2021-05-12,104,121105
nation,Northern Ireland,N92000002,2021-05-11,107,121001
nation,Northern Ireland,N92000002,2021-05-10,111,120894
nation,Northern Ireland,N92000002,2021-05-09,83,120783
nation,Northern Ireland,N92000002,2021-05-08,94,120700
nation,Northern Ireland,N92000002,2021-05-07,82,120606
nation,Northern Ireland,N92000002,2021-05-06,78,120524
nation,Northern Ireland,N92000002,2021-05-05,89,120446
nation,Northern Ireland,N92000002,2021-05-04,108,120357
nation,Northern Ireland,N92000002,2021-05-03,91,120249
nation,Northern Ireland,N92000002,2021-05-02,63,120158
nation,Northern Ireland,N92000002,2021-05-01,70,120095
nation,Northern Ireland,N92000002,2021-04-30,87,120025
nation,Northern Ireland,N92000002,2021-04-29,93,119938
nation,Northern Ireland,N92000002,2021-04-28,101,119845
nation,Northern Ireland,N92000002,2021-04-27,110,119744
nation,Northern Ireland,N92000002,2021-04-26,103,119634
nation,Northern Ireland,N92000002,2021-04-25,78,119531
nation,Northern Ireland,N92000002,2021-04-24,74,119453
nation,Northern Ireland,N92000002,2021-04-23,78,119379
nation,Northern Ireland,N92000002,2021-04-22,81,119301
nation,Northern Ireland,N92000002,2021-04-21,116,119220
nation,Northern Ireland,N92000002,2021-04-20,126,119104
nation,Northern Ireland,N92000002,2021-04-19,135,118978
nation,Northern Ireland,N92000002,2021-04-18,77,118843
nation,Northern Ireland,N92000002,2021-04-17,88,118766
nation,Northern Ireland,N92000002,2021-04-16,104,118678
nation,Northern Ireland,N92000002,2021-04-15,118,118574
nation,Northern Ireland,N92000002,2021-04-14,168,118456
nation,Northern Ireland,N92000002,2021-04-13,100,118288
nation,Northern Ireland,N92000002,2021-04-12,112,118188
nation,Northern Ireland,N92000002,2021-04-11,92,118076
nation,Northern Ireland,N92000002,2021-04-10,92,117984
nation,Northern Ireland,N92000002,2021-04-09,130,117892
nation,Northern Ireland,N92000002,2021-04-08,131,117762
nation,Northern Ireland,N92000002,2021-04-07,109,117631
nation,Northern Ireland,N92000002,2021-04-06,94,117522
nation,Northern Ireland,N92000002,2021-04-05,61,117428
nation,Northern Ireland,N92000002,2021-04-04,39,117367
nation,Northern Ireland,N92000002,2021-04-03,54,117328
nation,Northern Ireland,N92000002,2021-04-02,82,117274
nation,Northern Ireland,N92000002,2021-04-01,97,117192
nation,Northern Ireland,N92000002,2021-03-31,124,117095
nation,Northern Ireland,N92000002,2021-03-30,110,116971
nation,Northern Ireland,N92000002,2021-03-29,138,116861
nation,Northern Ireland,N92000002,2021-03-28,96,116723
nation,Northern Ireland,N92000002,2021-03-27,120,116627
nation,Northern Ireland,N92000002,2021-03-26,139,116507
nation,Northern Ireland,N92000002,2021-03-25,180,116368
nation,Northern Ireland,N92000002,2021-03-24,169,116188
nation,Northern Ireland,N92000002,2021-03-23,148,116019
nation,Northern Ireland,N92000002,2021-03-22,177,115871
nation,Northern Ireland,N92000002,2021-03-21,114,115694
nation,Northern Ireland,N92000002,2021-03-20,123,115580
nation,Northern Ireland,N92000002,2021-03-19,136,115457
nation,Northern Ireland,N92000002,2021-03-18,180,115321
nation,Northern Ireland,N92000002,2021-03-17,141,115141
nation,Northern Ireland,N92000002,2021-03-16,177,115000
nation,Northern Ireland,N92000002,2021-03-15,179,114823
nation,Northern Ireland,N92000002,2021-03-14,114,114644
nation,Northern Ireland,N92000002,2021-03-13,138,114530
nation,Northern Ireland,N92000002,2021-03-12,181,114392
nation,Northern Ireland,N92000002,2021-03-11,192,114211
nation,Northern Ireland,N92000002,2021-03-10,201,114019
nation,Northern Ireland,N92000002,2021-03-09,190,113818
nation,Northern Ireland,N92000002,2021-03-08,229,113628
nation,Northern Ireland,N92000002,2021-03-07,163,113399
nation,Northern Ireland,N92000002,2021-03-06,147,113236
nation,Northern Ireland,N92000002,2021-03-05,151,113089
nation,Northern Ireland,N92000002,2021-03-04,171,112938
nation,Northern Ireland,N92000002,2021-03-03,166,112767
nation,Northern Ireland,N92000002,2021-03-02,214,112601
nation,Northern Ireland,N92000002,2021-03-01,194,112387
nation,Northern Ireland,N92000002,2021-02-28,125,112193
nation,Northern Ireland,N92000002,2021-02-27,159,112068
nation,Northern Ireland,N92000002,2021-02-26,180,111909
