areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
nation,Scotland,S92000003,2021-07-20,326,334139
nation,Scotland,S92000003,2021-07-19,1869,333813
nation,Scotland,S92000003,2021-07-18,1402,331944
nation,Scotland,S92000003,2021-07-17,1416,330542
nation,Scotland,S92000003,2021-07-16,1769,329126
nation,Scotland,S92000003,2021-07-15,2010,327357
nation,Scotland,S92000003,2021-07-14,2238,325347
nation,Scotland,S92000003,2021-07-13,2477,323109
nation,Scotland,S92000003,2021-07-12,2611,320632
nation,Scotland,S92000003,2021-07-11,1892,318021
nation,Scotland,S92000003,2021-07-10,1825,316129
nation,Scotland,S92000003,2021-07-09,2409,314304
nation,Scotland,S92000003,2021-07-08,2747,311895
nation,Scotland,S92000003,2021-07-07,2929,309148
nation,Scotland,S92000003,2021-07-06,3105,306219
nation,Scotland,S92000003,2021-07-05,3394,303114
nation,Scotland,S92000003,2021-07-04,2417,299720
nation,Scotland,S92000003,2021-07-03,2517,297303
nation,Scotland,S92000003,2021-07-02,3095,294786
nation,Scotland,S92000003,2021-07-01,3447,291691
nation,Scotland,S92000003,2021-06-30,3929,288244
nation,Scotland,S92000003,2021-06-29,3893,284315
nation,Scotland,S92000003,2021-06-28,3930,280422
nation,Scotland,S92000003,2021-06-27,2530,276492
nation,Scotland,S92000003,2021-06-26,2309,273962
nation,Scotland,S92000003,2021-06-25,2638,271653
nation,Scotland,S92000003,2021-06-24,2951,269015
nation,Scotland,S92000003,2021-06-23,2900,266064
nation,Scotland,S92000003,2021-06-22,3255,263164
nation,Scotland,S92000003,2021-06-21,3034,259909
nation,Scotland,S92000003,2021-06-20,1562,256875
nation,Scotland,S92000003,2021-06-19,1007,255313
nation,Scotland,S92000003,2021-06-18,1238,254306
nation,Scotland,S92000003,2021-06-17,1165,253068
nation,Scotland,S92000003,2021-06-16,1278,251903
nation,Scotland,S92000003,2021-06-15,1290,250625
nation,Scotland,S92000003,2021-06-14,1139,249335
nation,Scotland,S92000003,2021-06-13,858,248196
nation,Scotland,S92000003,2021-06-12,711,247338
nation,Scotland,S92000003,2021-06-11,870,246627
nation,Scotland,S92000003,2021-06-10,1049,245757
nation,Scotland,S92000003,2021-06-09,1060,244708
nation,Scotland,S92000003,2021-06-08,1032,243648
nation,Scotland,S92000003,2021-06-07,953,242616
nation,Scotland,S92000003,2021-06-06,682,241663
nation,Scotland,S92000003,2021-06-05,611,240981
nation,Scotland,S92000003,2021-06-04,829,240370
nation,Scotland,S92000003,2021-06-03,960,239541
nation,Scotland,S92000003,2021-06-02,972,238581
nation,Scotland,S92000003,2021-06-01,794,237609
nation,Scotland,S92000003,2021-05-31,624,236815
nation,Scotland,S92000003,2021-05-30,492,236191
nation,Scotland,S92000003,2021-05-29,439,235699
nation,Scotland,S92000003,2021-05-28,550,235260
nation,Scotland,S92000003,2021-05-27,554,234710
nation,Scotland,S92000003,2021-05-26,627,234156
nation,Scotland,S92000003,2021-05-25,503,233529
nation,Scotland,S92000003,2021-05-24,494,233026
nation,Scotland,S92000003,2021-05-23,324,232532
nation,Scotland,S92000003,2021-05-22,296,232208
nation,Scotland,S92000003,2021-05-21,362,231912
nation,Scotland,S92000003,2021-05-20,383,231550
nation,Scotland,S92000003,2021-05-19,412,231167
nation,Scotland,S92000003,2021-05-18,416,230755
nation,Scotland,S92000003,2021-05-17,361,230339
nation,Scotland,S92000003,2021-05-16,230,229978
nation,Scotland,S92000003,2021-05-15,229,229748
nation,Scotland,S92000003,2021-05-14,291,229519
nation,Scotland,S92000003,2021-05-13,312,229228
nation,Scotland,S92000003,2021-05-12,297,228916
nation,Scotland,S92000003,2021-05-11,285,228619
nation,Scotland,S92000003,2021-05-10,326,228334
nation,Scotland,S92000003,2021-05-09,210,228008
nation,Scotland,S92000003,2021-05-08,184,227798
nation,Scotland,S92000003,2021-05-07,200,227614
nation,Scotland,S92000003,2021-05-06,218,227414
nation,Scotland,S92000003,2021-05-05,221,227196
nation,Scotland,S92000003,2021-05-04,198,226975
nation,Scotland,S92000003,2021-05-03,162,226777
nation,Scotland,S92000003,2021-05-02,120,226615
nation,Scotland,S92000003,2021-05-01,127,226495
nation,Scotland,S92000003,2021-04-30,173,226368
nation,Scotland,S92000003,2021-04-29,174,226195
nation,Scotland,S92000003,2021-04-28,194,226021
nation,Scotland,S92000003,2021-04-27,196,225827
nation,Scotland,S92000003,2021-04-26,194,225631
nation,Scotland,S92000003,2021-04-25,110,225437
nation,Scotland,S92000003,2021-04-24,146,225327
nation,Scotland,S92000003,2021-04-23,187,225181
nation,Scotland,S92000003,2021-04-22,230,224994
nation,Scotland,S92000003,2021-04-21,235,224764
nation,Scotland,S92000003,2021-04-20,241,224529
nation,Scotland,S92000003,2021-04-19,261,224288
nation,Scotland,S92000003,2021-04-18,172,224027
nation,Scotland,S92000003,2021-04-17,203,223855
nation,Scotland,S92000003,2021-04-16,222,223652
nation,Scotland,S92000003,2021-04-15,198,223430
nation,Scotland,S92000003,2021-04-14,211,223232
nation,Scotland,S92000003,2021-04-13,261,223021
nation,Scotland,S92000003,2021-04-12,255,222760
nation,Scotland,S92000003,2021-04-11,209,222505
nation,Scotland,S92000003,2021-04-10,227,222296
nation,Scotland,S92000003,2021-04-09,266,222069
nation,Scotland,S92000003,2021-04-08,282,221803
nation,Scotland,S92000003,2021-04-07,280,221521
nation,Scotland,S92000003,2021-04-06,356,221241
nation,Scotland,S92000003,2021-04-05,293,220885
nation,Scotland,S92000003,2021-04-04,253,220592
nation,Scotland,S92000003,2021-04-03,278,220339
nation,Scotland,S92000003,2021-04-02,349,220061
nation,Scotland,S92000003,2021-04-01,414,219712
nation,Scotland,S92000003,2021-03-31,392,219298
nation,Scotland,S92000003,2021-03-30,395,218906
nation,Scotland,S92000003,2021-03-29,516,218511
nation,Scotland,S92000003,2021-03-28,357,217995
nation,Scotland,S92000003,2021-03-27,388,217638
nation,Scotland,S92000003,2021-03-26,477,217250
nation,Scotland,S92000003,2021-03-25,571,216773
nation,Scotland,S92000003,2021-03-24,540,216202
nation,Scotland,S92000003,2021-03-23,605,215662
nation,Scotland,S92000003,2021-03-22,682,215057
nation,Scotland,S92000003,2021-03-21,464,214375
nation,Scotland,S92000003,2021-03-20,456,213911
nation,Scotland,S92000003,2021-03-19,544,213455
nation,Scotland,S92000003,2021-03-18,552,212911
