Date,Rate,Lower,Upper
10-May-20,0.27,0.17,0.41
17-May-20,0.25,0.16,0.38
24-May-20,0.24,0.11,0.46
30-May-20,0.1,0.05,0.18
07-Jun-20,0.06,0.02,0.12
13-Jun-20,0.06,0.02,0.13
21-Jun-20,0.09,0.04,0.19
27-Jun-20,0.04,0.02,0.08
05-Jul-20,0.03,0.01,0.06
12-Jul-20,0.04,0.03,0.06
19-Jul-20,0.05,0.03,0.07
26-Jul-20,0.07,0.04,0.1
02-Aug-20,0.05,0.03,0.07
09-Aug-20,0.05,0.03,0.07
13-Aug-20,0.05,0.03,0.06
20-Aug-20,0.05,0.04,0.07
25-Aug-20,0.05,0.04,0.07
05-Sep-20,0.07,0.05,0.1
10-Sep-20,0.11,0.09,0.14
19-Sep-20,0.19,0.16,0.23
24-Sep-20,0.21,0.18,0.24
01-Oct-20,0.41,0.37,0.45
08-Oct-20,0.6,0.57,0.66
16-Oct-20,0.79,0.75,0.84
23-Oct-20,1.04,0.98,1.10
31-Oct-20,1.13,1.07,1.20
06-Nov-20,1.20,1.14,1.27
14-Nov-20,1.22,1.15,1.29
21-Nov-20,1.16,1.10,1.23
28-Nov-20,0.96,0.90,1.01
05-Dec-20,0.88,0.83,0.94
12-Dec-20,1.04,0.98,1.10
18-Dec-20,1.18,1.12,1.25
23-Dec-20,1.47,1.40,1.54
02-Jan-21,2.06,1.96,2.16
16-Jan-21,1.88,1.80,1.96
23-Jan-21,1.87,1.79,1.95
30-Jan-21,1.55,1.48,1.63
06-Feb-21,1.28,1.21,1.34
12-Feb-21,0.88,0.83,0.94
19-Feb-21,0.69,0.64,0.74
27-Feb-21,0.45,0.41,0.50
06-Mar-21,0.37,0.33,0.41
13-Mar-21,0.29,0.26,0.33
20-Mar-21,0.30,0.26,0.34
27-Mar-21,0.27,0.24,0.31
03-Apr-21,0.30,0.26,0.34
10-Apr-21,0.21,0.18,0.24
16-Apr-21,0.17,0.14,0.19
24-Apr-21,0.10,0.08,0.12
02-May-21,0.08,0.07,0.10
08-May-21,0.07,0.06,0.09
15-May-21,0.09,0.07,0.11
22-May-21,0.09,0.07,0.11
29-May-21,0.16,0.13,0.19
05-Jun-21,0.18,0.15,0.21
12-Jun-21,0.19,0.16,0.23
19-Jun-21,0.22,0.19,0.26
26-Jun-21,0.39,0.34,0.44
