areaType,areaName,areaCode,date,newLFDTests,cumLFDTests
region,East Midlands,E12000004,2021-07-19,61150,10568217
region,East Midlands,E12000004,2021-07-18,72776,10507067
region,East Midlands,E12000004,2021-07-17,33360,10434291
region,East Midlands,E12000004,2021-07-16,47117,10400931
region,East Midlands,E12000004,2021-07-15,67083,10353814
region,East Midlands,E12000004,2021-07-14,74946,10286731
region,East Midlands,E12000004,2021-07-13,45622,10211785
region,East Midlands,E12000004,2021-07-12,67961,10166163
region,East Midlands,E12000004,2021-07-11,71482,10098202
region,East Midlands,E12000004,2021-07-10,28664,10026720
region,East Midlands,E12000004,2021-07-09,40922,9998056
region,East Midlands,E12000004,2021-07-08,61122,9957134
region,East Midlands,E12000004,2021-07-07,77598,9896012
region,East Midlands,E12000004,2021-07-06,46872,9818414
region,East Midlands,E12000004,2021-07-05,73038,9771542
region,East Midlands,E12000004,2021-07-04,89454,9698504
region,East Midlands,E12000004,2021-07-03,27692,9609050
region,East Midlands,E12000004,2021-07-02,40447,9581358
region,East Midlands,E12000004,2021-07-01,63302,9540911
region,East Midlands,E12000004,2021-06-30,81477,9477609
region,East Midlands,E12000004,2021-06-29,42185,9396132
region,East Midlands,E12000004,2021-06-28,73834,9353947
region,East Midlands,E12000004,2021-06-27,90598,9280113
region,East Midlands,E12000004,2021-06-26,24280,9189515
region,East Midlands,E12000004,2021-06-25,38537,9165235
region,East Midlands,E12000004,2021-06-24,62351,9126698
region,East Midlands,E12000004,2021-06-23,77791,9064347
region,East Midlands,E12000004,2021-06-22,41544,8986556
region,East Midlands,E12000004,2021-06-21,69412,8945012
region,East Midlands,E12000004,2021-06-20,91253,8875600
region,East Midlands,E12000004,2021-06-19,22654,8784347
region,East Midlands,E12000004,2021-06-18,38702,8761693
region,East Midlands,E12000004,2021-06-17,62108,8722991
region,East Midlands,E12000004,2021-06-16,77543,8660883
region,East Midlands,E12000004,2021-06-15,39484,8583340
region,East Midlands,E12000004,2021-06-14,70008,8543856
region,East Midlands,E12000004,2021-06-13,86833,8473848
region,East Midlands,E12000004,2021-06-12,21740,8387015
region,East Midlands,E12000004,2021-06-11,35506,8365275
region,East Midlands,E12000004,2021-06-10,58841,8329769
region,East Midlands,E12000004,2021-06-09,80221,8270928
region,East Midlands,E12000004,2021-06-08,35600,8190707
region,East Midlands,E12000004,2021-06-07,66976,8155107
region,East Midlands,E12000004,2021-06-06,110301,8088131
region,East Midlands,E12000004,2021-06-05,21948,7977830
region,East Midlands,E12000004,2021-06-04,33980,7955882
region,East Midlands,E12000004,2021-06-03,47669,7921902
region,East Midlands,E12000004,2021-06-02,57737,7874233
region,East Midlands,E12000004,2021-06-01,40791,7816496
region,East Midlands,E12000004,2021-05-31,46365,7775705
region,East Midlands,E12000004,2021-05-30,49475,7729340
region,East Midlands,E12000004,2021-05-29,20891,7679865
region,East Midlands,E12000004,2021-05-28,35394,7658974
region,East Midlands,E12000004,2021-05-27,61535,7623580
region,East Midlands,E12000004,2021-05-26,88811,7562045
region,East Midlands,E12000004,2021-05-25,41238,7473234
region,East Midlands,E12000004,2021-05-24,74183,7431996
region,East Midlands,E12000004,2021-05-23,107501,7357813
