areaType,areaName,areaCode,date,uniqueCasePositivityBySpecimenDateRollingSum,uniquePeopleTestedBySpecimenDateRollingSum
region,East Midlands,E12000004,2021-07-15,11.9,175791
region,East Midlands,E12000004,2021-07-14,10.9,173972
region,East Midlands,E12000004,2021-07-13,10.3,171779
region,East Midlands,E12000004,2021-07-12,9.7,172083
region,East Midlands,E12000004,2021-07-11,9.0,174665
region,East Midlands,E12000004,2021-07-10,8.7,174831
region,East Midlands,E12000004,2021-07-09,8.4,174354
region,East Midlands,E12000004,2021-07-08,8.1,172233
region,East Midlands,E12000004,2021-07-07,7.8,170932
region,East Midlands,E12000004,2021-07-06,7.4,167147
region,East Midlands,E12000004,2021-07-05,7.0,165002
region,East Midlands,E12000004,2021-07-04,6.6,164100
region,East Midlands,E12000004,2021-07-03,6.3,161776
region,East Midlands,E12000004,2021-07-02,6.1,158224
region,East Midlands,E12000004,2021-07-01,5.8,154653
region,East Midlands,E12000004,2021-06-30,5.4,150226
region,East Midlands,E12000004,2021-06-29,5.1,146605
region,East Midlands,E12000004,2021-06-28,4.7,142722
region,East Midlands,E12000004,2021-06-27,4.1,140866
region,East Midlands,E12000004,2021-06-26,3.9,139101
region,East Midlands,E12000004,2021-06-25,3.6,136863
region,East Midlands,E12000004,2021-06-24,3.4,134923
region,East Midlands,E12000004,2021-06-23,3.2,133901
region,East Midlands,E12000004,2021-06-22,3.0,132167
region,East Midlands,E12000004,2021-06-21,2.8,130942
region,East Midlands,E12000004,2021-06-20,2.6,131023
region,East Midlands,E12000004,2021-06-19,2.5,129987
region,East Midlands,E12000004,2021-06-18,2.4,128493
region,East Midlands,E12000004,2021-06-17,2.3,125923
region,East Midlands,E12000004,2021-06-16,2.3,123215
region,East Midlands,E12000004,2021-06-15,2.2,120883
region,East Midlands,E12000004,2021-06-14,2.1,119219
region,East Midlands,E12000004,2021-06-13,2.0,121693
region,East Midlands,E12000004,2021-06-12,1.9,122015
region,East Midlands,E12000004,2021-06-11,1.8,121509
region,East Midlands,E12000004,2021-06-10,1.8,120590
region,East Midlands,E12000004,2021-06-09,1.7,120305
region,East Midlands,E12000004,2021-06-08,1.6,120108
region,East Midlands,E12000004,2021-06-07,1.5,120571
region,East Midlands,E12000004,2021-06-06,1.4,115073
region,East Midlands,E12000004,2021-06-05,1.4,113611
region,East Midlands,E12000004,2021-06-04,1.3,111923
region,East Midlands,E12000004,2021-06-03,1.2,110136
region,East Midlands,E12000004,2021-06-02,1.2,111328
region,East Midlands,E12000004,2021-06-01,1.1,112052
region,East Midlands,E12000004,2021-05-31,1.0,112556
region,East Midlands,E12000004,2021-05-30,0.9,123191
region,East Midlands,E12000004,2021-05-29,0.9,124512
region,East Midlands,E12000004,2021-05-28,0.9,124738
region,East Midlands,E12000004,2021-05-27,0.8,123769
region,East Midlands,E12000004,2021-05-26,0.8,122825
region,East Midlands,E12000004,2021-05-25,0.8,120071
region,East Midlands,E12000004,2021-05-24,0.8,117454
region,East Midlands,E12000004,2021-05-23,0.8,117992
region,East Midlands,E12000004,2021-05-22,0.8,117526
region,East Midlands,E12000004,2021-05-21,0.8,117022
region,East Midlands,E12000004,2021-05-20,0.8,116425
region,East Midlands,E12000004,2021-05-19,0.8,114488
region,East Midlands,E12000004,2021-05-18,0.8,113126
region,East Midlands,E12000004,2021-05-17,0.8,113354
region,East Midlands,E12000004,2021-05-16,0.8,114766
region,East Midlands,E12000004,2021-05-15,0.9,114874
region,East Midlands,E12000004,2021-05-14,0.9,113272
region,East Midlands,E12000004,2021-05-13,1.0,113145
region,East Midlands,E12000004,2021-05-12,1.0,114620
region,East Midlands,E12000004,2021-05-11,1.1,115162
region,East Midlands,E12000004,2021-05-10,1.1,116669
region,East Midlands,E12000004,2021-05-09,1.1,113009
region,East Midlands,E12000004,2021-05-08,1.1,111972
region,East Midlands,E12000004,2021-05-07,1.1,111037
region,East Midlands,E12000004,2021-05-06,1.0,107718
region,East Midlands,E12000004,2021-05-05,1.0,105822
region,East Midlands,E12000004,2021-05-04,0.9,104467
region,East Midlands,E12000004,2021-05-03,0.9,100198
region,East Midlands,E12000004,2021-05-02,0.8,109553
region,East Midlands,E12000004,2021-05-01,0.8,109873
region,East Midlands,E12000004,2021-04-30,0.8,110387
region,East Midlands,E12000004,2021-04-29,0.8,111613
region,East Midlands,E12000004,2021-04-28,0.9,112354
region,East Midlands,E12000004,2021-04-27,0.9,110944
region,East Midlands,E12000004,2021-04-26,0.9,112085
region,East Midlands,E12000004,2021-04-25,0.9,114006
region,East Midlands,E12000004,2021-04-24,0.9,114808
region,East Midlands,E12000004,2021-04-23,0.9,113745
region,East Midlands,E12000004,2021-04-22,1.0,111713
region,East Midlands,E12000004,2021-04-21,1.1,109761
region,East Midlands,E12000004,2021-04-20,1.1,108952
region,East Midlands,E12000004,2021-04-19,1.2,108293
region,East Midlands,E12000004,2021-04-18,1.2,108246
region,East Midlands,E12000004,2021-04-17,1.3,107205
region,East Midlands,E12000004,2021-04-16,1.4,106507
region,East Midlands,E12000004,2021-04-15,1.4,106751
region,East Midlands,E12000004,2021-04-14,1.5,107185
region,East Midlands,E12000004,2021-04-13,1.6,107340
region,East Midlands,E12000004,2021-04-12,1.7,108835
region,East Midlands,E12000004,2021-04-11,1.8,106223
region,East Midlands,E12000004,2021-04-10,1.8,105802
region,East Midlands,E12000004,2021-04-09,1.9,104951
region,East Midlands,E12000004,2021-04-08,2.0,98681
region,East Midlands,E12000004,2021-04-07,2.1,98437
region,East Midlands,E12000004,2021-04-06,2.2,96457
region,East Midlands,E12000004,2021-04-05,2.3,93632
region,East Midlands,E12000004,2021-04-04,2.3,103619
region,East Midlands,E12000004,2021-04-03,2.3,105143
region,East Midlands,E12000004,2021-04-02,2.4,106332
region,East Midlands,E12000004,2021-04-01,2.4,110898
region,East Midlands,E12000004,2021-03-31,2.5,112191
region,East Midlands,E12000004,2021-03-30,2.6,114398
region,East Midlands,E12000004,2021-03-29,2.7,118081
region,East Midlands,E12000004,2021-03-28,2.7,121874
region,East Midlands,E12000004,2021-03-27,2.7,122917
region,East Midlands,E12000004,2021-03-26,2.8,123943
region,East Midlands,E12000004,2021-03-25,2.8,124631
region,East Midlands,E12000004,2021-03-24,2.8,125463
region,East Midlands,E12000004,2021-03-23,2.8,125560
region,East Midlands,E12000004,2021-03-22,2.8,125372
region,East Midlands,E12000004,2021-03-21,2.8,126665
region,East Midlands,E12000004,2021-03-20,2.9,125743
region,East Midlands,E12000004,2021-03-19,2.9,124229
region,East Midlands,E12000004,2021-03-18,2.9,121738
region,East Midlands,E12000004,2021-03-17,3.0,119059
region,East Midlands,E12000004,2021-03-16,3.1,116043
region,East Midlands,E12000004,2021-03-15,3.2,113418
region,East Midlands,E12000004,2021-03-14,3.3,113236
region,East Midlands,E12000004,2021-03-13,3.4,113101
region,East Midlands,E12000004,2021-03-12,3.5,111549
region,East Midlands,E12000004,2021-03-11,3.6,110572
region,East Midlands,E12000004,2021-03-10,3.7,110885
region,East Midlands,E12000004,2021-03-09,3.7,110880
region,East Midlands,E12000004,2021-03-08,3.8,111249
region,East Midlands,E12000004,2021-03-07,3.8,113718
region,East Midlands,E12000004,2021-03-06,3.9,113611
region,East Midlands,E12000004,2021-03-05,4.0,113436
region,East Midlands,E12000004,2021-03-04,4.1,113408
region,East Midlands,E12000004,2021-03-03,4.3,114305
region,East Midlands,E12000004,2021-03-02,4.6,114559
region,East Midlands,E12000004,2021-03-01,5.1,115128
region,East Midlands,E12000004,2021-02-28,5.4,119125
region,East Midlands,E12000004,2021-02-27,5.7,120480
region,East Midlands,E12000004,2021-02-26,5.9,121208
region,East Midlands,E12000004,2021-02-25,6.3,121361
region,East Midlands,E12000004,2021-02-24,6.6,122157
region,East Midlands,E12000004,2021-02-23,6.9,123356
region,East Midlands,E12000004,2021-02-22,6.9,125509
region,East Midlands,E12000004,2021-02-21,7.0,128285
region,East Midlands,E12000004,2021-02-20,7.1,128065
region,East Midlands,E12000004,2021-02-19,7.2,128308
region,East Midlands,E12000004,2021-02-18,7.3,129675
region,East Midlands,E12000004,2021-02-17,7.3,130908
region,East Midlands,E12000004,2021-02-16,7.3,130832
region,East Midlands,E12000004,2021-02-15,7.4,130951
region,East Midlands,E12000004,2021-02-14,7.3,132445
region,East Midlands,E12000004,2021-02-13,7.4,133455
region,East Midlands,E12000004,2021-02-12,7.6,133655
region,East Midlands,E12000004,2021-02-11,7.8,132296
region,East Midlands,E12000004,2021-02-10,8.1,132557
region,East Midlands,E12000004,2021-02-09,8.5,132561
region,East Midlands,E12000004,2021-02-08,8.7,133596
region,East Midlands,E12000004,2021-02-07,8.9,136734
region,East Midlands,E12000004,2021-02-06,9.1,136753
region,East Midlands,E12000004,2021-02-05,9.4,136525
region,East Midlands,E12000004,2021-02-04,9.7,137179
region,East Midlands,E12000004,2021-02-03,10.1,138145
region,East Midlands,E12000004,2021-02-02,10.3,139469
region,East Midlands,E12000004,2021-02-01,10.7,140799
region,East Midlands,E12000004,2021-01-31,10.6,141451
region,East Midlands,E12000004,2021-01-30,10.6,140927
region,East Midlands,E12000004,2021-01-29,10.8,140860
region,East Midlands,E12000004,2021-01-28,11.1,142066
region,East Midlands,E12000004,2021-01-27,11.3,143204
