areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
region,East Midlands,E12000004,2021-07-19,768,398968
region,East Midlands,E12000004,2021-07-18,2446,398200
region,East Midlands,E12000004,2021-07-17,2609,395754
region,East Midlands,E12000004,2021-07-16,3818,393145
region,East Midlands,E12000004,2021-07-15,4374,389327
region,East Midlands,E12000004,2021-07-14,3957,384953
region,East Midlands,E12000004,2021-07-13,3413,380996
region,East Midlands,E12000004,2021-07-12,3333,377583
region,East Midlands,E12000004,2021-07-11,2134,374250
region,East Midlands,E12000004,2021-07-10,1980,372116
region,East Midlands,E12000004,2021-07-09,2203,370136
region,East Midlands,E12000004,2021-07-08,2252,367933
region,East Midlands,E12000004,2021-07-07,2468,365681
region,East Midlands,E12000004,2021-07-06,2361,363213
region,East Midlands,E12000004,2021-07-05,2259,360852
region,East Midlands,E12000004,2021-07-04,1656,358593
region,East Midlands,E12000004,2021-07-03,1456,356937
region,East Midlands,E12000004,2021-07-02,1561,355481
region,East Midlands,E12000004,2021-07-01,1665,353920
region,East Midlands,E12000004,2021-06-30,1543,352255
region,East Midlands,E12000004,2021-06-29,1579,350712
region,East Midlands,E12000004,2021-06-28,1540,349133
region,East Midlands,E12000004,2021-06-27,993,347593
region,East Midlands,E12000004,2021-06-26,888,346600
region,East Midlands,E12000004,2021-06-25,938,345712
region,East Midlands,E12000004,2021-06-24,844,344774
region,East Midlands,E12000004,2021-06-23,861,343930
region,East Midlands,E12000004,2021-06-22,820,343069
region,East Midlands,E12000004,2021-06-21,750,342249
region,East Midlands,E12000004,2021-06-20,471,341499
region,East Midlands,E12000004,2021-06-19,414,341028
region,East Midlands,E12000004,2021-06-18,546,340614
region,East Midlands,E12000004,2021-06-17,508,340068
region,East Midlands,E12000004,2021-06-16,550,339560
region,East Midlands,E12000004,2021-06-15,540,339010
region,East Midlands,E12000004,2021-06-14,492,338470
region,East Midlands,E12000004,2021-06-13,320,337978
region,East Midlands,E12000004,2021-06-12,319,337658
region,East Midlands,E12000004,2021-06-11,352,337339
region,East Midlands,E12000004,2021-06-10,338,336987
region,East Midlands,E12000004,2021-06-09,392,336649
region,East Midlands,E12000004,2021-06-08,362,336257
region,East Midlands,E12000004,2021-06-07,412,335895
region,East Midlands,E12000004,2021-06-06,270,335483
region,East Midlands,E12000004,2021-06-05,216,335213
region,East Midlands,E12000004,2021-06-04,258,334997
region,East Midlands,E12000004,2021-06-03,265,334739
region,East Midlands,E12000004,2021-06-02,266,334474
region,East Midlands,E12000004,2021-06-01,252,334208
region,East Midlands,E12000004,2021-05-31,175,333956
region,East Midlands,E12000004,2021-05-30,155,333781
region,East Midlands,E12000004,2021-05-29,137,333626
region,East Midlands,E12000004,2021-05-28,180,333489
region,East Midlands,E12000004,2021-05-27,178,333309
region,East Midlands,E12000004,2021-05-26,197,333131
region,East Midlands,E12000004,2021-05-25,166,332934
region,East Midlands,E12000004,2021-05-24,194,332768
region,East Midlands,E12000004,2021-05-23,143,332574
region,East Midlands,E12000004,2021-05-22,117,332431
region,East Midlands,E12000004,2021-05-21,125,332314
region,East Midlands,E12000004,2021-05-20,171,332189
region,East Midlands,E12000004,2021-05-19,178,332018
region,East Midlands,E12000004,2021-05-18,131,331840
region,East Midlands,E12000004,2021-05-17,159,331709
region,East Midlands,E12000004,2021-05-16,141,331550
region,East Midlands,E12000004,2021-05-15,107,331409
region,East Midlands,E12000004,2021-05-14,138,331302
region,East Midlands,E12000004,2021-05-13,146,331164
region,East Midlands,E12000004,2021-05-12,142,331018
region,East Midlands,E12000004,2021-05-11,146,330876
region,East Midlands,E12000004,2021-05-10,232,330730
region,East Midlands,E12000004,2021-05-09,198,330498
region,East Midlands,E12000004,2021-05-08,120,330300
region,East Midlands,E12000004,2021-05-07,170,330180
region,East Midlands,E12000004,2021-05-06,245,330010
region,East Midlands,E12000004,2021-05-05,234,329765
region,East Midlands,E12000004,2021-05-04,214,329531
region,East Midlands,E12000004,2021-05-03,185,329317
region,East Midlands,E12000004,2021-05-02,148,329132
region,East Midlands,E12000004,2021-05-01,103,328984
region,East Midlands,E12000004,2021-04-30,106,328881
region,East Midlands,E12000004,2021-04-29,173,328775
region,East Midlands,E12000004,2021-04-28,174,328602
region,East Midlands,E12000004,2021-04-27,155,328428
region,East Midlands,E12000004,2021-04-26,172,328273
region,East Midlands,E12000004,2021-04-25,150,328101
region,East Midlands,E12000004,2021-04-24,110,327951
region,East Midlands,E12000004,2021-04-23,135,327841
region,East Midlands,E12000004,2021-04-22,168,327706
region,East Midlands,E12000004,2021-04-21,188,327538
region,East Midlands,E12000004,2021-04-20,196,327350
region,East Midlands,E12000004,2021-04-19,195,327154
region,East Midlands,E12000004,2021-04-18,203,326959
region,East Midlands,E12000004,2021-04-17,120,326756
region,East Midlands,E12000004,2021-04-16,170,326636
region,East Midlands,E12000004,2021-04-15,181,326466
region,East Midlands,E12000004,2021-04-14,215,326285
region,East Midlands,E12000004,2021-04-13,208,326070
region,East Midlands,E12000004,2021-04-12,229,325862
region,East Midlands,E12000004,2021-04-11,198,325633
region,East Midlands,E12000004,2021-04-10,185,325435
region,East Midlands,E12000004,2021-04-09,252,325250
region,East Midlands,E12000004,2021-04-08,298,324998
region,East Midlands,E12000004,2021-04-07,284,324700
region,East Midlands,E12000004,2021-04-06,317,324416
region,East Midlands,E12000004,2021-04-05,234,324099
region,East Midlands,E12000004,2021-04-04,208,323865
region,East Midlands,E12000004,2021-04-03,261,323657
region,East Midlands,E12000004,2021-04-02,270,323396
region,East Midlands,E12000004,2021-04-01,334,323126
region,East Midlands,E12000004,2021-03-31,365,322792
region,East Midlands,E12000004,2021-03-30,338,322427
region,East Midlands,E12000004,2021-03-29,366,322089
region,East Midlands,E12000004,2021-03-28,430,321723
region,East Midlands,E12000004,2021-03-27,360,321293
region,East Midlands,E12000004,2021-03-26,404,320933
region,East Midlands,E12000004,2021-03-25,516,320529
region,East Midlands,E12000004,2021-03-24,600,320013
region,East Midlands,E12000004,2021-03-23,542,319413
region,East Midlands,E12000004,2021-03-22,541,318871
region,East Midlands,E12000004,2021-03-21,471,318330
region,East Midlands,E12000004,2021-03-20,410,317859
region,East Midlands,E12000004,2021-03-19,473,317449
region,East Midlands,E12000004,2021-03-18,578,316976
region,East Midlands,E12000004,2021-03-17,574,316398
region,East Midlands,E12000004,2021-03-16,597,315824
region,East Midlands,E12000004,2021-03-15,596,315227
region,East Midlands,E12000004,2021-03-14,380,314631
region,East Midlands,E12000004,2021-03-13,393,314251
region,East Midlands,E12000004,2021-03-12,521,313858
region,East Midlands,E12000004,2021-03-11,565,313337
region,East Midlands,E12000004,2021-03-10,570,312772
region,East Midlands,E12000004,2021-03-09,607,312202
region,East Midlands,E12000004,2021-03-08,658,311595
region,East Midlands,E12000004,2021-03-07,445,310937
region,East Midlands,E12000004,2021-03-06,443,310492
region,East Midlands,E12000004,2021-03-05,610,310049
region,East Midlands,E12000004,2021-03-04,592,309439
region,East Midlands,E12000004,2021-03-03,615,308847
