Date,Rate,Lower,Upper
2020-12-15,1.06,0.84,1.3
2020-12-09,1.41,1.15,1.69
2020-12-02,0.98,0.76,1.22
2020-10-20,1.03,0.84,1.24
2020-10-28,1.23,0.99,1.49
2020-11-11,1.14,0.93,1.39
2020-11-18,1.47,1.22,1.73
2020-11-25,1.19,0.96,1.44
2020-11-03,1.43,1.2,1.69
2020-10-13,0.75,0.59,0.92
2020-06-18,0.17,0.07,0.33
2020-06-25,0.13,0.04,0.26
2020-07-02,0.07,0.02,0.16
2020-07-09,0.05,0.01,0.11
2020-07-16,0.08,0.02,0.17
2020-07-23,0.07,0.02,0.15
2020-07-30,0.04,0.01,0.09
2020-08-10,0.03,0.01,0.07
2020-08-17,0.04,0.01,0.09
2020-08-24,0.04,0.01,0.08
2020-09-07,0.09,0.03,0.18
2020-09-21,0.11,0.06,0.19
2020-09-28,0.3,0.19,0.42
2020-10-05,0.52,0.38,0.68
2020-10-20,1.03,0.84,1.24
2020-09-02,0.03,0.01,0.07
2020-08-06,0.04,0.01,0.09
2020-09-16,0.13,0.06,0.23
2020-06-25,0.09,0.02,0.22
2020-12-30,1.95,1.64,2.3
2021-01-13,1.68,1.4,1.97
2021-01-20,1.47,1.22,1.74
2021-01-27,1.49,1.25,1.76
2021-02-03,1.39,1.16,1.65
2021-02-09,0.85,0.66,1.05
2021-02-16,0.67,0.51,0.86
2021-02-24,0.54,0.39,0.72
2021-03-03,0.33,0.21,0.48
2021-03-10,0.44,0.31,0.61
2021-03-17,0.36,0.23,0.51
2021-03-24,0.33,0.2,0.48
2021-03-31,0.38,0.24,0.55
2021-04-07,0.28,0.17,0.43
2021-04-13,0.22,0.13,0.34
2021-04-21,0.13,0.06,0.22
2021-04-29,0.07,0.03,0.14
2021-05-05,0.07,0.03,0.14
2021-05-12,0.1,0.04,0.18
2021-05-19,0.1,0.04,0.19
2021-05-26,0.23,0.14,0.36
2021-06-02,0.18,0.09,0.31
2021-06-09,0.1,0.04,0.18
2021-06-16,0.13,0.06,0.22
2021-06-23,0.36,0.22,0.54
2021-06-30,0.66,0.44,0.93
2021-07-07,1.12,0.84,1.44
