Date,Rate,Lower,Upper
2020-05-09,0.89,0.38,1.76
2020-05-23,0.41,0.12,0.99
2020-06-06,0.11,0.02,0.33
2020-06-20,0.09,0.02,0.25
2020-07-04,0.03,0,0.11
2020-07-18,0.12,0.03,0.37
2020-08-01,0.01,0,0.04
2020-08-15,0.03,0,0.17
2020-08-29,0.01,0,0.04
2020-09-12,0.16,0.07,0.3
2020-09-26,0.33,0.22,0.48
2020-10-10,0.96,0.77,1.19
2020-10-14,1.37,1.13,1.64
2020-11-07,1.48,1.24,1.75
2020-11-21,1.56,1.32,1.84
2020-12-05,1.46,1.22,1.73
2020-12-19,1.19,0.95,1.47
2021-01-02,1.8,1.53,2.11
2021-01-16,1.62,1.35,1.91
2021-01-30,1.48,1.24,1.75
2021-02-13,0.73,0.57,0.92
2021-02-27,0.44,0.31,0.62
2021-03-13,0.4,0.28,0.56
2021-03-27,0.36,0.24,0.52
2021-04-10,0.25,0.14,0.4
2021-04-14,0.11,0.04,0.23
2021-05-08,0.09,0.04,0.19
2021-05-22,0.18,0.1,0.3
2021-06-05,0.12,0.05,0.23
2021-06-19,0.34,0.21,0.51
2021-07-03,1.03,0.77,1.35
