areaType,areaName,areaCode,date,newLFDTests,cumLFDTests
region,East of England,E12000006,2021-07-19,96161,15507334
region,East of England,E12000006,2021-07-18,113760,15411173
region,East of England,E12000006,2021-07-17,53459,15297413
region,East of England,E12000006,2021-07-16,74419,15243954
region,East of England,E12000006,2021-07-15,102625,15169535
region,East of England,E12000006,2021-07-14,124427,15066910
region,East of England,E12000006,2021-07-13,72364,14942483
region,East of England,E12000006,2021-07-12,107348,14870119
region,East of England,E12000006,2021-07-11,121535,14762771
region,East of England,E12000006,2021-07-10,48563,14641236
region,East of England,E12000006,2021-07-09,66880,14592673
region,East of England,E12000006,2021-07-08,97716,14525793
region,East of England,E12000006,2021-07-07,122974,14428077
region,East of England,E12000006,2021-07-06,75628,14305103
region,East of England,E12000006,2021-07-05,114830,14229475
region,East of England,E12000006,2021-07-04,142360,14114645
region,East of England,E12000006,2021-07-03,44704,13972285
region,East of England,E12000006,2021-07-02,62716,13927581
region,East of England,E12000006,2021-07-01,97764,13864865
region,East of England,E12000006,2021-06-30,125108,13767101
region,East of England,E12000006,2021-06-29,67017,13641993
region,East of England,E12000006,2021-06-28,113757,13574976
region,East of England,E12000006,2021-06-27,140007,13461219
region,East of England,E12000006,2021-06-26,36333,13321212
region,East of England,E12000006,2021-06-25,59239,13284879
region,East of England,E12000006,2021-06-24,93435,13225640
region,East of England,E12000006,2021-06-23,118639,13132205
region,East of England,E12000006,2021-06-22,62550,13013566
region,East of England,E12000006,2021-06-21,106403,12951016
region,East of England,E12000006,2021-06-20,141067,12844613
region,East of England,E12000006,2021-06-19,35127,12703546
region,East of England,E12000006,2021-06-18,56356,12668419
region,East of England,E12000006,2021-06-17,94907,12612063
region,East of England,E12000006,2021-06-16,115349,12517156
region,East of England,E12000006,2021-06-15,60564,12401807
region,East of England,E12000006,2021-06-14,107378,12341243
region,East of England,E12000006,2021-06-13,132308,12233865
region,East of England,E12000006,2021-06-12,33250,12101557
region,East of England,E12000006,2021-06-11,54500,12068307
region,East of England,E12000006,2021-06-10,88074,12013807
region,East of England,E12000006,2021-06-09,117364,11925733
region,East of England,E12000006,2021-06-08,55913,11808369
region,East of England,E12000006,2021-06-07,105742,11752456
region,East of England,E12000006,2021-06-06,163272,11646714
region,East of England,E12000006,2021-06-05,33747,11483442
region,East of England,E12000006,2021-06-04,52212,11449695
region,East of England,E12000006,2021-06-03,73405,11397483
region,East of England,E12000006,2021-06-02,89113,11324078
region,East of England,E12000006,2021-06-01,65343,11234965
region,East of England,E12000006,2021-05-31,71172,11169622
region,East of England,E12000006,2021-05-30,78160,11098450
region,East of England,E12000006,2021-05-29,32527,11020290
region,East of England,E12000006,2021-05-28,53358,10987763
region,East of England,E12000006,2021-05-27,94201,10934405
region,East of England,E12000006,2021-05-26,132914,10840204
region,East of England,E12000006,2021-05-25,62798,10707290
region,East of England,E12000006,2021-05-24,114830,10644492
region,East of England,E12000006,2021-05-23,165587,10529662
region,East of England,E12000006,2021-05-22,37254,10364075
region,East of England,E12000006,2021-05-21,58763,10326821
region,East of England,E12000006,2021-05-20,104731,10268058
region,East of England,E12000006,2021-05-19,145047,10163327
region,East of England,E12000006,2021-05-18,64754,10018280
region,East of England,E12000006,2021-05-17,120054,9953526
region,East of England,E12000006,2021-05-16,161532,9833472
region,East of England,E12000006,2021-05-15,31033,9671940
region,East of England,E12000006,2021-05-14,54413,9640907
region,East of England,E12000006,2021-05-13,104805,9586494
region,East of England,E12000006,2021-05-12,144769,9481689
region,East of England,E12000006,2021-05-11,60490,9336920
region,East of England,E12000006,2021-05-10,118657,9276430
region,East of England,E12000006,2021-05-09,183653,9157773
region,East of England,E12000006,2021-05-08,33986,8974120
region,East of England,E12000006,2021-05-07,57286,8940134
region,East of England,E12000006,2021-05-06,108366,8882848
region,East of England,E12000006,2021-05-05,147874,8774482
region,East of England,E12000006,2021-05-04,93561,8626608
region,East of England,E12000006,2021-05-03,145890,8533047
region,East of England,E12000006,2021-05-02,119279,8387157
region,East of England,E12000006,2021-05-01,33741,8267878
region,East of England,E12000006,2021-04-30,55623,8234137
region,East of England,E12000006,2021-04-29,113298,8178514
region,East of England,E12000006,2021-04-28,167391,8065216
region,East of England,E12000006,2021-04-27,65284,7897825
region,East of England,E12000006,2021-04-26,126028,7832541
region,East of England,E12000006,2021-04-25,211771,7706513
region,East of England,E12000006,2021-04-24,35584,7494742
region,East of England,E12000006,2021-04-23,57431,7459158
region,East of England,E12000006,2021-04-22,118762,7401727
region,East of England,E12000006,2021-04-21,173232,7282965
region,East of England,E12000006,2021-04-20,66243,7109733
region,East of England,E12000006,2021-04-19,127455,7043490
region,East of England,E12000006,2021-04-18,221390,6916035
region,East of England,E12000006,2021-04-17,33454,6694645
region,East of England,E12000006,2021-04-16,57486,6661191
region,East of England,E12000006,2021-04-15,121679,6603705
region,East of England,E12000006,2021-04-14,174774,6482026
region,East of England,E12000006,2021-04-13,60686,6307252
region,East of England,E12000006,2021-04-12,120216,6246566
region,East of England,E12000006,2021-04-11,239077,6126350
region,East of England,E12000006,2021-04-10,31883,5887273
region,East of England,E12000006,2021-04-09,53279,5855390
region,East of England,E12000006,2021-04-08,95431,5802111
region,East of England,E12000006,2021-04-07,124854,5706680
region,East of England,E12000006,2021-04-06,64254,5581826
region,East of England,E12000006,2021-04-05,96091,5517572
region,East of England,E12000006,2021-04-04,116848,5421481
region,East of England,E12000006,2021-04-03,29775,5304633
region,East of England,E12000006,2021-04-02,43504,5274858
region,East of England,E12000006,2021-04-01,98011,5231354
region,East of England,E12000006,2021-03-31,130713,5133343
region,East of England,E12000006,2021-03-30,35253,5002630
region,East of England,E12000006,2021-03-29,35865,4967377
region,East of England,E12000006,2021-03-28,236584,4931512
region,East of England,E12000006,2021-03-27,26214,4694928
region,East of England,E12000006,2021-03-26,56167,4668714
region,East of England,E12000006,2021-03-25,123675,4612547
region,East of England,E12000006,2021-03-24,208062,4488872
region,East of England,E12000006,2021-03-23,71786,4280810
region,East of England,E12000006,2021-03-22,135991,4209024
region,East of England,E12000006,2021-03-21,243133,4073033
region,East of England,E12000006,2021-03-20,27304,3829900
region,East of England,E12000006,2021-03-19,80748,3802596
region,East of England,E12000006,2021-03-18,152129,3721848
region,East of England,E12000006,2021-03-17,174980,3569719
region,East of England,E12000006,2021-03-16,129262,3394739
region,East of England,E12000006,2021-03-15,181026,3265477
region,East of England,E12000006,2021-03-14,115286,3084451
region,East of England,E12000006,2021-03-13,24685,2969165
region,East of England,E12000006,2021-03-12,139325,2944480
region,East of England,E12000006,2021-03-11,162356,2805155
region,East of England,E12000006,2021-03-10,163633,2642799
region,East of England,E12000006,2021-03-09,139518,2479166
region,East of England,E12000006,2021-03-08,175021,2339648
region,East of England,E12000006,2021-03-07,97357,2164627
region,East of England,E12000006,2021-03-06,26687,2067270
region,East of England,E12000006,2021-03-05,84026,2040583
region,East of England,E12000006,2021-03-04,88246,1956557
region,East of England,E12000006,2021-03-03,70310,1868311
region,East of England,E12000006,2021-03-02,46326,1798001
region,East of England,E12000006,2021-03-01,67859,1751675
region,East of England,E12000006,2021-02-28,46032,1683816
region,East of England,E12000006,2021-02-27,12784,1637784
region,East of England,E12000006,2021-02-26,35450,1625000
region,East of England,E12000006,2021-02-25,48080,1589550
region,East of England,E12000006,2021-02-24,52005,1541470
region,East of England,E12000006,2021-02-23,34063,1489465
region,East of England,E12000006,2021-02-22,57529,1455402
region,East of England,E12000006,2021-02-21,46528,1397873
