areaType,areaName,areaCode,date,uniqueCasePositivityBySpecimenDateRollingSum,uniquePeopleTestedBySpecimenDateRollingSum
region,East of England,E12000006,2021-07-15,8.9,255219
region,East of England,E12000006,2021-07-14,7.8,252974
region,East of England,E12000006,2021-07-13,7.1,250494
region,East of England,E12000006,2021-07-12,6.6,251781
region,East of England,E12000006,2021-07-11,6.2,255300
region,East of England,E12000006,2021-07-10,5.9,255400
region,East of England,E12000006,2021-07-09,5.8,254398
region,East of England,E12000006,2021-07-08,5.6,250262
region,East of England,E12000006,2021-07-07,5.3,249039
region,East of England,E12000006,2021-07-06,5.0,243019
region,East of England,E12000006,2021-07-05,4.7,237128
region,East of England,E12000006,2021-07-04,4.4,235334
region,East of England,E12000006,2021-07-03,4.1,232673
region,East of England,E12000006,2021-07-02,3.9,228250
region,East of England,E12000006,2021-07-01,3.7,222914
region,East of England,E12000006,2021-06-30,3.4,216979
region,East of England,E12000006,2021-06-29,3.1,213643
region,East of England,E12000006,2021-06-28,2.9,208477
region,East of England,E12000006,2021-06-27,2.5,205317
region,East of England,E12000006,2021-06-26,2.3,203435
region,East of England,E12000006,2021-06-25,2.1,200718
region,East of England,E12000006,2021-06-24,2.0,197444
region,East of England,E12000006,2021-06-23,1.8,195901
region,East of England,E12000006,2021-06-22,1.7,193656
region,East of England,E12000006,2021-06-21,1.5,191962
region,East of England,E12000006,2021-06-20,1.4,191198
region,East of England,E12000006,2021-06-19,1.4,188961
region,East of England,E12000006,2021-06-18,1.4,186686
region,East of England,E12000006,2021-06-17,1.4,182721
region,East of England,E12000006,2021-06-16,1.3,178753
region,East of England,E12000006,2021-06-15,1.3,176031
region,East of England,E12000006,2021-06-14,1.3,174681
region,East of England,E12000006,2021-06-13,1.2,176878
region,East of England,E12000006,2021-06-12,1.2,179009
region,East of England,E12000006,2021-06-11,1.1,180169
region,East of England,E12000006,2021-06-10,1.1,178313
region,East of England,E12000006,2021-06-09,1.1,178390
region,East of England,E12000006,2021-06-08,1.1,177896
region,East of England,E12000006,2021-06-07,1.0,179180
region,East of England,E12000006,2021-06-06,0.9,171186
region,East of England,E12000006,2021-06-05,0.9,167864
region,East of England,E12000006,2021-06-04,0.9,164585
region,East of England,E12000006,2021-06-03,0.8,161779
region,East of England,E12000006,2021-06-02,0.8,163890
region,East of England,E12000006,2021-06-01,0.7,165074
region,East of England,E12000006,2021-05-31,0.7,163364
region,East of England,E12000006,2021-05-30,0.7,179519
region,East of England,E12000006,2021-05-29,0.6,181338
region,East of England,E12000006,2021-05-28,0.6,182242
region,East of England,E12000006,2021-05-27,0.6,181722
region,East of England,E12000006,2021-05-26,0.6,179811
region,East of England,E12000006,2021-05-25,0.6,177500
region,East of England,E12000006,2021-05-24,0.6,174506
region,East of England,E12000006,2021-05-23,0.6,173546
region,East of England,E12000006,2021-05-22,0.6,172059
region,East of England,E12000006,2021-05-21,0.6,169777
region,East of England,E12000006,2021-05-20,0.6,166998
region,East of England,E12000006,2021-05-19,0.6,165202
region,East of England,E12000006,2021-05-18,0.6,162763
region,East of England,E12000006,2021-05-17,0.6,162186
