areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
region,East of England,E12000006,2021-07-19,952,460917
region,East of England,E12000006,2021-07-18,2596,459965
region,East of England,E12000006,2021-07-17,3202,457369
region,East of England,E12000006,2021-07-16,4632,454167
region,East of England,E12000006,2021-07-15,5392,449535
region,East of England,E12000006,2021-07-14,4651,444143
region,East of England,E12000006,2021-07-13,3684,439492
region,East of England,E12000006,2021-07-12,3265,435808
region,East of England,E12000006,2021-07-11,2265,432543
region,East of England,E12000006,2021-07-10,1902,430278
region,East of England,E12000006,2021-07-09,2226,428376
region,East of England,E12000006,2021-07-08,2290,426150
region,East of England,E12000006,2021-07-07,2542,423860
region,East of England,E12000006,2021-07-06,2336,421318
region,East of England,E12000006,2021-07-05,2266,418982
region,East of England,E12000006,2021-07-04,1677,416716
region,East of England,E12000006,2021-07-03,1545,415039
region,East of England,E12000006,2021-07-02,1522,413494
region,East of England,E12000006,2021-07-01,1607,411972
region,East of England,E12000006,2021-06-30,1488,410365
region,East of England,E12000006,2021-06-29,1382,408877
region,East of England,E12000006,2021-06-28,1386,407495
region,East of England,E12000006,2021-06-27,962,406109
region,East of England,E12000006,2021-06-26,788,405147
region,East of England,E12000006,2021-06-25,792,404359
region,East of England,E12000006,2021-06-24,818,403567
region,East of England,E12000006,2021-06-23,805,402749
region,East of England,E12000006,2021-06-22,699,401944
region,East of England,E12000006,2021-06-21,632,401245
region,East of England,E12000006,2021-06-20,420,400613
region,East of England,E12000006,2021-06-19,335,400193
region,East of England,E12000006,2021-06-18,433,399858
region,East of England,E12000006,2021-06-17,452,399425
region,East of England,E12000006,2021-06-16,434,398973
region,East of England,E12000006,2021-06-15,423,398539
region,East of England,E12000006,2021-06-14,420,398116
region,East of England,E12000006,2021-06-13,320,397696
region,East of England,E12000006,2021-06-12,284,397376
region,East of England,E12000006,2021-06-11,328,397092
region,East of England,E12000006,2021-06-10,296,396764
region,East of England,E12000006,2021-06-09,317,396468
region,East of England,E12000006,2021-06-08,389,396151
region,East of England,E12000006,2021-06-07,328,395762
region,East of England,E12000006,2021-06-06,277,395434
region,East of England,E12000006,2021-06-05,219,395157
region,East of England,E12000006,2021-06-04,266,394938
region,East of England,E12000006,2021-06-03,276,394672
region,East of England,E12000006,2021-06-02,279,394396
region,East of England,E12000006,2021-06-01,237,394117
region,East of England,E12000006,2021-05-31,172,393880
region,East of England,E12000006,2021-05-30,142,393708
region,East of England,E12000006,2021-05-29,144,393566
region,East of England,E12000006,2021-05-28,193,393422
region,East of England,E12000006,2021-05-27,189,393229
region,East of England,E12000006,2021-05-26,223,393040
region,East of England,E12000006,2021-05-25,200,392817
region,East of England,E12000006,2021-05-24,182,392617
region,East of England,E12000006,2021-05-23,148,392435
region,East of England,E12000006,2021-05-22,135,392287
region,East of England,E12000006,2021-05-21,144,392152
region,East of England,E12000006,2021-05-20,164,392008
region,East of England,E12000006,2021-05-19,208,391844
region,East of England,E12000006,2021-05-18,175,391636
region,East of England,E12000006,2021-05-17,214,391461
region,East of England,E12000006,2021-05-16,130,391247
region,East of England,E12000006,2021-05-15,86,391117
region,East of England,E12000006,2021-05-14,115,391031
region,East of England,E12000006,2021-05-13,165,390916
region,East of England,E12000006,2021-05-12,172,390751
region,East of England,E12000006,2021-05-11,150,390579
region,East of England,E12000006,2021-05-10,212,390429
region,East of England,E12000006,2021-05-09,195,390217
region,East of England,E12000006,2021-05-08,100,390022
region,East of England,E12000006,2021-05-07,119,389922
region,East of England,E12000006,2021-05-06,150,389803
region,East of England,E12000006,2021-05-05,169,389653
region,East of England,E12000006,2021-05-04,198,389484
region,East of England,E12000006,2021-05-03,147,389286
region,East of England,E12000006,2021-05-02,128,389139
region,East of England,E12000006,2021-05-01,108,389011
region,East of England,E12000006,2021-04-30,113,388903
region,East of England,E12000006,2021-04-29,172,388790
region,East of England,E12000006,2021-04-28,151,388618
region,East of England,E12000006,2021-04-27,148,388467
region,East of England,E12000006,2021-04-26,195,388319
region,East of England,E12000006,2021-04-25,185,388124
region,East of England,E12000006,2021-04-24,122,387939
region,East of England,E12000006,2021-04-23,160,387817
region,East of England,E12000006,2021-04-22,191,387657
region,East of England,E12000006,2021-04-21,188,387466
region,East of England,E12000006,2021-04-20,175,387278
region,East of England,E12000006,2021-04-19,184,387103
region,East of England,E12000006,2021-04-18,200,386919
region,East of England,E12000006,2021-04-17,116,386719
region,East of England,E12000006,2021-04-16,158,386603
region,East of England,E12000006,2021-04-15,155,386445
region,East of England,E12000006,2021-04-14,196,386290
