Date,Rate,Lower,Upper
2020-12-15,1.18,1.01,1.37
2020-12-09,0.85,0.7,1.01
2020-12-02,0.51,0.4,0.63
2020-10-20,0.49,0.38,0.6
2020-10-28,0.6,0.47,0.74
2020-11-11,0.68,0.56,0.83
2020-11-18,0.57,0.45,0.69
2020-11-25,0.37,0.28,0.47
2020-11-03,0.52,0.41,0.64
2020-10-13,0.42,0.32,0.52
2020-06-18,0.06,0.01,0.17
2020-06-25,0.09,0.02,0.22
2020-07-02,0.08,0.02,0.19
2020-07-09,0.03,0.01,0.08
2020-07-16,0.03,0.01,0.07
2020-07-23,0.06,0.02,0.16
2020-07-30,0.06,0.02,0.13
2020-08-10,0.04,0.01,0.08
2020-08-17,0.04,0.01,0.09
2020-08-24,0.06,0.02,0.12
2020-09-07,0.09,0.04,0.16
2020-09-21,0.1,0.06,0.16
2020-09-28,0.19,0.12,0.28
2020-10-05,0.3,0.22,0.41
2020-10-20,0.49,0.38,0.6
2020-09-02,0.07,0.03,0.12
2020-08-06,0.06,0.02,0.12
2020-09-16,0.09,0.05,0.16
2020-06-25,0.13,0.04,0.26
2020-12-30,2.12,1.84,2.43
2021-01-13,1.37,1.17,1.58
2021-01-20,1.71,1.49,1.95
2021-01-27,1.78,1.57,2.02
2021-02-03,1.41,1.22,1.62
2021-02-09,0.81,0.65,0.98
2021-02-16,0.47,0.36,0.6
2021-02-24,0.38,0.28,0.5
2021-03-03,0.32,0.22,0.43
2021-03-10,0.21,0.14,0.3
2021-03-17,0.51,0.09,0.23
2021-03-24,0.2,0.12,0.29
2021-03-31,0.15,0.09,0.24
2021-04-07,0.1,0.05,0.17
2021-04-13,0.08,0.04,0.14
2021-04-21,0.06,0.03,0.12
2021-04-29,0.04,0.01,0.09
2021-05-05,0.06,0.02,0.12
2021-05-12,0.08,0.03,0.14
2021-05-19,0.16,0.08,0.26
2021-05-26,0.1,0.05,0.18
2021-06-02,0.06,0.02,0.13
2021-06-09,0.04,0.01,0.09
2021-06-16,0.15,0.08,0.25
2021-06-23,0.18,0.09,0.29
2021-06-30,0.29,0.17,0.43
2021-07-07,0.8,0.59,1.05
