Date,Rate,Lower,Upper
2020-05-09,0.32,0.12,0.68
2020-05-23,0,0,0.16
2020-06-06,0,0,0.13
2020-06-20,0.11,0.02,0.32
2020-07-04,0.01,0,0.07
2020-07-18,0.06,0.01,0.18
2020-08-01,0.06,0.01,0.24
2020-08-15,0.02,0,0.08
2020-08-29,0.06,0.02,0.15
2020-09-12,0.14,0.06,0.28
2020-09-26,0.22,0.14,0.33
2020-10-10,0.46,0.36,0.59
2020-10-14,0.63,0.52,0.77
2020-11-07,0.68,0.56,0.81
2020-11-21,0.5,0.41,0.62
2020-12-05,1.06,0.89,1.25
2020-12-19,1.78,1.56,2.03
2021-01-02,2.42,2.17,2.69
2021-01-16,1.76,1.55,1.99
2021-01-30,1.61,1.4,1.83
2021-02-13,0.68,0.55,0.83
2021-02-27,0.38,0.28,0.51
2021-03-13,0.19,0.12,0.28
2021-03-27,0.19,0.11,0.3
2021-04-10,0.08,0.03,0.17
2021-04-14,0.06,0.02,0.14
2021-05-08,0.06,0.03,0.13
2021-05-22,0.12,0.06,0.2
2021-06-05,0.05,0.01,0.14
2021-06-19,0.21,0.11,0.36
2021-07-03,0.61,0.45,0.8
