areaType,areaName,areaCode,date,newLFDTests,cumLFDTests
region,London,E12000007,2021-07-19,85693,13492125
region,London,E12000007,2021-07-18,86142,13406432
region,London,E12000007,2021-07-17,56692,13320290
region,London,E12000007,2021-07-16,75017,13263598
region,London,E12000007,2021-07-15,90067,13188581
region,London,E12000007,2021-07-14,92838,13098514
region,London,E12000007,2021-07-13,67441,13005676
region,London,E12000007,2021-07-12,90627,12938235
region,London,E12000007,2021-07-11,96313,12847608
region,London,E12000007,2021-07-10,64763,12751295
region,London,E12000007,2021-07-09,74946,12686532
region,London,E12000007,2021-07-08,90972,12611586
region,London,E12000007,2021-07-07,104132,12520614
region,London,E12000007,2021-07-06,96035,12416482
region,London,E12000007,2021-07-05,122729,12320447
region,London,E12000007,2021-07-04,108778,12197718
region,London,E12000007,2021-07-03,48035,12088940
region,London,E12000007,2021-07-02,67029,12040905
region,London,E12000007,2021-07-01,91916,11973876
region,London,E12000007,2021-06-30,103544,11881960
region,London,E12000007,2021-06-29,73095,11778416
region,London,E12000007,2021-06-28,111595,11705321
region,London,E12000007,2021-06-27,110215,11593726
region,London,E12000007,2021-06-26,45548,11483511
region,London,E12000007,2021-06-25,63651,11437963
region,London,E12000007,2021-06-24,84891,11374312
region,London,E12000007,2021-06-23,90695,11289421
region,London,E12000007,2021-06-22,62339,11198726
region,London,E12000007,2021-06-21,96770,11136387
region,London,E12000007,2021-06-20,101376,11039617
region,London,E12000007,2021-06-19,38487,10938241
region,London,E12000007,2021-06-18,56913,10899754
region,London,E12000007,2021-06-17,86004,10842841
region,London,E12000007,2021-06-16,88520,10756837
region,London,E12000007,2021-06-15,58835,10668317
region,London,E12000007,2021-06-14,93145,10609482
region,London,E12000007,2021-06-13,96615,10516337
region,London,E12000007,2021-06-12,39336,10419722
region,London,E12000007,2021-06-11,55279,10380386
region,London,E12000007,2021-06-10,76291,10325107
region,London,E12000007,2021-06-09,85987,10248816
region,London,E12000007,2021-06-08,53960,10162829
region,London,E12000007,2021-06-07,93379,10108869
region,London,E12000007,2021-06-06,117166,10015490
region,London,E12000007,2021-06-05,34008,9898324
region,London,E12000007,2021-06-04,48082,9864316
region,London,E12000007,2021-06-03,60982,9816234
region,London,E12000007,2021-06-02,63586,9755252
region,London,E12000007,2021-06-01,58991,9691666
region,London,E12000007,2021-05-31,56234,9632675
region,London,E12000007,2021-05-30,50249,9576441
region,London,E12000007,2021-05-29,33132,9526192
region,London,E12000007,2021-05-28,49528,9493060
region,London,E12000007,2021-05-27,76824,9443532
region,London,E12000007,2021-05-26,91266,9366708
region,London,E12000007,2021-05-25,55949,9275442
region,London,E12000007,2021-05-24,93718,9219493
region,London,E12000007,2021-05-23,110497,9125775
region,London,E12000007,2021-05-22,35642,9015278
region,London,E12000007,2021-05-21,51548,8979636
region,London,E12000007,2021-05-20,83857,8928088
region,London,E12000007,2021-05-19,96808,8844231
region,London,E12000007,2021-05-18,55837,8747423
region,London,E12000007,2021-05-17,96772,8691586
region,London,E12000007,2021-05-16,112801,8594814
region,London,E12000007,2021-05-15,32010,8482013
region,London,E12000007,2021-05-14,51299,8450003
region,London,E12000007,2021-05-13,80348,8398704
region,London,E12000007,2021-05-12,92868,8318356
region,London,E12000007,2021-05-11,53414,8225488
region,London,E12000007,2021-05-10,97757,8172074
