areaType,areaName,areaCode,date,uniqueCasePositivityBySpecimenDateRollingSum,uniquePeopleTestedBySpecimenDateRollingSum
region,London,E12000007,2021-07-15,8.2,401583
region,London,E12000007,2021-07-14,7.4,400946
region,London,E12000007,2021-07-13,6.9,403841
region,London,E12000007,2021-07-12,6.6,406021
region,London,E12000007,2021-07-11,6.3,410572
region,London,E12000007,2021-07-10,6.1,410368
region,London,E12000007,2021-07-09,6.0,409325
region,London,E12000007,2021-07-08,5.9,405144
region,London,E12000007,2021-07-07,5.7,404116
region,London,E12000007,2021-07-06,5.4,396988
region,London,E12000007,2021-07-05,5.3,388658
region,London,E12000007,2021-07-04,5.1,387523
region,London,E12000007,2021-07-03,4.9,385406
region,London,E12000007,2021-07-02,4.7,378975
region,London,E12000007,2021-07-01,4.6,370958
region,London,E12000007,2021-06-30,4.4,361749
region,London,E12000007,2021-06-29,4.2,353528
region,London,E12000007,2021-06-28,3.9,345941
region,London,E12000007,2021-06-27,3.6,341812
region,London,E12000007,2021-06-26,3.4,339981
region,London,E12000007,2021-06-25,3.2,336305
region,London,E12000007,2021-06-24,3.0,330936
region,London,E12000007,2021-06-23,2.8,329915
region,London,E12000007,2021-06-22,2.6,327205
region,London,E12000007,2021-06-21,2.5,324532
region,London,E12000007,2021-06-20,2.4,329005
region,London,E12000007,2021-06-19,2.3,326351
region,London,E12000007,2021-06-18,2.3,323019
region,London,E12000007,2021-06-17,2.3,318845
region,London,E12000007,2021-06-16,2.2,318602
region,London,E12000007,2021-06-15,2.2,316813
region,London,E12000007,2021-06-14,2.1,318946
region,London,E12000007,2021-06-13,2.0,315844
region,London,E12000007,2021-06-12,2.0,316391
region,London,E12000007,2021-06-11,1.9,316357
region,London,E12000007,2021-06-10,1.9,313750
region,London,E12000007,2021-06-09,1.8,306164
region,London,E12000007,2021-06-08,1.8,299315
region,London,E12000007,2021-06-07,1.7,289985
region,London,E12000007,2021-06-06,1.6,275857
region,London,E12000007,2021-06-05,1.6,271337
region,London,E12000007,2021-06-04,1.5,269769
region,London,E12000007,2021-06-03,1.4,270604
region,London,E12000007,2021-06-02,1.3,278909
region,London,E12000007,2021-06-01,1.1,286567
region,London,E12000007,2021-05-31,1.0,292229
region,London,E12000007,2021-05-30,0.9,313680
region,London,E12000007,2021-05-29,0.9,313108
region,London,E12000007,2021-05-28,0.8,310497
region,London,E12000007,2021-05-27,0.8,302562
region,London,E12000007,2021-05-26,0.8,289061
region,London,E12000007,2021-05-25,0.8,271699
region,London,E12000007,2021-05-24,0.8,257063
region,London,E12000007,2021-05-23,0.8,251619
region,London,E12000007,2021-05-22,0.8,250371
region,London,E12000007,2021-05-21,0.8,249734
region,London,E12000007,2021-05-20,0.8,245593
region,London,E12000007,2021-05-19,0.7,238328
region,London,E12000007,2021-05-18,0.7,231698
region,London,E12000007,2021-05-17,0.7,228333
region,London,E12000007,2021-05-16,0.7,228333
region,London,E12000007,2021-05-15,0.7,227704
region,London,E12000007,2021-05-14,0.7,223812
region,London,E12000007,2021-05-13,0.7,222639
region,London,E12000007,2021-05-12,0.7,224156
region,London,E12000007,2021-05-11,0.7,225364
region,London,E12000007,2021-05-10,0.7,226695
region,London,E12000007,2021-05-09,0.7,217377
region,London,E12000007,2021-05-08,0.7,215742
region,London,E12000007,2021-05-07,0.7,215906
region,London,E12000007,2021-05-06,0.7,212449
region,London,E12000007,2021-05-05,0.7,210463
region,London,E12000007,2021-05-04,0.7,207624
region,London,E12000007,2021-05-03,0.7,203875
region,London,E12000007,2021-05-02,0.7,223340
region,London,E12000007,2021-05-01,0.7,226634
region,London,E12000007,2021-04-30,0.7,229550
region,London,E12000007,2021-04-29,0.7,238837
region,London,E12000007,2021-04-28,0.7,253293
region,London,E12000007,2021-04-27,0.7,274327
region,London,E12000007,2021-04-26,0.7,285087
region,London,E12000007,2021-04-25,0.7,295866
region,London,E12000007,2021-04-24,0.7,301340
region,London,E12000007,2021-04-23,0.7,307953
region,London,E12000007,2021-04-22,0.7,316246
region,London,E12000007,2021-04-21,0.7,320180
region,London,E12000007,2021-04-20,0.7,314095
region,London,E12000007,2021-04-19,0.7,308658
region,London,E12000007,2021-04-18,0.7,296455
region,London,E12000007,2021-04-17,0.8,287996
region,London,E12000007,2021-04-16,0.8,277016
region,London,E12000007,2021-04-15,0.9,260764
region,London,E12000007,2021-04-14,1.0,241640
region,London,E12000007,2021-04-13,1.1,225821
region,London,E12000007,2021-04-12,1.1,218896
region,London,E12000007,2021-04-11,1.1,210661
region,London,E12000007,2021-04-10,1.1,206606
region,London,E12000007,2021-04-09,1.1,205654
region,London,E12000007,2021-04-08,1.1,192410
region,London,E12000007,2021-04-07,1.2,189492
region,London,E12000007,2021-04-06,1.2,184944
region,London,E12000007,2021-04-05,1.2,180378
region,London,E12000007,2021-04-04,1.2,198554
region,London,E12000007,2021-04-03,1.3,201838
region,London,E12000007,2021-04-02,1.3,203595
region,London,E12000007,2021-04-01,1.3,214408
region,London,E12000007,2021-03-31,1.3,217117
region,London,E12000007,2021-03-30,1.4,219500
region,London,E12000007,2021-03-29,1.4,222022
region,London,E12000007,2021-03-28,1.4,226910
region,London,E12000007,2021-03-27,1.4,228142
region,London,E12000007,2021-03-26,1.4,229807
region,London,E12000007,2021-03-25,1.4,228660
region,London,E12000007,2021-03-24,1.4,227709
region,London,E12000007,2021-03-23,1.4,227491
region,London,E12000007,2021-03-22,1.5,225903
region,London,E12000007,2021-03-21,1.5,226905
region,London,E12000007,2021-03-20,1.5,224864
region,London,E12000007,2021-03-19,1.5,223893
region,London,E12000007,2021-03-18,1.5,222094
region,London,E12000007,2021-03-17,1.6,220656
region,London,E12000007,2021-03-16,1.6,217320
region,London,E12000007,2021-03-15,1.7,214127
region,London,E12000007,2021-03-14,1.7,217060
region,London,E12000007,2021-03-13,1.7,218960
region,London,E12000007,2021-03-12,1.7,220337
region,London,E12000007,2021-03-11,1.7,219941
region,London,E12000007,2021-03-10,1.8,220830
region,London,E12000007,2021-03-09,1.8,221575
region,London,E12000007,2021-03-08,1.9,220674
region,London,E12000007,2021-03-07,1.9,223430
region,London,E12000007,2021-03-06,2.0,221428
region,London,E12000007,2021-03-05,2.1,219753
region,London,E12000007,2021-03-04,2.2,218057
region,London,E12000007,2021-03-03,2.3,215693
region,London,E12000007,2021-03-02,2.4,212259
region,London,E12000007,2021-03-01,2.6,207734
region,London,E12000007,2021-02-28,2.9,205365
region,London,E12000007,2021-02-27,3.1,201935
region,London,E12000007,2021-02-26,3.3,198284
region,London,E12000007,2021-02-25,3.6,195534
region,London,E12000007,2021-02-24,3.8,195167
region,London,E12000007,2021-02-23,4.1,194800
region,London,E12000007,2021-02-22,4.2,194371
region,London,E12000007,2021-02-21,4.5,194514
region,London,E12000007,2021-02-20,4.7,193342
region,London,E12000007,2021-02-19,4.8,192453
region,London,E12000007,2021-02-18,5.0,192176
region,London,E12000007,2021-02-17,5.2,192494
region,London,E12000007,2021-02-16,5.5,193544
region,London,E12000007,2021-02-15,5.8,194337
region,London,E12000007,2021-02-14,6.0,195951
region,London,E12000007,2021-02-13,6.2,198259
region,London,E12000007,2021-02-12,6.6,201109
region,London,E12000007,2021-02-11,6.9,204584
region,London,E12000007,2021-02-10,7.3,209404
region,London,E12000007,2021-02-09,7.8,214638
region,London,E12000007,2021-02-08,8.2,221327
region,London,E12000007,2021-02-07,8.7,226713
region,London,E12000007,2021-02-06,9.2,226939
region,London,E12000007,2021-02-05,9.7,227305
region,London,E12000007,2021-02-04,10.3,230132
region,London,E12000007,2021-02-03,10.5,242342
region,London,E12000007,2021-02-02,11.2,242968
region,London,E12000007,2021-02-01,11.7,245166
region,London,E12000007,2021-01-31,12.2,251633
region,London,E12000007,2021-01-30,12.6,253352
region,London,E12000007,2021-01-29,13.1,257241
region,London,E12000007,2021-01-28,14.0,259499
region,London,E12000007,2021-01-27,15.3,253014
region,London,E12000007,2021-01-26,15.9,257457
region,London,E12000007,2021-01-25,16.6,266218
region,London,E12000007,2021-01-24,17.3,276650
region,London,E12000007,2021-01-23,17.8,283708
region,London,E12000007,2021-01-22,18.3,288021
region,London,E12000007,2021-01-21,18.9,293077
region,London,E12000007,2021-01-20,19.7,298715
region,London,E12000007,2021-01-19,20.2,306933
region,London,E12000007,2021-01-18,20.5,316294
region,London,E12000007,2021-01-17,20.7,327102
region,London,E12000007,2021-01-16,20.9,334087
region,London,E12000007,2021-01-15,21.1,343335
region,London,E12000007,2021-01-14,21.2,352314
region,London,E12000007,2021-01-13,21.4,363486
region,London,E12000007,2021-01-12,21.8,376241
region,London,E12000007,2021-01-11,22.5,386894
region,London,E12000007,2021-01-10,23.1,401369
region,London,E12000007,2021-01-09,23.9,412209
region,London,E12000007,2021-01-08,24.3,425946
region,London,E12000007,2021-01-07,25.1,397011
region,London,E12000007,2021-01-06,25.7,388763
region,London,E12000007,2021-01-05,25.8,401848
region,London,E12000007,2021-01-04,26.2,414211
region,London,E12000007,2021-01-03,26.3,386160
region,London,E12000007,2021-01-02,26.5,382124
region,London,E12000007,2021-01-01,27.5,361460
region,London,E12000007,2020-12-31,27.8,348143
region,London,E12000007,2020-12-30,27.7,336833
region,London,E12000007,2020-12-29,26.6,329522
region,London,E12000007,2020-12-28,24.1,334438
region,London,E12000007,2020-12-27,21.6,384286
region,London,E12000007,2020-12-26,19.6,399057
region,London,E12000007,2020-12-25,17.7,411594
region,London,E12000007,2020-12-24,17.0,468717
region,London,E12000007,2020-12-23,16.2,493621
region,London,E12000007,2020-12-22,15.7,493457
region,London,E12000007,2020-12-21,15.2,477311
region,London,E12000007,2020-12-20,14.9,453058
region,London,E12000007,2020-12-19,14.9,432300
region,London,E12000007,2020-12-18,14.8,417202
region,London,E12000007,2020-12-17,14.5,388004
region,London,E12000007,2020-12-16,14.0,361128
region,London,E12000007,2020-12-15,13.4,334397
region,London,E12000007,2020-12-14,12.7,311637
region,London,E12000007,2020-12-13,12.0,289817
region,London,E12000007,2020-12-12,11.4,274755
region,London,E12000007,2020-12-11,11.0,262543
region,London,E12000007,2020-12-10,10.6,249229
region,London,E12000007,2020-12-09,10.0,237600
region,London,E12000007,2020-12-08,9.6,231241
region,London,E12000007,2020-12-07,9.2,227415
region,London,E12000007,2020-12-06,8.8,225029
region,London,E12000007,2020-12-05,8.6,222642
region,London,E12000007,2020-12-04,8.4,220707
region,London,E12000007,2020-12-03,8.2,216530
region,London,E12000007,2020-12-02,8.1,214456
region,London,E12000007,2020-12-01,7.9,211742
region,London,E12000007,2020-11-30,7.8,211803
region,London,E12000007,2020-11-29,7.7,211995
region,London,E12000007,2020-11-28,7.7,210789
region,London,E12000007,2020-11-27,7.7,209980
region,London,E12000007,2020-11-26,7.7,208955
region,London,E12000007,2020-11-25,7.9,206738
region,London,E12000007,2020-11-24,8.1,204391
region,London,E12000007,2020-11-23,8.3,205390
region,London,E12000007,2020-11-22,8.5,207862
region,London,E12000007,2020-11-21,8.7,207186
region,London,E12000007,2020-11-20,8.9,206295
region,London,E12000007,2020-11-19,9.2,206947
region,London,E12000007,2020-11-18,9.4,207641
region,London,E12000007,2020-11-17,9.5,209489
region,London,E12000007,2020-11-16,9.6,209200
region,London,E12000007,2020-11-15,9.6,208056
region,London,E12000007,2020-11-14,9.3,214909
region,London,E12000007,2020-11-13,9.0,222554
region,London,E12000007,2020-11-12,8.4,229434
region,London,E12000007,2020-11-11,7.9,235808
region,London,E12000007,2020-11-10,7.3,245001
region,London,E12000007,2020-11-09,6.6,265495
region,London,E12000007,2020-11-08,5.9,300056
region,London,E12000007,2020-11-07,5.8,302480
region,London,E12000007,2020-11-06,5.7,307289
region,London,E12000007,2020-11-05,5.6,316549
region,London,E12000007,2020-11-04,5.5,327440
region,London,E12000007,2020-11-03,5.6,314876
region,London,E12000007,2020-11-02,5.9,294546
region,London,E12000007,2020-11-01,6.2,260514
region,London,E12000007,2020-10-31,6.3,248274
region,London,E12000007,2020-10-30,6.6,232864
region,London,E12000007,2020-10-29,7.1,211202
region,London,E12000007,2020-10-28,7.7,190760
region,London,E12000007,2020-10-27,7.7,193957
region,London,E12000007,2020-10-26,7.7,198219
region,London,E12000007,2020-10-25,7.4,201006
region,London,E12000007,2020-10-24,7.4,201543
region,London,E12000007,2020-10-23,7.3,199923
region,London,E12000007,2020-10-22,7.1,198880
region,London,E12000007,2020-10-21,6.9,198365
region,London,E12000007,2020-10-20,6.6,195631
region,London,E12000007,2020-10-19,6.2,193176
region,London,E12000007,2020-10-18,5.9,189774
region,London,E12000007,2020-10-17,5.7,187270
region,London,E12000007,2020-10-16,5.6,185961
region,London,E12000007,2020-10-15,5.5,183526
region,London,E12000007,2020-10-14,5.3,182262
region,London,E12000007,2020-10-13,5.2,182344
region,London,E12000007,2020-10-12,5.1,181856
region,London,E12000007,2020-10-11,4.9,181096
region,London,E12000007,2020-10-10,4.9,182488
region,London,E12000007,2020-10-09,4.8,184085
region,London,E12000007,2020-10-08,4.7,182177
region,London,E12000007,2020-10-07,4.6,178180
region,London,E12000007,2020-10-06,4.4,174505
region,London,E12000007,2020-10-05,4.2,171580
region,London,E12000007,2020-10-04,3.9,168961
region,London,E12000007,2020-10-03,3.8,168282
region,London,E12000007,2020-10-02,3.6,165901
region,London,E12000007,2020-10-01,3.4,162569
region,London,E12000007,2020-09-30,3.2,159304
region,London,E12000007,2020-09-29,3.0,157317
region,London,E12000007,2020-09-28,2.9,157998
