areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
region,London,E12000007,2021-07-19,1394,845703
region,London,E12000007,2021-07-18,3327,844309
region,London,E12000007,2021-07-17,4585,840982
region,London,E12000007,2021-07-16,6876,836397
region,London,E12000007,2021-07-15,7575,829521
region,London,E12000007,2021-07-14,6352,821946
region,London,E12000007,2021-07-13,5160,815594
region,London,E12000007,2021-07-12,4862,810434
region,London,E12000007,2021-07-11,3213,805572
region,London,E12000007,2021-07-10,3178,802359
region,London,E12000007,2021-07-09,3577,799181
region,London,E12000007,2021-07-08,3582,795604
region,London,E12000007,2021-07-07,4403,792022
region,London,E12000007,2021-07-06,3926,787619
region,London,E12000007,2021-07-05,3753,783693
region,London,E12000007,2021-07-04,2568,779940
region,London,E12000007,2021-07-03,2614,777372
region,London,E12000007,2021-07-02,2877,774758
region,London,E12000007,2021-07-01,3010,771881
region,London,E12000007,2021-06-30,3006,768871
region,London,E12000007,2021-06-29,2920,765865
region,London,E12000007,2021-06-28,2809,762945
region,London,E12000007,2021-06-27,1851,760136
region,London,E12000007,2021-06-26,1683,758285
region,London,E12000007,2021-06-25,2004,756602
region,London,E12000007,2021-06-24,1896,754598
region,London,E12000007,2021-06-23,1919,752702
region,London,E12000007,2021-06-22,1736,750783
region,London,E12000007,2021-06-21,1624,749047
region,London,E12000007,2021-06-20,950,747423
region,London,E12000007,2021-06-19,899,746473
region,London,E12000007,2021-06-18,992,745574
region,London,E12000007,2021-06-17,1259,744582
region,London,E12000007,2021-06-16,1137,743323
region,London,E12000007,2021-06-15,1256,742186
region,London,E12000007,2021-06-14,1172,740930
region,London,E12000007,2021-06-13,749,739758
region,London,E12000007,2021-06-12,751,739009
region,London,E12000007,2021-06-11,913,738258
region,London,E12000007,2021-06-10,977,737345
region,London,E12000007,2021-06-09,1041,736368
region,London,E12000007,2021-06-08,1058,735327
region,London,E12000007,2021-06-07,984,734269
region,London,E12000007,2021-06-06,649,733285
region,London,E12000007,2021-06-05,584,732636
region,London,E12000007,2021-06-04,683,732052
region,London,E12000007,2021-06-03,767,731369
region,London,E12000007,2021-06-02,794,730602
region,London,E12000007,2021-06-01,681,729808
region,London,E12000007,2021-05-31,473,729127
region,London,E12000007,2021-05-30,388,728654
region,London,E12000007,2021-05-29,375,728266
region,London,E12000007,2021-05-28,411,727891
region,London,E12000007,2021-05-27,500,727480
region,London,E12000007,2021-05-26,472,726980
region,London,E12000007,2021-05-25,399,726508
region,London,E12000007,2021-05-24,356,726109
region,London,E12000007,2021-05-23,267,725753
region,London,E12000007,2021-05-22,235,725486
region,London,E12000007,2021-05-21,262,725251
region,London,E12000007,2021-05-20,314,724989
region,London,E12000007,2021-05-19,337,724675
region,London,E12000007,2021-05-18,312,724338
region,London,E12000007,2021-05-17,324,724026
region,London,E12000007,2021-05-16,205,723702
region,London,E12000007,2021-05-15,184,723497
region,London,E12000007,2021-05-14,237,723313
region,London,E12000007,2021-05-13,246,723076
region,London,E12000007,2021-05-12,219,722830
region,London,E12000007,2021-05-11,278,722611
region,London,E12000007,2021-05-10,337,722333
region,London,E12000007,2021-05-09,260,721996
region,London,E12000007,2021-05-08,177,721736
region,London,E12000007,2021-05-07,226,721559
region,London,E12000007,2021-05-06,278,721333
region,London,E12000007,2021-05-05,264,721055
region,London,E12000007,2021-05-04,291,720791
region,London,E12000007,2021-05-03,234,720500
region,London,E12000007,2021-05-02,173,720266
region,London,E12000007,2021-05-01,167,720093
region,London,E12000007,2021-04-30,222,719926
region,London,E12000007,2021-04-29,196,719704
region,London,E12000007,2021-04-28,286,719508
region,London,E12000007,2021-04-27,270,719222
region,London,E12000007,2021-04-26,292,718952
region,London,E12000007,2021-04-25,263,718660
region,London,E12000007,2021-04-24,221,718397
region,London,E12000007,2021-04-23,231,718176
region,London,E12000007,2021-04-22,299,717945
region,London,E12000007,2021-04-21,343,717646
region,London,E12000007,2021-04-20,338,717303
region,London,E12000007,2021-04-19,360,716965
region,London,E12000007,2021-04-18,360,716605
region,London,E12000007,2021-04-17,218,716245
region,London,E12000007,2021-04-16,300,716027
region,London,E12000007,2021-04-15,297,715727
region,London,E12000007,2021-04-14,264,715430
region,London,E12000007,2021-04-13,277,715166
region,London,E12000007,2021-04-12,328,714889
region,London,E12000007,2021-04-11,292,714561
region,London,E12000007,2021-04-10,275,714269
region,London,E12000007,2021-04-09,350,713994
region,London,E12000007,2021-04-08,309,713644
region,London,E12000007,2021-04-07,339,713335
region,London,E12000007,2021-04-06,331,712996
region,London,E12000007,2021-04-05,242,712665
region,London,E12000007,2021-04-04,212,712423
region,London,E12000007,2021-04-03,239,712211
region,London,E12000007,2021-04-02,250,711972
region,London,E12000007,2021-04-01,335,711722
region,London,E12000007,2021-03-31,302,711387
region,London,E12000007,2021-03-30,357,711085
region,London,E12000007,2021-03-29,400,710728
region,London,E12000007,2021-03-28,468,710328
region,London,E12000007,2021-03-27,298,709860
region,London,E12000007,2021-03-26,423,709562
region,London,E12000007,2021-03-25,454,709139
region,London,E12000007,2021-03-24,609,708685
region,London,E12000007,2021-03-23,476,708076
region,London,E12000007,2021-03-22,534,707600
region,London,E12000007,2021-03-21,456,707066
region,London,E12000007,2021-03-20,374,706610
region,London,E12000007,2021-03-19,440,706236
region,London,E12000007,2021-03-18,476,705796
region,London,E12000007,2021-03-17,453,705320
region,London,E12000007,2021-03-16,505,704867
region,London,E12000007,2021-03-15,596,704362
region,London,E12000007,2021-03-14,362,703766
region,London,E12000007,2021-03-13,363,703404
region,London,E12000007,2021-03-12,510,703041
region,London,E12000007,2021-03-11,453,702531
region,London,E12000007,2021-03-10,528,702078
region,London,E12000007,2021-03-09,588,701550
region,London,E12000007,2021-03-08,561,700962
region,London,E12000007,2021-03-07,409,700401
region,London,E12000007,2021-03-06,399,699992
region,London,E12000007,2021-03-05,500,699593
region,London,E12000007,2021-03-04,509,699093
region,London,E12000007,2021-03-03,579,698584
region,London,E12000007,2021-03-02,657,698005
region,London,E12000007,2021-03-01,551,697348
region,London,E12000007,2021-02-28,473,696797
region,London,E12000007,2021-02-27,500,696324
region,London,E12000007,2021-02-26,620,695824
region,London,E12000007,2021-02-25,649,695204
region,London,E12000007,2021-02-24,728,694555
region,London,E12000007,2021-02-23,917,693827
region,London,E12000007,2021-02-22,1020,692910
region,London,E12000007,2021-02-21,737,691890
region,London,E12000007,2021-02-20,798,691153
region,London,E12000007,2021-02-19,1025,690355
region,London,E12000007,2021-02-18,1102,689330
region,London,E12000007,2021-02-17,1086,688228
region,London,E12000007,2021-02-16,1196,687142
region,London,E12000007,2021-02-15,1378,685946
region,London,E12000007,2021-02-14,881,684568
region,London,E12000007,2021-02-13,865,683687
region,London,E12000007,2021-02-12,1272,682822
region,London,E12000007,2021-02-11,1437,681550
region,London,E12000007,2021-02-10,1530,680113
