Date,Rate,Lower,Upper
2020-12-15,2.13,1.93,2.34
2020-12-09,1.4,1.24,1.56
2020-12-02,1,0.87,1.13
2020-10-20,0.79,0.67,0.91
2020-10-28,0.82,0.69,0.97
2020-11-11,1.04,0.9,1.2
2020-11-18,0.88,0.76,1.01
2020-11-25,0.65,0.55,0.75
2020-11-03,0.76,0.64,0.89
2020-10-13,0.59,0.5,0.69
2020-06-18,0.14,0.04,0.32
2020-06-25,0.1,0.03,0.23
2020-07-02,0.12,0.04,0.24
2020-07-09,0.07,0.02,0.15
2020-07-16,0.09,0.03,0.2
2020-07-23,0.13,0.05,0.3
2020-07-30,0.07,0.02,0.15
2020-08-10,0.05,0.01,0.1
2020-08-17,0.07,0.02,0.13
2020-08-24,0.05,0.02,0.11
2020-09-07,0.17,0.1,0.28
2020-09-21,0.27,0.19,0.36
2020-09-28,0.29,0.22,0.37
2020-10-05,0.45,0.36,0.54
2020-10-20,0.79,0.67,0.91
2020-09-02,0.1,0.05,0.18
2020-08-06,0.05,0.01,0.11
2020-09-16,0.23,0.15,0.33
2020-06-25,0.09,0.03,0.19
2020-12-30,3.56,3.26,3.87
2021-01-13,2.89,2.68,3.11
2021-01-20,2.71,2.52,2.91
2021-01-27,2.09,1.92,2.26
2021-02-03,1.62,1.48,1.76
2021-02-09,1.02,0.9,1.15
2021-02-16,0.8,0.69,0.92
2021-02-24,0.51,0.42,0.61
2021-03-03,0.31,0.24,0.4
2021-03-10,0.23,0.17,0.31
2021-03-17,0.25,0.19,0.33
2021-03-24,0.26,0.19,0.34
2021-03-31,0.27,0.2,0.36
2021-04-07,0.19,0.13,0.26
2021-04-13,0.15,0.1,0.21
2021-04-21,0.11,0.07,0.17
2021-04-29,0.13,0.08,0.19
2021-05-05,0.1,0.06,0.15
2021-05-12,0.1,0.06,0.15
2021-05-19,0.13,0.08,0.18
2021-05-26,0.17,0.11,0.24
2021-06-02,0.22,0.15,0.3
2021-06-09,0.2,0.14,0.28
2021-06-16,0.18,0.12,0.24
2021-06-23,0.29,0.21,0.4
2021-06-30,0.53,0.42,0.66
2021-07-07,1.02,0.84,1.21
