Date,Rate,Lower,Upper
2020-05-09,0.33,0.13,0.7
2020-05-23,0,0,0.2
2020-06-06,0.08,0,0.45
2020-06-20,0.19,0.03,0.6
2020-07-04,0.11,0.03,0.3
2020-07-18,0.24,0.07,0.57
2020-08-01,0.03,0,0.16
2020-08-15,0.07,0.01,0.29
2020-08-29,0.14,0.06,0.26
2020-09-12,0.26,0.16,0.39
2020-09-26,0.37,0.28,0.46
2020-10-10,0.68,0.58,0.78
2020-10-14,0.93,0.81,1.07
2020-11-07,1.14,1.01,1.29
2020-11-21,0.92,0.81,1.05
2020-12-05,1.5,1.36,1.66
2020-12-19,3.01,2.76,3.26
2021-01-02,3.51,3.29,3.74
2021-01-16,3.2,2.99,3.42
2021-01-30,2.03,1.87,2.2
2021-02-13,0.93,0.82,1.05
2021-02-27,0.45,0.37,0.53
2021-03-13,0.25,0.2,0.33
2021-03-27,0.3,0.23,0.39
2021-04-10,0.17,0.12,0.24
2021-04-14,0.1,0.07,0.14
2021-05-08,0.09,0.06,0.14
2021-05-22,0.2,0.14,0.28
2021-06-05,0.22,0.16,0.31
2021-06-19,0.26,0.2,0.34
2021-07-03,0.85,0.72,1
