areaType,areaName,areaCode,date,newLFDTests,cumLFDTests
region,North East,E12000001,2021-07-19,30423,5255453
region,North East,E12000001,2021-07-18,30886,5225030
region,North East,E12000001,2021-07-17,17023,5194144
region,North East,E12000001,2021-07-16,24817,5177121
region,North East,E12000001,2021-07-15,33491,5152304
region,North East,E12000001,2021-07-14,39972,5118813
region,North East,E12000001,2021-07-13,28398,5078841
region,North East,E12000001,2021-07-12,38618,5050443
region,North East,E12000001,2021-07-11,38649,5011825
region,North East,E12000001,2021-07-10,18059,4973176
region,North East,E12000001,2021-07-09,25430,4955117
region,North East,E12000001,2021-07-08,34261,4929687
region,North East,E12000001,2021-07-07,41154,4895426
region,North East,E12000001,2021-07-06,29281,4854272
region,North East,E12000001,2021-07-05,41629,4824991
region,North East,E12000001,2021-07-04,45334,4783362
region,North East,E12000001,2021-07-03,17340,4738028
region,North East,E12000001,2021-07-02,25388,4720688
region,North East,E12000001,2021-07-01,35772,4695300
region,North East,E12000001,2021-06-30,42994,4659528
region,North East,E12000001,2021-06-29,26071,4616534
region,North East,E12000001,2021-06-28,41242,4590463
region,North East,E12000001,2021-06-27,45923,4549221
region,North East,E12000001,2021-06-26,15223,4503298
region,North East,E12000001,2021-06-25,23949,4488075
region,North East,E12000001,2021-06-24,33799,4464126
region,North East,E12000001,2021-06-23,40695,4430327
region,North East,E12000001,2021-06-22,23696,4389632
region,North East,E12000001,2021-06-21,37843,4365936
region,North East,E12000001,2021-06-20,42147,4328093
region,North East,E12000001,2021-06-19,13239,4285946
region,North East,E12000001,2021-06-18,21550,4272707
region,North East,E12000001,2021-06-17,32032,4251157
region,North East,E12000001,2021-06-16,37208,4219125
region,North East,E12000001,2021-06-15,22396,4181917
region,North East,E12000001,2021-06-14,36923,4159521
region,North East,E12000001,2021-06-13,39189,4122598
region,North East,E12000001,2021-06-12,11476,4083409
region,North East,E12000001,2021-06-11,19773,4071933
region,North East,E12000001,2021-06-10,28552,4052160
region,North East,E12000001,2021-06-09,34150,4023608
region,North East,E12000001,2021-06-08,19170,3989458
region,North East,E12000001,2021-06-07,33665,3970288
region,North East,E12000001,2021-06-06,48442,3936623
region,North East,E12000001,2021-06-05,12134,3888181
region,North East,E12000001,2021-06-04,18324,3876047
region,North East,E12000001,2021-06-03,22976,3857723
region,North East,E12000001,2021-06-02,26456,3834747
region,North East,E12000001,2021-06-01,23723,3808291
region,North East,E12000001,2021-05-31,22922,3784568
region,North East,E12000001,2021-05-30,21004,3761646
region,North East,E12000001,2021-05-29,10471,3740642
region,North East,E12000001,2021-05-28,18523,3730171
region,North East,E12000001,2021-05-27,29332,3711648
region,North East,E12000001,2021-05-26,38492,3682316
region,North East,E12000001,2021-05-25,21754,3643824
region,North East,E12000001,2021-05-24,36553,3622070
region,North East,E12000001,2021-05-23,45328,3585517
region,North East,E12000001,2021-05-22,11653,3540189
region,North East,E12000001,2021-05-21,20186,3528536
region,North East,E12000001,2021-05-20,32540,3508350
region,North East,E12000001,2021-05-19,39709,3475810
region,North East,E12000001,2021-05-18,20662,3436101
region,North East,E12000001,2021-05-17,37247,3415439
region,North East,E12000001,2021-05-16,45969,3378192
region,North East,E12000001,2021-05-15,9656,3332223
region,North East,E12000001,2021-05-14,18409,3322567
region,North East,E12000001,2021-05-13,32378,3304158
