areaType,areaName,areaCode,date,uniqueCasePositivityBySpecimenDateRollingSum,uniquePeopleTestedBySpecimenDateRollingSum
region,North East,E12000001,2021-07-15,17.8,143867
region,North East,E12000001,2021-07-14,17.0,142679
region,North East,E12000001,2021-07-13,16.7,143098
region,North East,E12000001,2021-07-12,16.1,144966
region,North East,E12000001,2021-07-11,15.4,148016
region,North East,E12000001,2021-07-10,15.1,148427
region,North East,E12000001,2021-07-09,14.8,147279
region,North East,E12000001,2021-07-08,14.3,146151
region,North East,E12000001,2021-07-07,13.9,146256
region,North East,E12000001,2021-07-06,13.2,143607
region,North East,E12000001,2021-07-05,12.6,140171
region,North East,E12000001,2021-07-04,12.0,138184
region,North East,E12000001,2021-07-03,11.7,135575
region,North East,E12000001,2021-07-02,11.3,132560
region,North East,E12000001,2021-07-01,11.1,128423
region,North East,E12000001,2021-06-30,10.6,122569
region,North East,E12000001,2021-06-29,10.0,117371
region,North East,E12000001,2021-06-28,9.3,113590
region,North East,E12000001,2021-06-27,8.4,110429
region,North East,E12000001,2021-06-26,7.8,107899
region,North East,E12000001,2021-06-25,7.3,105066
region,North East,E12000001,2021-06-24,6.8,101322
region,North East,E12000001,2021-06-23,6.3,98786
region,North East,E12000001,2021-06-22,5.9,95354
region,North East,E12000001,2021-06-21,5.5,92994
region,North East,E12000001,2021-06-20,5.1,90698
region,North East,E12000001,2021-06-19,4.9,89146
region,North East,E12000001,2021-06-18,4.7,87383
region,North East,E12000001,2021-06-17,4.4,83506
region,North East,E12000001,2021-06-16,4.2,79714
region,North East,E12000001,2021-06-15,3.9,77088
region,North East,E12000001,2021-06-14,3.5,75656
region,North East,E12000001,2021-06-13,3.1,75080
region,North East,E12000001,2021-06-12,2.9,74867
region,North East,E12000001,2021-06-11,2.7,73701
region,North East,E12000001,2021-06-10,2.6,72091
region,North East,E12000001,2021-06-09,2.3,71775
region,North East,E12000001,2021-06-08,2.0,70703
region,North East,E12000001,2021-06-07,1.8,70908
region,North East,E12000001,2021-06-06,1.6,67585
region,North East,E12000001,2021-06-05,1.5,66271
region,North East,E12000001,2021-06-04,1.4,65225
region,North East,E12000001,2021-06-03,1.3,64264
region,North East,E12000001,2021-06-02,1.1,65130
region,North East,E12000001,2021-06-01,1.0,66183
region,North East,E12000001,2021-05-31,0.9,66494
region,North East,E12000001,2021-05-30,0.8,73749
region,North East,E12000001,2021-05-29,0.8,74504
region,North East,E12000001,2021-05-28,0.7,74999
region,North East,E12000001,2021-05-27,0.7,74518
region,North East,E12000001,2021-05-26,0.7,72014
region,North East,E12000001,2021-05-25,0.7,69365
region,North East,E12000001,2021-05-24,0.7,67235
region,North East,E12000001,2021-05-23,0.8,66657
region,North East,E12000001,2021-05-22,0.7,65848
region,North East,E12000001,2021-05-21,0.7,64712
region,North East,E12000001,2021-05-20,0.8,63657
region,North East,E12000001,2021-05-19,0.8,64150
region,North East,E12000001,2021-05-18,0.8,63796
region,North East,E12000001,2021-05-17,0.7,64508
region,North East,E12000001,2021-05-16,0.7,65763
region,North East,E12000001,2021-05-15,0.7,65685
region,North East,E12000001,2021-05-14,0.7,65292
region,North East,E12000001,2021-05-13,0.8,64892
region,North East,E12000001,2021-05-12,0.8,64717
region,North East,E12000001,2021-05-11,0.8,66001
region,North East,E12000001,2021-05-10,0.8,67701
region,North East,E12000001,2021-05-09,0.8,65509
region,North East,E12000001,2021-05-08,0.8,65068
region,North East,E12000001,2021-05-07,0.8,64524
region,North East,E12000001,2021-05-06,0.8,63193
region,North East,E12000001,2021-05-05,0.7,63160
region,North East,E12000001,2021-05-04,0.7,62053
region,North East,E12000001,2021-05-03,0.7,60290
region,North East,E12000001,2021-05-02,0.8,66236
region,North East,E12000001,2021-05-01,0.7,66479
region,North East,E12000001,2021-04-30,0.8,66625
region,North East,E12000001,2021-04-29,0.7,66838
region,North East,E12000001,2021-04-28,0.7,66848
region,North East,E12000001,2021-04-27,0.8,65379
region,North East,E12000001,2021-04-26,0.7,65053
region,North East,E12000001,2021-04-25,0.7,65433
region,North East,E12000001,2021-04-24,0.7,65528
region,North East,E12000001,2021-04-23,0.7,64822
region,North East,E12000001,2021-04-22,0.8,63715
region,North East,E12000001,2021-04-21,0.8,62671
region,North East,E12000001,2021-04-20,0.8,62263
region,North East,E12000001,2021-04-19,0.9,62555
region,North East,E12000001,2021-04-18,0.9,63233
region,North East,E12000001,2021-04-17,0.9,62850
region,North East,E12000001,2021-04-16,0.9,62879
region,North East,E12000001,2021-04-15,1.0,62558
region,North East,E12000001,2021-04-14,1.0,63377
region,North East,E12000001,2021-04-13,1.1,63606
region,North East,E12000001,2021-04-12,1.2,65029
region,North East,E12000001,2021-04-11,1.2,63434
region,North East,E12000001,2021-04-10,1.3,63183
region,North East,E12000001,2021-04-09,1.3,62490
region,North East,E12000001,2021-04-08,1.4,57802
region,North East,E12000001,2021-04-07,1.5,58341
region,North East,E12000001,2021-04-06,1.7,57631
region,North East,E12000001,2021-04-05,1.8,56412
region,North East,E12000001,2021-04-04,1.9,63121
region,North East,E12000001,2021-04-03,2.0,64142
region,North East,E12000001,2021-04-02,2.2,65334
region,North East,E12000001,2021-04-01,2.2,69345
region,North East,E12000001,2021-03-31,2.2,71184
region,North East,E12000001,2021-03-30,2.4,72937
region,North East,E12000001,2021-03-29,2.9,74273
region,North East,E12000001,2021-03-28,2.9,76321
region,North East,E12000001,2021-03-27,3.0,76728
region,North East,E12000001,2021-03-26,3.0,76680
region,North East,E12000001,2021-03-25,3.1,75973
region,North East,E12000001,2021-03-24,3.2,74779
region,North East,E12000001,2021-03-23,3.0,73838
region,North East,E12000001,2021-03-22,2.6,74634
region,North East,E12000001,2021-03-21,2.5,74635
region,North East,E12000001,2021-03-20,2.5,73927
region,North East,E12000001,2021-03-19,2.6,73027
region,North East,E12000001,2021-03-18,2.7,71066
region,North East,E12000001,2021-03-17,2.8,70058
region,North East,E12000001,2021-03-16,2.9,68418
region,North East,E12000001,2021-03-15,3.0,66408
region,North East,E12000001,2021-03-14,3.1,66310
region,North East,E12000001,2021-03-13,3.1,66315
region,North East,E12000001,2021-03-12,3.1,66136
region,North East,E12000001,2021-03-11,3.1,65940
region,North East,E12000001,2021-03-10,3.2,65265
region,North East,E12000001,2021-03-09,3.3,65018
region,North East,E12000001,2021-03-08,3.2,66806
region,North East,E12000001,2021-03-07,3.2,67621
region,North East,E12000001,2021-03-06,3.3,67614
region,North East,E12000001,2021-03-05,3.5,66692
region,North East,E12000001,2021-03-04,3.7,65882
region,North East,E12000001,2021-03-03,3.9,66596
region,North East,E12000001,2021-03-02,4.1,66182
region,North East,E12000001,2021-03-01,4.3,66034
region,North East,E12000001,2021-02-28,4.4,68218
region,North East,E12000001,2021-02-27,4.6,68770
region,North East,E12000001,2021-02-26,4.6,69231
region,North East,E12000001,2021-02-25,4.8,69017
region,North East,E12000001,2021-02-24,5.0,69585
region,North East,E12000001,2021-02-23,5.2,70353
region,North East,E12000001,2021-02-22,5.5,71867
region,North East,E12000001,2021-02-21,5.7,73682
region,North East,E12000001,2021-02-20,5.7,74617
region,North East,E12000001,2021-02-19,5.8,75785
region,North East,E12000001,2021-02-18,6.0,75368
region,North East,E12000001,2021-02-17,6.2,75413
region,North East,E12000001,2021-02-16,6.3,75561
region,North East,E12000001,2021-02-15,6.2,75491
region,North East,E12000001,2021-02-14,6.3,75334
region,North East,E12000001,2021-02-13,6.5,74855
region,North East,E12000001,2021-02-12,6.7,73798
region,North East,E12000001,2021-02-11,6.9,74177
region,North East,E12000001,2021-02-10,7.0,74684
region,North East,E12000001,2021-02-09,7.2,74889
region,North East,E12000001,2021-02-08,7.4,75978
region,North East,E12000001,2021-02-07,7.6,78034
region,North East,E12000001,2021-02-06,7.7,78301
region,North East,E12000001,2021-02-05,8.0,78525
region,North East,E12000001,2021-02-04,8.3,78413
region,North East,E12000001,2021-02-03,8.4,78555
region,North East,E12000001,2021-02-02,8.6,78534
region,North East,E12000001,2021-02-01,8.7,79847
region,North East,E12000001,2021-01-31,8.8,81734
region,North East,E12000001,2021-01-30,8.8,81664
region,North East,E12000001,2021-01-29,8.8,81575
region,North East,E12000001,2021-01-28,8.9,81676
region,North East,E12000001,2021-01-27,9.1,81911
region,North East,E12000001,2021-01-26,9.4,82356
region,North East,E12000001,2021-01-25,9.6,83099
region,North East,E12000001,2021-01-24,9.9,84839
region,North East,E12000001,2021-01-23,10.1,85659
region,North East,E12000001,2021-01-22,10.4,85894
region,North East,E12000001,2021-01-21,10.7,86069
region,North East,E12000001,2021-01-20,10.9,85780
region,North East,E12000001,2021-01-19,11.0,85810
region,North East,E12000001,2021-01-18,11.1,86956
region,North East,E12000001,2021-01-17,11.0,89142
region,North East,E12000001,2021-01-16,11.0,90259
region,North East,E12000001,2021-01-15,10.9,90586
region,North East,E12000001,2021-01-14,10.9,89724
region,North East,E12000001,2021-01-13,11.1,90809
region,North East,E12000001,2021-01-12,11.0,92736
region,North East,E12000001,2021-01-11,11.0,95096
region,North East,E12000001,2021-01-10,11.3,97879
