areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
region,North East,E12000001,2021-07-19,1265,279104
region,North East,E12000001,2021-07-18,2229,277839
region,North East,E12000001,2021-07-17,2510,275610
region,North East,E12000001,2021-07-16,3842,273100
region,North East,E12000001,2021-07-15,4519,269258
region,North East,E12000001,2021-07-14,4242,264739
region,North East,E12000001,2021-07-13,4097,260497
region,North East,E12000001,2021-07-12,3972,256400
region,North East,E12000001,2021-07-11,2871,252428
region,North East,E12000001,2021-07-10,2817,249557
region,North East,E12000001,2021-07-09,3095,246740
region,North East,E12000001,2021-07-08,3211,243645
region,North East,E12000001,2021-07-07,3684,240434
region,North East,E12000001,2021-07-06,3508,236750
region,North East,E12000001,2021-07-05,3395,233242
region,North East,E12000001,2021-07-04,2419,229847
region,North East,E12000001,2021-07-03,2244,227428
region,North East,E12000001,2021-07-02,2277,225184
region,North East,E12000001,2021-07-01,2548,222907
region,North East,E12000001,2021-06-30,2499,220359
region,North East,E12000001,2021-06-29,2371,217860
region,North East,E12000001,2021-06-28,2268,215489
region,North East,E12000001,2021-06-27,1593,213221
region,North East,E12000001,2021-06-26,1329,211628
region,North East,E12000001,2021-06-25,1499,210299
region,North East,E12000001,2021-06-24,1361,208800
region,North East,E12000001,2021-06-23,1322,207439
region,North East,E12000001,2021-06-22,1176,206117
region,North East,E12000001,2021-06-21,1068,204941
region,North East,E12000001,2021-06-20,681,203873
region,North East,E12000001,2021-06-19,615,203192
region,North East,E12000001,2021-06-18,704,202577
region,North East,E12000001,2021-06-17,739,201873
region,North East,E12000001,2021-06-16,642,201134
region,North East,E12000001,2021-06-15,639,200492
region,North East,E12000001,2021-06-14,659,199853
region,North East,E12000001,2021-06-13,399,199194
region,North East,E12000001,2021-06-12,355,198795
region,North East,E12000001,2021-06-11,397,198440
region,North East,E12000001,2021-06-10,394,198043
region,North East,E12000001,2021-06-09,366,197649
region,North East,E12000001,2021-06-08,309,197283
region,North East,E12000001,2021-06-07,293,196974
region,North East,E12000001,2021-06-06,213,196681
region,North East,E12000001,2021-06-05,154,196468
region,North East,E12000001,2021-06-04,190,196314
region,North East,E12000001,2021-06-03,218,196124
region,North East,E12000001,2021-06-02,151,195906
region,North East,E12000001,2021-06-01,129,195755
region,North East,E12000001,2021-05-31,90,195626
region,North East,E12000001,2021-05-30,85,195536
region,North East,E12000001,2021-05-29,100,195451
region,North East,E12000001,2021-05-28,100,195351
region,North East,E12000001,2021-05-27,92,195251
region,North East,E12000001,2021-05-26,93,195159
region,North East,E12000001,2021-05-25,92,195066
region,North East,E12000001,2021-05-24,78,194974
region,North East,E12000001,2021-05-23,79,194896
region,North East,E12000001,2021-05-22,53,194817
region,North East,E12000001,2021-05-21,63,194764
region,North East,E12000001,2021-05-20,65,194701
region,North East,E12000001,2021-05-19,79,194636
region,North East,E12000001,2021-05-18,92,194557
region,North East,E12000001,2021-05-17,98,194465
region,North East,E12000001,2021-05-16,74,194367
region,North East,E12000001,2021-05-15,48,194293
region,North East,E12000001,2021-05-14,62,194245
region,North East,E12000001,2021-05-13,77,194183
region,North East,E12000001,2021-05-12,74,194106
region,North East,E12000001,2021-05-11,94,194032
region,North East,E12000001,2021-05-10,67,193938
region,North East,E12000001,2021-05-09,97,193871
region,North East,E12000001,2021-05-08,59,193774
region,North East,E12000001,2021-05-07,73,193715
region,North East,E12000001,2021-05-06,81,193642
region,North East,E12000001,2021-05-05,86,193561
region,North East,E12000001,2021-05-04,115,193475
region,North East,E12000001,2021-05-03,68,193360
region,North East,E12000001,2021-05-02,54,193292
region,North East,E12000001,2021-05-01,50,193238
region,North East,E12000001,2021-04-30,67,193188
region,North East,E12000001,2021-04-29,68,193121
region,North East,E12000001,2021-04-28,80,193053
region,North East,E12000001,2021-04-27,99,192973
region,North East,E12000001,2021-04-26,105,192874
region,North East,E12000001,2021-04-25,89,192769
region,North East,E12000001,2021-04-24,56,192680
region,North East,E12000001,2021-04-23,74,192624
region,North East,E12000001,2021-04-22,57,192550
region,North East,E12000001,2021-04-21,102,192493
region,North East,E12000001,2021-04-20,79,192391
region,North East,E12000001,2021-04-19,94,192312
region,North East,E12000001,2021-04-18,92,192218
region,North East,E12000001,2021-04-17,65,192126
region,North East,E12000001,2021-04-16,87,192061
region,North East,E12000001,2021-04-15,73,191974
region,North East,E12000001,2021-04-14,91,191901
region,North East,E12000001,2021-04-13,56,191810
region,North East,E12000001,2021-04-12,87,191754
region,North East,E12000001,2021-04-11,114,191667
region,North East,E12000001,2021-04-10,79,191553
region,North East,E12000001,2021-04-09,92,191474
region,North East,E12000001,2021-04-08,98,191382
region,North East,E12000001,2021-04-07,114,191284
region,North East,E12000001,2021-04-06,130,191170
region,North East,E12000001,2021-04-05,127,191040
region,North East,E12000001,2021-04-04,103,190913
region,North East,E12000001,2021-04-03,99,190810
region,North East,E12000001,2021-04-02,96,190711
region,North East,E12000001,2021-04-01,147,190615
region,North East,E12000001,2021-03-31,217,190468
region,North East,E12000001,2021-03-30,175,190251
region,North East,E12000001,2021-03-29,222,190076
region,North East,E12000001,2021-03-28,261,189854
region,North East,E12000001,2021-03-27,204,189593
