Date,Rate,Lower,Upper
2020-05-09,0.16,0,0.87
2020-05-23,0,0,0.34
2020-06-06,0.11,0.01,0.4
2020-06-20,0,0,0.28
2020-07-04,0.06,0,0.35
2020-07-18,0.05,0,0.3
2020-08-01,0.04,0,0.23
2020-08-15,0,0,0.17
2020-08-29,0.09,0.01,0.37
2020-09-12,0.4,0.21,0.71
2020-09-26,1.15,0.85,1.52
2020-10-10,1.55,1.24,1.91
2020-10-14,1.66,1.35,2.03
2020-11-07,1.75,1.41,2.14
2020-11-21,2.02,1.66,2.44
2020-12-05,1.39,1.08,1.76
2020-12-19,1.24,0.93,1.62
2021-01-02,2.38,1.98,2.83
2021-01-16,2.05,1.67,2.5
2021-01-30,1.19,0.9,1.54
2021-02-13,0.95,0.68,1.29
2021-02-27,0.53,0.35,0.77
2021-03-13,0.51,0.31,0.8
2021-03-27,0.49,0.29,0.77
2021-04-10,0.22,0.1,0.41
2021-04-14,0.04,0.01,0.13
2021-05-08,0.18,0.06,0.39
2021-05-22,0.08,0.03,0.18
2021-06-05,0.22,0.09,0.45
2021-06-19,0.71,0.44,1.08
2021-07-03,1.82,1.39,2.34
