areaType,areaName,areaCode,date,newLFDTests,cumLFDTests
region,North West,E12000002,2021-07-19,80243,14732537
region,North West,E12000002,2021-07-18,78476,14652294
region,North West,E12000002,2021-07-17,42138,14573818
region,North West,E12000002,2021-07-16,64792,14531680
region,North West,E12000002,2021-07-15,87688,14466888
region,North West,E12000002,2021-07-14,96890,14379200
region,North West,E12000002,2021-07-13,70082,14282310
region,North West,E12000002,2021-07-12,101447,14212228
region,North West,E12000002,2021-07-11,93789,14110781
region,North West,E12000002,2021-07-10,42824,14016992
region,North West,E12000002,2021-07-09,64220,13974168
region,North West,E12000002,2021-07-08,91364,13909948
region,North West,E12000002,2021-07-07,103071,13818584
region,North West,E12000002,2021-07-06,73091,13715513
region,North West,E12000002,2021-07-05,112363,13642422
region,North West,E12000002,2021-07-04,113465,13530059
region,North West,E12000002,2021-07-03,41977,13416594
region,North West,E12000002,2021-07-02,66759,13374617
region,North West,E12000002,2021-07-01,99496,13307858
region,North West,E12000002,2021-06-30,111154,13208362
region,North West,E12000002,2021-06-29,74043,13097208
region,North West,E12000002,2021-06-28,116003,13023165
region,North West,E12000002,2021-06-27,118187,12907162
region,North West,E12000002,2021-06-26,38330,12788975
region,North West,E12000002,2021-06-25,65178,12750645
region,North West,E12000002,2021-06-24,98197,12685467
region,North West,E12000002,2021-06-23,114052,12587270
region,North West,E12000002,2021-06-22,69257,12473218
region,North West,E12000002,2021-06-21,110028,12403961
region,North West,E12000002,2021-06-20,120231,12293933
region,North West,E12000002,2021-06-19,37211,12173702
region,North West,E12000002,2021-06-18,61606,12136491
region,North West,E12000002,2021-06-17,93471,12074885
region,North West,E12000002,2021-06-16,109251,11981414
region,North West,E12000002,2021-06-15,66197,11872163
region,North West,E12000002,2021-06-14,107632,11805966
region,North West,E12000002,2021-06-13,114687,11698334
region,North West,E12000002,2021-06-12,35047,11583647
region,North West,E12000002,2021-06-11,58678,11548600
region,North West,E12000002,2021-06-10,85611,11489922
region,North West,E12000002,2021-06-09,102927,11404311
region,North West,E12000002,2021-06-08,58159,11301384
region,North West,E12000002,2021-06-07,96668,11243225
region,North West,E12000002,2021-06-06,128543,11146557
region,North West,E12000002,2021-06-05,30671,11018014
region,North West,E12000002,2021-06-04,48663,10987343
region,North West,E12000002,2021-06-03,65657,10938680
region,North West,E12000002,2021-06-02,68923,10873023
region,North West,E12000002,2021-06-01,60820,10804100
region,North West,E12000002,2021-05-31,57028,10743280
region,North West,E12000002,2021-05-30,51381,10686252
region,North West,E12000002,2021-05-29,28911,10634871
region,North West,E12000002,2021-05-28,49837,10605960
region,North West,E12000002,2021-05-27,77839,10556123
region,North West,E12000002,2021-05-26,99503,10478284
region,North West,E12000002,2021-05-25,57745,10378781
region,North West,E12000002,2021-05-24,96549,10321036
region,North West,E12000002,2021-05-23,117255,10224487
region,North West,E12000002,2021-05-22,30730,10107232
region,North West,E12000002,2021-05-21,51299,10076502
region,North West,E12000002,2021-05-20,85559,10025203
region,North West,E12000002,2021-05-19,105280,9939644
region,North West,E12000002,2021-05-18,57537,9834364
region,North West,E12000002,2021-05-17,101720,9776827
region,North West,E12000002,2021-05-16,118101,9675107
region,North West,E12000002,2021-05-15,26520,9557006
region,North West,E12000002,2021-05-14,48620,9530486
region,North West,E12000002,2021-05-13,84189,9481866
region,North West,E12000002,2021-05-12,105855,9397677
region,North West,E12000002,2021-05-11,53419,9291822
region,North West,E12000002,2021-05-10,99400,9238403
region,North West,E12000002,2021-05-09,134489,9139003
region,North West,E12000002,2021-05-08,26822,9004514
region,North West,E12000002,2021-05-07,52151,8977692
region,North West,E12000002,2021-05-06,88369,8925541
region,North West,E12000002,2021-05-05,109511,8837172
region,North West,E12000002,2021-05-04,84593,8727661
region,North West,E12000002,2021-05-03,116351,8643068
region,North West,E12000002,2021-05-02,77957,8526717
region,North West,E12000002,2021-05-01,32577,8448760
region,North West,E12000002,2021-04-30,51462,8416183
region,North West,E12000002,2021-04-29,94387,8364721
region,North West,E12000002,2021-04-28,123036,8270334
region,North West,E12000002,2021-04-27,58137,8147298
region,North West,E12000002,2021-04-26,108052,8089161
region,North West,E12000002,2021-04-25,148468,7981109
region,North West,E12000002,2021-04-24,27290,7832641
region,North West,E12000002,2021-04-23,49536,7805351
region,North West,E12000002,2021-04-22,95657,7755815
region,North West,E12000002,2021-04-21,127753,7660158
region,North West,E12000002,2021-04-20,57323,7532405
region,North West,E12000002,2021-04-19,108466,7475082
region,North West,E12000002,2021-04-18,178457,7366616
region,North West,E12000002,2021-04-17,26175,7188159
region,North West,E12000002,2021-04-16,48600,7161984
