areaType,areaName,areaCode,date,uniqueCasePositivityBySpecimenDateRollingSum,uniquePeopleTestedBySpecimenDateRollingSum
region,North West,E12000002,2021-07-15,12.599999999999999645,324460
region,North West,E12000002,2021-07-14,11.800000000000000711,323203
region,North West,E12000002,2021-07-13,11.400000000000000355,322215
region,North West,E12000002,2021-07-12,11,325933
region,North West,E12000002,2021-07-11,10.599999999999999645,331805
region,North West,E12000002,2021-07-10,10.400000000000000355,332726
region,North West,E12000002,2021-07-09,10.199999999999999289,333826
region,North West,E12000002,2021-07-08,10,335152
region,North West,E12000002,2021-07-07,9.9000000000000003553,337342
region,North West,E12000002,2021-07-06,9.5999999999999996447,337420
region,North West,E12000002,2021-07-05,9.5,335723
region,North West,E12000002,2021-07-04,9.4000000000000003553,339556
region,North West,E12000002,2021-07-03,9.3000000000000007105,337944
region,North West,E12000002,2021-07-02,9.1999999999999992895,333761
region,North West,E12000002,2021-07-01,9.0999999999999996447,328556
region,North West,E12000002,2021-06-30,8.8000000000000007105,324780
region,North West,E12000002,2021-06-29,8.5999999999999996447,318220
region,North West,E12000002,2021-06-28,8.1999999999999992895,314458
region,North West,E12000002,2021-06-27,7.7999999999999998224,311273
region,North West,E12000002,2021-06-26,7.5,310128
region,North West,E12000002,2021-06-25,7.2999999999999998224,308112
region,North West,E12000002,2021-06-24,7.0999999999999996447,304439
region,North West,E12000002,2021-06-23,6.9000000000000003553,298980
region,North West,E12000002,2021-06-22,6.7000000000000001776,293776
region,North West,E12000002,2021-06-21,6.5,290921
region,North West,E12000002,2021-06-20,6.2999999999999998224,289023
region,North West,E12000002,2021-06-19,6.2000000000000001776,284901
region,North West,E12000002,2021-06-18,6.2000000000000001776,281308
region,North West,E12000002,2021-06-17,6.2000000000000001776,274591
region,North West,E12000002,2021-06-16,6.0999999999999996447,267260
region,North West,E12000002,2021-06-15,6.0999999999999996447,258977
region,North West,E12000002,2021-06-14,6.0999999999999996447,250270
region,North West,E12000002,2021-06-13,5.9000000000000003553,248102
region,North West,E12000002,2021-06-12,5.7999999999999998224,249369
region,North West,E12000002,2021-06-11,5.7000000000000001776,248765
region,North West,E12000002,2021-06-10,5.5999999999999996447,246048
region,North West,E12000002,2021-06-09,5.5999999999999996447,240842
region,North West,E12000002,2021-06-08,5.5,235400
region,North West,E12000002,2021-06-07,5.4000000000000003553,231032
region,North West,E12000002,2021-06-06,5.0999999999999996447,214715
region,North West,E12000002,2021-06-05,5,207710
region,North West,E12000002,2021-06-04,4.9000000000000003553,200905
region,North West,E12000002,2021-06-03,4.5999999999999996447,192676
region,North West,E12000002,2021-06-02,4.2999999999999998224,191123
region,North West,E12000002,2021-06-01,3.8999999999999999112,192987
region,North West,E12000002,2021-05-31,3.5,191305
region,North West,E12000002,2021-05-30,3.1000000000000000888,209158
region,North West,E12000002,2021-05-29,3,210348
region,North West,E12000002,2021-05-28,2.7999999999999998224,210414
region,North West,E12000002,2021-05-27,2.6000000000000000888,208433
region,North West,E12000002,2021-05-26,2.3999999999999999112,204510
region,North West,E12000002,2021-05-25,2.2000000000000001776,200349
region,North West,E12000002,2021-05-24,2.1000000000000000888,202300
region,North West,E12000002,2021-05-23,1.8999999999999999112,207486
region,North West,E12000002,2021-05-22,1.8000000000000000444,207579
region,North West,E12000002,2021-05-21,1.8000000000000000444,207118
region,North West,E12000002,2021-05-20,1.6999999999999999556,205844
region,North West,E12000002,2021-05-19,1.6999999999999999556,202616
region,North West,E12000002,2021-05-18,1.6000000000000000888,200978
region,North West,E12000002,2021-05-17,1.5,195764
region,North West,E12000002,2021-05-16,1.5,191959
region,North West,E12000002,2021-05-15,1.3999999999999999112,190074
region,North West,E12000002,2021-05-14,1.3999999999999999112,188008
region,North West,E12000002,2021-05-13,1.3999999999999999112,186979
region,North West,E12000002,2021-05-12,1.3999999999999999112,186878
region,North West,E12000002,2021-05-11,1.3999999999999999112,184663
region,North West,E12000002,2021-05-10,1.3000000000000000444,186447
region,North West,E12000002,2021-05-09,1.1999999999999999556,177644
region,North West,E12000002,2021-05-08,1.1999999999999999556,176092
region,North West,E12000002,2021-05-07,1.1999999999999999556,174656
region,North West,E12000002,2021-05-06,1.1000000000000000888,169389
region,North West,E12000002,2021-05-05,1.1000000000000000888,167178
region,North West,E12000002,2021-05-04,1.1000000000000000888,165223
region,North West,E12000002,2021-05-03,1,158083
region,North West,E12000002,2021-05-02,1,172861
region,North West,E12000002,2021-05-01,1,171544
region,North West,E12000002,2021-04-30,1,171352
region,North West,E12000002,2021-04-29,1,171407
region,North West,E12000002,2021-04-28,1,170750
region,North West,E12000002,2021-04-27,0.9000000000000000222,168236
region,North West,E12000002,2021-04-26,0.9000000000000000222,169479
region,North West,E12000002,2021-04-25,0.9000000000000000222,172226
region,North West,E12000002,2021-04-24,0.9000000000000000222,172925
region,North West,E12000002,2021-04-23,0.9000000000000000222,171510
region,North West,E12000002,2021-04-22,0.9000000000000000222,168953
region,North West,E12000002,2021-04-21,1,167133
region,North West,E12000002,2021-04-20,1,165223
region,North West,E12000002,2021-04-19,1,163865
region,North West,E12000002,2021-04-18,1.1000000000000000888,164419
region,North West,E12000002,2021-04-17,1.1000000000000000888,163786
region,North West,E12000002,2021-04-16,1.1999999999999999556,163885
region,North West,E12000002,2021-04-15,1.3000000000000000444,163483
region,North West,E12000002,2021-04-14,1.3999999999999999112,164686
region,North West,E12000002,2021-04-13,1.3999999999999999112,164924
region,North West,E12000002,2021-04-12,1.5,168174
region,North West,E12000002,2021-04-11,1.6000000000000000888,162138
region,North West,E12000002,2021-04-10,1.6000000000000000888,161162
region,North West,E12000002,2021-04-09,1.6000000000000000888,159431
region,North West,E12000002,2021-04-08,1.8000000000000000444,149273
region,North West,E12000002,2021-04-07,1.8000000000000000444,148807
region,North West,E12000002,2021-04-06,1.8999999999999999112,147334
region,North West,E12000002,2021-04-05,2,141796
region,North West,E12000002,2021-04-04,1.8999999999999999112,159310
region,North West,E12000002,2021-04-03,2,161859
region,North West,E12000002,2021-04-02,2.1000000000000000888,163709
region,North West,E12000002,2021-04-01,2.1000000000000000888,173219
region,North West,E12000002,2021-03-31,2.2000000000000001776,176192
region,North West,E12000002,2021-03-30,2.2999999999999998224,179242
region,North West,E12000002,2021-03-29,2.3999999999999999112,185960
region,North West,E12000002,2021-03-28,2.3999999999999999112,192417
region,North West,E12000002,2021-03-27,2.3999999999999999112,194343
region,North West,E12000002,2021-03-26,2.5,195895
region,North West,E12000002,2021-03-25,2.5,195901
region,North West,E12000002,2021-03-24,2.5,195577
region,North West,E12000002,2021-03-23,2.6000000000000000888,195380
region,North West,E12000002,2021-03-22,2.6000000000000000888,194531
region,North West,E12000002,2021-03-21,2.6000000000000000888,196010
region,North West,E12000002,2021-03-20,2.7000000000000001776,194539
region,North West,E12000002,2021-03-19,2.7000000000000001776,193126
region,North West,E12000002,2021-03-18,2.7999999999999998224,190103
region,North West,E12000002,2021-03-17,2.8999999999999999112,186718
region,North West,E12000002,2021-03-16,3,182650
region,North West,E12000002,2021-03-15,3.1000000000000000888,178351
region,North West,E12000002,2021-03-14,3.2000000000000001776,177099
region,North West,E12000002,2021-03-13,3.2000000000000001776,176717
region,North West,E12000002,2021-03-12,3.2999999999999998224,174760
region,North West,E12000002,2021-03-11,3.2999999999999998224,171986
region,North West,E12000002,2021-03-10,3.3999999999999999112,171926
region,North West,E12000002,2021-03-09,3.3999999999999999112,171565
region,North West,E12000002,2021-03-08,3.2999999999999998224,176998
region,North West,E12000002,2021-03-07,3.3999999999999999112,179621
region,North West,E12000002,2021-03-06,3.3999999999999999112,178908
region,North West,E12000002,2021-03-05,3.5,178716
region,North West,E12000002,2021-03-04,3.6000000000000000888,178603
region,North West,E12000002,2021-03-03,3.8999999999999999112,179093
region,North West,E12000002,2021-03-02,4.2000000000000001776,180561
region,North West,E12000002,2021-03-01,4.5,177414
region,North West,E12000002,2021-02-28,4.7999999999999998224,183771
region,North West,E12000002,2021-02-27,5.0999999999999996447,185936
region,North West,E12000002,2021-02-26,5.4000000000000003553,187301
region,North West,E12000002,2021-02-25,5.5999999999999996447,188238
region,North West,E12000002,2021-02-24,5.7999999999999998224,191062
region,North West,E12000002,2021-02-23,5.9000000000000003553,193466
region,North West,E12000002,2021-02-22,6.2000000000000001776,196006
region,North West,E12000002,2021-02-21,6.2999999999999998224,199172
region,North West,E12000002,2021-02-20,6.4000000000000003553,198997
region,North West,E12000002,2021-02-19,6.5,198970
region,North West,E12000002,2021-02-18,6.7000000000000001776,200045
region,North West,E12000002,2021-02-17,6.7999999999999998224,202329
region,North West,E12000002,2021-02-16,6.7999999999999998224,203513
region,North West,E12000002,2021-02-15,6.9000000000000003553,206207
region,North West,E12000002,2021-02-14,6.7999999999999998224,210349
region,North West,E12000002,2021-02-13,6.9000000000000003553,212789
region,North West,E12000002,2021-02-12,7.0999999999999996447,214625
region,North West,E12000002,2021-02-11,7.2999999999999998224,215300
region,North West,E12000002,2021-02-10,7.5999999999999996447,216138
region,North West,E12000002,2021-02-09,7.9000000000000003553,217058
region,North West,E12000002,2021-02-08,8.1999999999999992895,218682
region,North West,E12000002,2021-02-07,8.5,221421
region,North West,E12000002,2021-02-06,8.6999999999999992895,219916
region,North West,E12000002,2021-02-05,9.0999999999999996447,218316
region,North West,E12000002,2021-02-04,9.5999999999999996447,216632
region,North West,E12000002,2021-02-03,9.9000000000000003553,215457
region,North West,E12000002,2021-02-02,10.300000000000000711,214525
region,North West,E12000002,2021-02-01,10.699999999999999289,214811
region,North West,E12000002,2021-01-31,10.900000000000000355,219680
region,North West,E12000002,2021-01-30,11.099999999999999645,222353
region,North West,E12000002,2021-01-29,11.300000000000000711,223290
region,North West,E12000002,2021-01-28,11.599999999999999645,224561
region,North West,E12000002,2021-01-27,12,225251
region,North West,E12000002,2021-01-26,12.400000000000000355,227920
region,North West,E12000002,2021-01-25,12.800000000000000711,234257
region,North West,E12000002,2021-01-24,13.099999999999999645,241646
region,North West,E12000002,2021-01-23,13.400000000000000355,245071
region,North West,E12000002,2021-01-22,13.699999999999999289,249091
region,North West,E12000002,2021-01-21,14,249896
region,North West,E12000002,2021-01-20,14.300000000000000711,254454
region,North West,E12000002,2021-01-19,14.5,257267
region,North West,E12000002,2021-01-18,14.599999999999999645,263157
region,North West,E12000002,2021-01-17,14.699999999999999289,273514
region,North West,E12000002,2021-01-16,14.900000000000000355,279278
region,North West,E12000002,2021-01-15,15.099999999999999645,283857
region,North West,E12000002,2021-01-14,15.199999999999999289,287823
region,North West,E12000002,2021-01-13,15.400000000000000355,289797
region,North West,E12000002,2021-01-12,15.5,295373
region,North West,E12000002,2021-01-11,15.699999999999999289,299528
region,North West,E12000002,2021-01-10,15.800000000000000711,302563
region,North West,E12000002,2021-01-09,16.100000000000001421,304978
region,North West,E12000002,2021-01-08,16.5,308371
region,North West,E12000002,2021-01-07,16.899999999999998579,283510
region,North West,E12000002,2021-01-06,17.399999999999998579,270296
region,North West,E12000002,2021-01-05,17.5,266117
region,North West,E12000002,2021-01-04,17.300000000000000711,261100
region,North West,E12000002,2021-01-03,17,237027
region,North West,E12000002,2021-01-02,16.300000000000000711,227023
region,North West,E12000002,2021-01-01,15.800000000000000711,207766
region,North West,E12000002,2020-12-31,15.599999999999999645,197465
region,North West,E12000002,2020-12-30,14.900000000000000355,187075
region,North West,E12000002,2020-12-29,13.400000000000000355,180828
region,North West,E12000002,2020-12-28,11.400000000000000355,178667
region,North West,E12000002,2020-12-27,9.8000000000000007105,203170
region,North West,E12000002,2020-12-26,8.9000000000000003553,206193
region,North West,E12000002,2020-12-25,8.1999999999999992895,210652
region,North West,E12000002,2020-12-24,8,231384
region,North West,E12000002,2020-12-23,7.7000000000000001776,236277
region,North West,E12000002,2020-12-22,7.5,228336
region,North West,E12000002,2020-12-21,7.5,220411
region,North West,E12000002,2020-12-20,7.2999999999999998224,212313
region,North West,E12000002,2020-12-19,7.2999999999999998224,204027
region,North West,E12000002,2020-12-18,7.2999999999999998224,199594
region,North West,E12000002,2020-12-17,7.2000000000000001776,195472
region,North West,E12000002,2020-12-16,7.0999999999999996447,193869
region,North West,E12000002,2020-12-15,6.9000000000000003553,193135
region,North West,E12000002,2020-12-14,6.5999999999999996447,192878
region,North West,E12000002,2020-12-13,6.4000000000000003553,194231
region,North West,E12000002,2020-12-12,6.2999999999999998224,193783
region,North West,E12000002,2020-12-11,6.2000000000000001776,192315
region,North West,E12000002,2020-12-10,6.2000000000000001776,190046
region,North West,E12000002,2020-12-09,6.2000000000000001776,187730
region,North West,E12000002,2020-12-08,6.0999999999999996447,188913
region,North West,E12000002,2020-12-07,6.0999999999999996447,190164
region,North West,E12000002,2020-12-06,6.0999999999999996447,192178
region,North West,E12000002,2020-12-05,6.0999999999999996447,192265
region,North West,E12000002,2020-12-04,6.2000000000000001776,192468
region,North West,E12000002,2020-12-03,6.2000000000000001776,191302
region,North West,E12000002,2020-12-02,6.4000000000000003553,192183
region,North West,E12000002,2020-12-01,6.5999999999999996447,192695
region,North West,E12000002,2020-11-30,6.5999999999999996447,196422
region,North West,E12000002,2020-11-29,6.7000000000000001776,200280
region,North West,E12000002,2020-11-28,6.7999999999999998224,202681
region,North West,E12000002,2020-11-27,6.7999999999999998224,204963
region,North West,E12000002,2020-11-26,7,208473
region,North West,E12000002,2020-11-25,7.2999999999999998224,209632
region,North West,E12000002,2020-11-24,7.5999999999999996447,211813
region,North West,E12000002,2020-11-23,8,216924
region,North West,E12000002,2020-11-22,8.3000000000000007105,223971
region,North West,E12000002,2020-11-21,8.5999999999999996447,225742
region,North West,E12000002,2020-11-20,8.8000000000000007105,229324
region,North West,E12000002,2020-11-19,9.1999999999999992895,233237
region,North West,E12000002,2020-11-18,9.5,238221
region,North West,E12000002,2020-11-17,9.9000000000000003553,244849
region,North West,E12000002,2020-11-16,9.9000000000000003553,251430
region,North West,E12000002,2020-11-15,10,263635
region,North West,E12000002,2020-11-14,10.199999999999999289,269928
region,North West,E12000002,2020-11-13,10.300000000000000711,272698
region,North West,E12000002,2020-11-12,10.5,275135
region,North West,E12000002,2020-11-11,10.900000000000000355,270276
region,North West,E12000002,2020-11-10,11.300000000000000711,262207
region,North West,E12000002,2020-11-09,11.699999999999999289,256763
region,North West,E12000002,2020-11-08,12.5,250062
region,North West,E12000002,2020-11-07,12.800000000000000711,243744
region,North West,E12000002,2020-11-06,13.300000000000000711,236245
region,North West,E12000002,2020-11-05,14,227933
region,North West,E12000002,2020-11-04,14.300000000000000711,228548
region,North West,E12000002,2020-11-03,14.300000000000000711,232022
region,North West,E12000002,2020-11-02,14.300000000000000711,234883
region,North West,E12000002,2020-11-01,14,236807
region,North West,E12000002,2020-10-31,14,238400
region,North West,E12000002,2020-10-30,14,240594
region,North West,E12000002,2020-10-29,13.800000000000000711,243131
region,North West,E12000002,2020-10-28,13.699999999999999289,246492
region,North West,E12000002,2020-10-27,13.800000000000000711,250647
region,North West,E12000002,2020-10-26,13.800000000000000711,255027
region,North West,E12000002,2020-10-25,13.800000000000000711,258916
region,North West,E12000002,2020-10-24,13.800000000000000711,257972
region,North West,E12000002,2020-10-23,13.900000000000000355,257172
region,North West,E12000002,2020-10-22,14,251011
region,North West,E12000002,2020-10-21,14.099999999999999645,244869
region,North West,E12000002,2020-10-20,13.900000000000000355,239913
region,North West,E12000002,2020-10-19,13.5,237216
region,North West,E12000002,2020-10-18,12.900000000000000355,235870
region,North West,E12000002,2020-10-17,12.800000000000000711,236473
region,North West,E12000002,2020-10-16,12.599999999999999645,234672
region,North West,E12000002,2020-10-15,12.599999999999999645,233325
region,North West,E12000002,2020-10-14,12.599999999999999645,234119
region,North West,E12000002,2020-10-13,12.400000000000000355,234961
region,North West,E12000002,2020-10-12,12.300000000000000711,237952
region,North West,E12000002,2020-10-11,12,239674
region,North West,E12000002,2020-10-10,11.900000000000000355,241529
region,North West,E12000002,2020-10-09,11.800000000000000711,243560
region,North West,E12000002,2020-10-08,11.599999999999999645,242860
region,North West,E12000002,2020-10-07,11.5,239573
region,North West,E12000002,2020-10-06,11.400000000000000355,235484
region,North West,E12000002,2020-10-05,11,230884
region,North West,E12000002,2020-10-04,10.5,228019
region,North West,E12000002,2020-10-03,10.300000000000000711,225467
region,North West,E12000002,2020-10-02,10.099999999999999645,222216
region,North West,E12000002,2020-10-01,9.5999999999999996447,219354
region,North West,E12000002,2020-09-30,9.1999999999999992895,215226
region,North West,E12000002,2020-09-29,8.5,214238
region,North West,E12000002,2020-09-28,7.7999999999999998224,214336
region,North West,E12000002,2020-09-27,7.2000000000000001776,210889
region,North West,E12000002,2020-09-26,6.7999999999999998224,212686
region,North West,E12000002,2020-09-25,6.5999999999999996447,212217
region,North West,E12000002,2020-09-24,6.2999999999999998224,207462
region,North West,E12000002,2020-09-23,5.9000000000000003553,204319
region,North West,E12000002,2020-09-22,5.5999999999999996447,201956
region,North West,E12000002,2020-09-21,5.2000000000000001776,201310
region,North West,E12000002,2020-09-20,4.9000000000000003553,204293
region,North West,E12000002,2020-09-19,4.5,198543
region,North West,E12000002,2020-09-18,4.2000000000000001776,196136
region,North West,E12000002,2020-09-17,3.8999999999999999112,195322
region,North West,E12000002,2020-09-16,3.7000000000000001776,194275
region,North West,E12000002,2020-09-15,3.3999999999999999112,191003
region,North West,E12000002,2020-09-14,3.3999999999999999112,187036
region,North West,E12000002,2020-09-13,3.3999999999999999112,186665
region,North West,E12000002,2020-09-12,3.2999999999999998224,188369
region,North West,E12000002,2020-09-11,3.2000000000000001776,186747
region,North West,E12000002,2020-09-10,3.2000000000000001776,182454
region,North West,E12000002,2020-09-09,3.1000000000000000888,177301
region,North West,E12000002,2020-09-08,3.1000000000000000888,173807
region,North West,E12000002,2020-09-07,2.7999999999999998224,171687
region,North West,E12000002,2020-09-06,2.7000000000000001776,157299
region,North West,E12000002,2020-09-05,2.5,153040
region,North West,E12000002,2020-09-04,2.3999999999999999112,148264
region,North West,E12000002,2020-09-03,2.2999999999999998224,139867
region,North West,E12000002,2020-09-02,2.2000000000000001776,132937
region,North West,E12000002,2020-09-01,2,126772
region,North West,E12000002,2020-08-31,1.8999999999999999112,123103
region,North West,E12000002,2020-08-30,1.6999999999999999556,132004
region,North West,E12000002,2020-08-29,1.6999999999999999556,130861
region,North West,E12000002,2020-08-28,1.6000000000000000888,130345
region,North West,E12000002,2020-08-27,1.5,131518
region,North West,E12000002,2020-08-26,1.3999999999999999112,132711
region,North West,E12000002,2020-08-25,1.3999999999999999112,134188
region,North West,E12000002,2020-08-24,1.3999999999999999112,134967
region,North West,E12000002,2020-08-23,1.3999999999999999112,135241
region,North West,E12000002,2020-08-22,1.5,135671
region,North West,E12000002,2020-08-21,1.5,135078
region,North West,E12000002,2020-08-20,1.5,134160
region,North West,E12000002,2020-08-19,1.5,131337
region,North West,E12000002,2020-08-18,1.5,128705
region,North West,E12000002,2020-08-17,1.6000000000000000888,128863
region,North West,E12000002,2020-08-16,1.6999999999999999556,130399
region,North West,E12000002,2020-08-15,1.6999999999999999556,129829
region,North West,E12000002,2020-08-14,1.8000000000000000444,130431
region,North West,E12000002,2020-08-13,1.8000000000000000444,130397
region,North West,E12000002,2020-08-12,1.6999999999999999556,133778
region,North West,E12000002,2020-08-11,1.6999999999999999556,135305
region,North West,E12000002,2020-08-10,1.6000000000000000888,136733
region,North West,E12000002,2020-08-09,1.6000000000000000888,136486
region,North West,E12000002,2020-08-08,1.6000000000000000888,137869
region,North West,E12000002,2020-08-07,1.5,138185
region,North West,E12000002,2020-08-06,1.5,133877
region,North West,E12000002,2020-08-05,1.6000000000000000888,126214
region,North West,E12000002,2020-08-04,1.6999999999999999556,119631
region,North West,E12000002,2020-08-03,1.6999999999999999556,113099
region,North West,E12000002,2020-08-02,1.6999999999999999556,107652
region,North West,E12000002,2020-08-01,1.6999999999999999556,104881
region,North West,E12000002,2020-07-31,1.6999999999999999556,101677
region,North West,E12000002,2020-07-30,1.8000000000000000444,97993
region,North West,E12000002,2020-07-29,1.8000000000000000444,93833
region,North West,E12000002,2020-07-28,1.8000000000000000444,89265
region,North West,E12000002,2020-07-27,1.8000000000000000444,84252
region,North West,E12000002,2020-07-26,1.8000000000000000444,81509
region,North West,E12000002,2020-07-25,1.6999999999999999556,80562
region,North West,E12000002,2020-07-24,1.6999999999999999556,80010
region,North West,E12000002,2020-07-23,1.6999999999999999556,78370
region,North West,E12000002,2020-07-22,1.6000000000000000888,78296
region,North West,E12000002,2020-07-21,1.5,80820
region,North West,E12000002,2020-07-20,1.3999999999999999112,83267
region,North West,E12000002,2020-07-19,1.3000000000000000444,83279
region,North West,E12000002,2020-07-18,1.3000000000000000444,82094
region,North West,E12000002,2020-07-17,1.1999999999999999556,80501
region,North West,E12000002,2020-07-16,1.3000000000000000444,79440
region,North West,E12000002,2020-07-15,1.3000000000000000444,77865
region,North West,E12000002,2020-07-14,1.3000000000000000444,74624
region,North West,E12000002,2020-07-13,1.3000000000000000444,70995
region,North West,E12000002,2020-07-12,1.5,67803
region,North West,E12000002,2020-07-11,1.5,67206
region,North West,E12000002,2020-07-10,1.6000000000000000888,66395
region,North West,E12000002,2020-07-09,1.6000000000000000888,64404
region,North West,E12000002,2020-07-08,1.6999999999999999556,62641
region,North West,E12000002,2020-07-07,1.8000000000000000444,60477
region,North West,E12000002,2020-07-06,1.8000000000000000444,59366
region,North West,E12000002,2020-07-05,1.8000000000000000444,60412
region,North West,E12000002,2020-07-04,1.8000000000000000444,60655
region,North West,E12000002,2020-07-03,1.8000000000000000444,59830
region,North West,E12000002,2020-07-02,1.8999999999999999112,59294
region,North West,E12000002,2020-07-01,2,57097
region,North West,E12000002,2020-06-30,2.2000000000000001776,55825
region,North West,E12000002,2020-06-29,2.2999999999999998224,54679
region,North West,E12000002,2020-06-28,2.5,53159
region,North West,E12000002,2020-06-27,2.5,52480
region,North West,E12000002,2020-06-26,2.6000000000000000888,52327
region,North West,E12000002,2020-06-25,2.7000000000000001776,51585
region,North West,E12000002,2020-06-24,2.7999999999999998224,52111
