areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
region,North West,E12000002,2021-07-19,1344,802066
region,North West,E12000002,2021-07-18,4213,800722
region,North West,E12000002,2021-07-17,4703,796509
region,North West,E12000002,2021-07-16,6998,791806
region,North West,E12000002,2021-07-15,7910,784808
region,North West,E12000002,2021-07-14,7328,776898
region,North West,E12000002,2021-07-13,6481,769570
region,North West,E12000002,2021-07-12,6077,763089
region,North West,E12000002,2021-07-11,4238,757012
region,North West,E12000002,2021-07-10,3928,752774
region,North West,E12000002,2021-07-09,4787,748846
region,North West,E12000002,2021-07-08,5052,744059
region,North West,E12000002,2021-07-07,5807,739007
region,North West,E12000002,2021-07-06,5353,733200
region,North West,E12000002,2021-07-05,5156,727847
region,North West,E12000002,2021-07-04,3841,722691
region,North West,E12000002,2021-07-03,3555,718850
region,North West,E12000002,2021-07-02,4272,715295
region,North West,E12000002,2021-07-01,4813,711023
region,North West,E12000002,2021-06-30,4936,706210
region,North West,E12000002,2021-06-29,4870,701274
region,North West,E12000002,2021-06-28,5294,696404
region,North West,E12000002,2021-06-27,3287,691110
region,North West,E12000002,2021-06-26,2937,687823
region,North West,E12000002,2021-06-25,3367,684886
region,North West,E12000002,2021-06-24,3730,681519
region,North West,E12000002,2021-06-23,3654,677789
region,North West,E12000002,2021-06-22,3549,674135
region,North West,E12000002,2021-06-21,3576,670586
region,North West,E12000002,2021-06-20,2377,667010
region,North West,E12000002,2021-06-19,1979,664633
region,North West,E12000002,2021-06-18,2445,662654
region,North West,E12000002,2021-06-17,2772,660209
region,North West,E12000002,2021-06-16,2815,657437
region,North West,E12000002,2021-06-15,2822,654622
region,North West,E12000002,2021-06-14,2732,651800
region,North West,E12000002,2021-06-13,1953,649068
region,North West,E12000002,2021-06-12,1654,647115
region,North West,E12000002,2021-06-11,2100,645461
region,North West,E12000002,2021-06-10,2218,643361
region,North West,E12000002,2021-06-09,2223,641143
region,North West,E12000002,2021-06-08,2208,638920
region,North West,E12000002,2021-06-07,2352,636712
region,North West,E12000002,2021-06-06,1677,634360
region,North West,E12000002,2021-06-05,1384,632683
region,North West,E12000002,2021-06-04,1767,631299
region,North West,E12000002,2021-06-03,1839,629532
region,North West,E12000002,2021-06-02,1800,627693
region,North West,E12000002,2021-06-01,1603,625893
region,North West,E12000002,2021-05-31,1091,624290
region,North West,E12000002,2021-05-30,867,623199
region,North West,E12000002,2021-05-29,843,622332
region,North West,E12000002,2021-05-28,974,621489
region,North West,E12000002,2021-05-27,1031,620515
region,North West,E12000002,2021-05-26,1060,619484
region,North West,E12000002,2021-05-25,907,618424
region,North West,E12000002,2021-05-24,891,617517
region,North West,E12000002,2021-05-23,535,616626
region,North West,E12000002,2021-05-22,460,616091
region,North West,E12000002,2021-05-21,524,615631
region,North West,E12000002,2021-05-20,549,615107
region,North West,E12000002,2021-05-19,551,614558
region,North West,E12000002,2021-05-18,693,614007
region,North West,E12000002,2021-05-17,631,613314
region,North West,E12000002,2021-05-16,412,612683
region,North West,E12000002,2021-05-15,354,612271
region,North West,E12000002,2021-05-14,404,611917
region,North West,E12000002,2021-05-13,354,611513
region,North West,E12000002,2021-05-12,451,611159
region,North West,E12000002,2021-05-11,404,610708
region,North West,E12000002,2021-05-10,491,610304
region,North West,E12000002,2021-05-09,392,609813
region,North West,E12000002,2021-05-08,238,609421
region,North West,E12000002,2021-05-07,325,609183
region,North West,E12000002,2021-05-06,343,608858
region,North West,E12000002,2021-05-05,400,608515
region,North West,E12000002,2021-05-04,364,608115
region,North West,E12000002,2021-05-03,258,607751
region,North West,E12000002,2021-05-02,186,607493
region,North West,E12000002,2021-05-01,184,607307
region,North West,E12000002,2021-04-30,220,607123
region,North West,E12000002,2021-04-29,283,606903
region,North West,E12000002,2021-04-28,316,606620
region,North West,E12000002,2021-04-27,259,606304
region,North West,E12000002,2021-04-26,331,606045
region,North West,E12000002,2021-04-25,272,605714
region,North West,E12000002,2021-04-24,153,605442
region,North West,E12000002,2021-04-23,221,605289
region,North West,E12000002,2021-04-22,239,605068
region,North West,E12000002,2021-04-21,260,604829
region,North West,E12000002,2021-04-20,244,604569
region,North West,E12000002,2021-04-19,259,604325
region,North West,E12000002,2021-04-18,274,604066
region,North West,E12000002,2021-04-17,166,603792
region,North West,E12000002,2021-04-16,214,603626
region,North West,E12000002,2021-04-15,260,603412
region,North West,E12000002,2021-04-14,287,603152
region,North West,E12000002,2021-04-13,274,602865
region,North West,E12000002,2021-04-12,311,602591
region,North West,E12000002,2021-04-11,266,602280
region,North West,E12000002,2021-04-10,251,602014
region,North West,E12000002,2021-04-09,320,601763
region,North West,E12000002,2021-04-08,362,601443
region,North West,E12000002,2021-04-07,368,601081
region,North West,E12000002,2021-04-06,369,600713
region,North West,E12000002,2021-04-05,353,600344
region,North West,E12000002,2021-04-04,298,599991
region,North West,E12000002,2021-04-03,277,599693
region,North West,E12000002,2021-04-02,313,599416
region,North West,E12000002,2021-04-01,440,599103
region,North West,E12000002,2021-03-31,456,598663
region,North West,E12000002,2021-03-30,447,598207
region,North West,E12000002,2021-03-29,469,597760
region,North West,E12000002,2021-03-28,652,597291
region,North West,E12000002,2021-03-27,456,596639
region,North West,E12000002,2021-03-26,552,596183
region,North West,E12000002,2021-03-25,725,595631
region,North West,E12000002,2021-03-24,722,594906
region,North West,E12000002,2021-03-23,699,594184
region,North West,E12000002,2021-03-22,788,593485
region,North West,E12000002,2021-03-21,763,592697
region,North West,E12000002,2021-03-20,540,591934
region,North West,E12000002,2021-03-19,617,591394
region,North West,E12000002,2021-03-18,739,590777
region,North West,E12000002,2021-03-17,773,590038
region,North West,E12000002,2021-03-16,787,589265
region,North West,E12000002,2021-03-15,871,588478
region,North West,E12000002,2021-03-14,627,587607
region,North West,E12000002,2021-03-13,588,586980
region,North West,E12000002,2021-03-12,749,586392
region,North West,E12000002,2021-03-11,753,585643
region,North West,E12000002,2021-03-10,859,584890
region,North West,E12000002,2021-03-09,893,584031
region,North West,E12000002,2021-03-08,951,583138
region,North West,E12000002,2021-03-07,592,582187
region,North West,E12000002,2021-03-06,612,581595
region,North West,E12000002,2021-03-05,735,580983
region,North West,E12000002,2021-03-04,841,580248
region,North West,E12000002,2021-03-03,801,579407
region,North West,E12000002,2021-03-02,873,578606
region,North West,E12000002,2021-03-01,972,577733
region,North West,E12000002,2021-02-28,621,576761
region,North West,E12000002,2021-02-27,658,576140
region,North West,E12000002,2021-02-26,932,575482
region,North West,E12000002,2021-02-25,1222,574550
region,North West,E12000002,2021-02-24,1253,573328
region,North West,E12000002,2021-02-23,1311,572075
region,North West,E12000002,2021-02-22,1756,570764
region,North West,E12000002,2021-02-21,1210,569008
region,North West,E12000002,2021-02-20,1187,567798
region,North West,E12000002,2021-02-19,1454,566611
region,North West,E12000002,2021-02-18,1592,565157
region,North West,E12000002,2021-02-17,1668,563565
region,North West,E12000002,2021-02-16,1843,561897
region,North West,E12000002,2021-02-15,2240,560054
region,North West,E12000002,2021-02-14,1322,557814
region,North West,E12000002,2021-02-13,1274,556492
region,North West,E12000002,2021-02-12,1755,555218
region,North West,E12000002,2021-02-11,1916,553463
region,North West,E12000002,2021-02-10,1872,551547
region,North West,E12000002,2021-02-09,2067,549675
region,North West,E12000002,2021-02-08,2353,547608
region,North West,E12000002,2021-02-07,1706,545255
region,North West,E12000002,2021-02-06,1766,543549
region,North West,E12000002,2021-02-05,2120,541783
region,North West,E12000002,2021-02-04,2583,539663
region,North West,E12000002,2021-02-03,2652,537080
region,North West,E12000002,2021-02-02,2778,534428
region,North West,E12000002,2021-02-01,2997,531650
region,North West,E12000002,2021-01-31,2176,528653
region,North West,E12000002,2021-01-30,2201,526477
region,North West,E12000002,2021-01-29,2891,524276
region,North West,E12000002,2021-01-28,3081,521385
region,North West,E12000002,2021-01-27,3297,518304
region,North West,E12000002,2021-01-26,3452,515007
region,North West,E12000002,2021-01-25,3907,511555
region,North West,E12000002,2021-01-24,2679,507648
region,North West,E12000002,2021-01-23,2677,504969
region,North West,E12000002,2021-01-22,3672,502292
region,North West,E12000002,2021-01-21,3839,498620
region,North West,E12000002,2021-01-20,4364,494781
region,North West,E12000002,2021-01-19,5114,490417
region,North West,E12000002,2021-01-18,5464,485303
region,North West,E12000002,2021-01-17,3767,479839
region,North West,E12000002,2021-01-16,3931,476072
region,North West,E12000002,2021-01-15,4630,472141
region,North West,E12000002,2021-01-14,5153,467511
region,North West,E12000002,2021-01-13,5379,462358
region,North West,E12000002,2021-01-12,6351,456979
region,North West,E12000002,2021-01-11,7425,450628
region,North West,E12000002,2021-01-10,5189,443203
region,North West,E12000002,2021-01-09,4932,438014
region,North West,E12000002,2021-01-08,5620,433082
region,North West,E12000002,2021-01-07,6140,427462
region,North West,E12000002,2021-01-06,6598,421322
region,North West,E12000002,2021-01-05,7739,414724
region,North West,E12000002,2021-01-04,8206,406985
region,North West,E12000002,2021-01-03,6538,398779
region,North West,E12000002,2021-01-02,6899,392241
region,North West,E12000002,2021-01-01,2863,385342
region,North West,E12000002,2020-12-31,5211,382479
region,North West,E12000002,2020-12-30,6420,377268
region,North West,E12000002,2020-12-29,6628,370848
region,North West,E12000002,2020-12-28,3594,364220
region,North West,E12000002,2020-12-27,3516,360626
region,North West,E12000002,2020-12-26,2653,357110
region,North West,E12000002,2020-12-25,912,354457
region,North West,E12000002,2020-12-24,2287,353545
region,North West,E12000002,2020-12-23,2855,351258
region,North West,E12000002,2020-12-22,2804,348403
region,North West,E12000002,2020-12-21,3057,345599
region,North West,E12000002,2020-12-20,1947,342542
region,North West,E12000002,2020-12-19,1662,340595
region,North West,E12000002,2020-12-18,2100,338933
region,North West,E12000002,2020-12-17,1948,336833
region,North West,E12000002,2020-12-16,2028,334885
region,North West,E12000002,2020-12-15,2124,332857
region,North West,E12000002,2020-12-14,2233,330733
region,North West,E12000002,2020-12-13,1323,328500
region,North West,E12000002,2020-12-12,1258,327177
region,North West,E12000002,2020-12-11,1629,325919
region,North West,E12000002,2020-12-10,1641,324290
region,North West,E12000002,2020-12-09,1593,322649
region,North West,E12000002,2020-12-08,1570,321056
region,North West,E12000002,2020-12-07,1836,319486
region,North West,E12000002,2020-12-06,1134,317650
region,North West,E12000002,2020-12-05,1010,316516
region,North West,E12000002,2020-12-04,1445,315506
region,North West,E12000002,2020-12-03,1353,314061
region,North West,E12000002,2020-12-02,1450,312708
region,North West,E12000002,2020-12-01,1716,311258
region,North West,E12000002,2020-11-30,1883,309542
region,North West,E12000002,2020-11-29,1050,307659
region,North West,E12000002,2020-11-28,1145,306609
region,North West,E12000002,2020-11-27,1432,305464
region,North West,E12000002,2020-11-26,1595,304032
region,North West,E12000002,2020-11-25,1835,302437
region,North West,E12000002,2020-11-24,1858,300602
region,North West,E12000002,2020-11-23,2188,298744
region,North West,E12000002,2020-11-22,1383,296556
region,North West,E12000002,2020-11-21,1377,295173
region,North West,E12000002,2020-11-20,1981,293796
region,North West,E12000002,2020-11-19,2177,291815
region,North West,E12000002,2020-11-18,2582,289638
region,North West,E12000002,2020-11-17,3045,287056
region,North West,E12000002,2020-11-16,3372,284011
region,North West,E12000002,2020-11-15,2115,280639
region,North West,E12000002,2020-11-14,2378,278524
region,North West,E12000002,2020-11-13,3228,276146
region,North West,E12000002,2020-11-12,3428,272918
region,North West,E12000002,2020-11-11,3923,269490
region,North West,E12000002,2020-11-10,3898,265567
region,North West,E12000002,2020-11-09,4724,261669
region,North West,E12000002,2020-11-08,3178,256945
region,North West,E12000002,2020-11-07,2811,253767
region,North West,E12000002,2020-11-06,3856,250956
region,North West,E12000002,2020-11-05,3915,247100
region,North West,E12000002,2020-11-04,4086,243185
region,North West,E12000002,2020-11-03,4441,239099
region,North West,E12000002,2020-11-02,5929,234658
region,North West,E12000002,2020-11-01,3069,228729
region,North West,E12000002,2020-10-31,3142,225660
region,North West,E12000002,2020-10-30,4373,222518
region,North West,E12000002,2020-10-29,4544,218145
region,North West,E12000002,2020-10-28,4649,213601
region,North West,E12000002,2020-10-27,4936,208952
region,North West,E12000002,2020-10-26,5544,204016
region,North West,E12000002,2020-10-25,3279,198472
region,North West,E12000002,2020-10-24,3394,195193
region,North West,E12000002,2020-10-23,4479,191799
region,North West,E12000002,2020-10-22,4782,187320
region,North West,E12000002,2020-10-21,5546,182538
region,North West,E12000002,2020-10-20,5597,176992
region,North West,E12000002,2020-10-19,6158,171395
region,North West,E12000002,2020-10-18,3213,165237
